id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
Na42,xd1059,Potawatomi,pota1247,Potawatomi (Na42),Neshnabé,1760,,,44,-85,44,-85,Original,
Ad37,xd106,Teita,tait1250,Teita (Ad37),"Taita, Wateita",1940,,,-4,39,-4,39,Original,
Na43,xd1060,Netsilik,nets1241,Netsilik (Na43),"Netsilik Inuit, Netsilik Eskimo",1920,,,69,-96,69,-96,Original,
Na44,xd1061,Taqagmiut,queb1248,Taqagmiut (Na44),Taqagmiut Eskimo,1910,,,62,-76,62,-76,Original,
Na45,xd1062,Mistissini Cree,sout2978,Mistassini (Na45),Mistassini Cree,1900,,,51.75,-72.66,51.75,-72.66,Revised,
Na5,xd1063,Naskapi,nask1242,Naskapi (Na5),,1890,Montagnais (NH06),http://ehrafworldcultures.yale.edu/collection?owc=NH06,58,-70,58,-70,Original,
Na6,xd1064,Nunivak,kusk1241,Nunivak (Na6),Nunivak Cup'ig,1930,,,60,-166,60,-166,Original,
Na7,xd1065,Attawapiskat Cree,swam1239,Cree Attawapiskat (Na7),Attawapiskat,1900,,,53,-83,53,-83,Original,
Na8,xd1066,Deg Xit'an,dege1248,Ingalik (Na8),Ingalik,1880,Ingalik (NA08),http://ehrafworldcultures.yale.edu/collection?owc=NA08,62,-160,62,-160,Original,
Na9,xd1067,Aleut,east2533,Aleut (Na9),Unagan,1830,Aleut (NA06),http://ehrafworldcultures.yale.edu/collection?owc=NA06,54,-167,53.86,-166.79,Revised,
Nb1,xd1068,Haida,nort2938,Haida (Nb1),,1890,,,54,-132,54,-132,Original,
Nb10,xd1069,Alkatcho,sout2958,Alkatcho (Nb10),"Tsuu'Tina, Alkatcho Carrier, Ilgatcho, Ilgachuz",1865,,,53,-126,53,-126,Original,
Ad38,xd107,Kara,kara1481,Kara (Ad38),Wakara,1910,,,-2,33,-2,33,Original,
Nb11,xd1070,Nuu chah nulth,nuuc1236,Nootka (Nb11),"Nuu-chah-nulth, Aht, Central Nootka",1880,Nuu-chah-nulth (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,49,-126,49.16,-125.85,Revised,
Nb12,xd1071,Klahoose,slia1241,Klahuse (Nb12),Klahuse,1880,,,51,-125,51,-125,Original,
Nb13,xd1072,Squamish,squa1248,Squamish (Nb13),,1880,,,50,-123,50,-123,Original,
Nb14,xd1073,Comox,isla1276,Comox (Nb14),K'ómoks,1880,,,50,-125,49.72,-124.97,Revised,
Nb15,xd1074,Lummi,lumm1243,Lummi (Nb15),Lhaq'temish,1880,,,49,-123,48.84,-123.27,Revised,
Nb16,xd1075,Klallam,clal1241,Klallam (Nb16),Clallum,1860,,,48,-123,48,-123,Original,
Nb17,xd1076,Puyallup,sout2965,Puyallup (Nb17),,1870,,,47,-122,47,-122,Original,
Nb18,xd1077,Quileute,quil1240,Quileute (Nb18),,1880,,,48,-125,47.91,-124.59,Revised,
Nb19,xd1078,Lower Chinook,chin1286,Chinook (Nb19),Chinook,1850,Chinookans of the Lower Columbia River (NR06),http://ehrafworldcultures.yale.edu/collection?owc=NR06,46,-124,45.99,-123.77,Revised,
Nb2,xd1079,Twana,twan1247,Twana (Nb2),,1850,,,48,-123,48,-123,Original,
Ad39,xd108,Sonjo,temi1247,Sonjo (Ad39),,1950,,,-3,36,-3,36,Original,
Nb20,xd1080,Tillamook,till1254,Tillamok (Nb20),Nehalem,1870,,,45,-124,44.75,-123.72,Revised,
Nb21,xd1081,Coos,coos1249,Coos (Nb21),,1860,,,43,-124,43,-124,Original,
Nb22,xd1082,Tlingit,tlin1245,Tlingit (Nb22),"Kolosh, Southern Tlingit",1880,Tlingit (NA12),http://ehrafworldcultures.yale.edu/collection?owc=NA12,58,-134,58.12,-133.92,Revised,"9May2019 - preferred name changed to distinguish from eHRAF culture West Tibetans. Note northern and southern tlingit considered distinct dialects of tli by some, but no codes available in Glottolog."
Nb23,xd1083,Heiltsuk,bell1263,Bellabella (Nb23),"Bellabella, Bella Bella",1880,,,52,-128,52,-128,Original,
Nb24,xd1084,Makah,maka1318,Makah (Nb24),,1860,Nootka (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,48,-125,48.33,-124.62,Revised,
Nb25,xd1085,Quinault,quin1251,Quinault (Nb25),,1860,Quinault (NR17),http://ehrafworldcultures.yale.edu/collection?owc=NR17,47,-124,47.42,-124.16,Revised,
Nb26,xd1086,Cowichan,cowi1241,Cowichan (Nb26),Hul'q'umi'num Mustimuhw,1880,,,49,-123,49.01,-122.73,Revised,
Nb27,xd1087,Stó:lō,chil1281,Stalo (Nb27),"Stalo, Halkomelem, Fraser River Cowichan",1880,,,49,-122,49,-122,Original,
Nb28,xd1088,Alsea,alse1251,Alsea (Nb28),,1860,,,44,-124,44,-124,Original,
Nb29,xd1089,Siuslaw,sius1254,Siuslaw (Nb29),,1860,,,44,-124,44,-124,Original,
Ad4,xd109,Kikuyu,kiku1240,Kikuyu (Ad4),Aikikuyu,1930,Gikuyu (FL10),http://ehrafworldcultures.yale.edu/collection?owc=FL10,-1,37,-1,37,Original,
Nb3,xd1090,Kwakwaka'wakw,kwak1269,Kwakiutl (Nb3),"Southern Kwakiutl, Kwagu'ł, Kwagyewlth",1890,,,51,-128,51,-127.49,Revised,
Nb30,xd1091,Takelma,take1257,Takelma (Nb30),"Rogue River Indians, Tekelma",1860,,,42,-123,42,-123,Original,
Nb31,xd1092,Tututni,tutu1242,Tututni (Nb31),,1870,,,42,-124,42,-124,Original,
Nb32,xd1093,Shasta,shas1239,Shasta (Nb32),,1860,,,41,-122,41,-122,Original,
Nb33,xd1094,Chimariko,chim1301,Chimariko (Nb33),,1860,,,41,-123,41,-123,Original,
Nb34,xd1095,Karuk,karo1304,Karok (Nb34),Karok,1860,,,42,-123,42,-123,Original,
Nb35,xd1096,Hupa,hupa1239,Hupa (Nb35),,1860,,,41,-123,41,-123,Original,
Nb36,xd1097,Wiyot,wiyo1248,Wiyot (Nb36),,1860,,,40,-124,39.81,-123.55,Revised,
Nb37,xd1098,Lassik,wail1244,Lassik (Nb37),,1860,,,40,-123,40,-123,Original,"Note, Nongatl, Sinkyone and Lassik considered distinct dialects of wlk by some, but glottolog does not provide dialect identifiers"
Nb38,xd1099,Mattole-Bear River,matt1238,Mattole (Nb38),"Mattole, Bear River",1860,,,40,-124,40.35,-123.47,Revised,
Ab10,xd11,Pondo,mpon1252,Pondo (Ab10),"Amapondo, Mpondo",1936,,,-31,30,-31,30,Original,
Ad40,xd110,Tiriki,idak1243,Tiriki (Ad40),,1950,,,0,35,0,35,Original,
Nb39,xd1100,Sinkyone,wail1244,Sinkyone (Nb39),,1860,,,40,-124,39.73,-123.6,Revised,"Note, Nongatl, Sinkyone and Lassik considered distinct dialects of wlk by some, but glottolog does not provide dialect identifiers"
Nb4,xd1101,Yurok,yuro1248,Yurok (Nb4),,1850,Yurok (NS31),http://ehrafworldcultures.yale.edu/collection?owc=NS31,41,-124,41,-124,Original,
Nb5,xd1102,Eyak,eyak1241,Eyak (Nb5),dAXunhyuu,1890,,,60,-145,60.34,-144.85,Revised,
Nb6,xd1103,Tolowa,tolo1259,Tolowa (Nb6),,1870,,,42,-124,42,-124,Original,
Nb7,xd1104,Tsimshian,nucl1649,Tsimshian (Nb7),Ts’msyan,1880,,,55,-130,54.64,-130.25,Revised,
Nb8,xd1105,Haisla,hais1244,Haisla (Nb8),Kitimat,1880,,,54,-129,54,-129,Original,
Nb9,xd1106,Nuxalk,bell1243,Bellacoola (Nb9),"Nuxalkmc, Bellacoola, Bilqula, Bella Coola",1880,Nuxalk (NE06),http://ehrafworldcultures.yale.edu/collection?owc=NE06,52,-127,52,-127,Original,
Nc1,xd1107,Nomlaki,noml1242,Nomlaki (Nc1),Central Wintun,1850,,,39,-122,39,-122,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
Nc10,xd1108,Achumawi,achu1247,Achomawi (Nc10),Achomawi,1860,,,41,-121,41,-121,Original,
Nc11,xd1109,Yana,yana1271,Yana (Nc11),Nozi,1860,,,41,-122,41,-122,Original,
Ad41,xd111,Vugusu,buku1249,Vugusu (Ad41),Kotosh,1930,,,1,35,1,35,Original,
Nc12,xd1110,Maidu,nort2952,Maidu (Nc12),Pujunan,1850,,,40,-121,40,-121,Original,
Nc13,xd1111,Nisenan,nise1244,Nisenan (Nc13),"Southern Maidu, Nisenan Southern Maidu",1850,,,39,-121,39,-121,Original,
Nc14,xd1112,Wintu,nucl1651,Wintu (Nc14),Northern Wintu,1860,,,41,-122,41,-122,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
Nc15,xd1113,Coast Yuki,yuki1243,Coast Yuki (Nc15),,1860,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,39,-124,39.34,-123.77,Revised,
Nc16,xd1114,Huchnom,yuki1243,Huchnom (Nc16),,1860,,,39,-123,39,-123,Original,
Nc17,xd1115,Northern Pomo,nort2966,Northern Pomo (Nc17),,1860,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,39,-123,39,-123,Original,
Nc18,xd1116,Eastern Pomo,east2545,Eastern Pomo (Nc18),"Clear Lake Pomo, Eastern Pomo",1860,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,39,-123,39,-123,Original,
Nc19,xd1117,Southern Pomo,sout2984,Southern Pomo (Nc19),Southern Pomo,1860,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,38,-123,38.55,-122.94,Revised,
Nc2,xd1118,Tübalulabal,tuba1278,Tubatulabal (Nc2),Tubatulabal,1850,Tubatulabal (NS22),http://ehrafworldcultures.yale.edu/collection?owc=NS22,39,-118,39,-118,Original,
Nc20,xd1119,Wappo,wapp1239,Wappo (Nc20),,1860,,,38,-123,38.22,-122.56,Revised,
Ad42,xd112,Haya,haya1250,Haya (Ad42),"Basiba, Wahaya, Wassiba, Ziba",1900,,,-1,32,-1,32,Original,"Note 8Feb2018: HH notes that the Weiss ethnography (1 of 5 references) refers to Wahima and Wanjambo, which are Kinyarwanda [kin] and Nyambo [now] respectively -- ""close to, but not the same lg as Haya [hay]"". However, given that Haya appears to be the focus of the other ethnographies, I will leave the language match as [hay]. Users may wish to look into individual data points in detail, to ensure they refer to the focal group."
Nc21,xd1120,Lake Miwok,lake1258,Lake Miwok (Nc21),,1860,,,38,-123,38.75,-123.2,Revised,
Nc22,xd1121,Patwin,patw1250,Patwin (Nc22),Southern Wintun,1850,,,39,-122,39,-122,Original,
Nc23,xd1122,Western Mono,mono1275,Monachi (Nc23),"Monachi, Western Mono, Monache",1870,,,37,-119,37,-119,Original,
Nc24,xd1123,Southern Valley Yokuts,vall1251,Lake Yokuts (Nc24),"Lake Yokuts, Tachi Yokuts, Chunut Yokuts",1860,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36,-120,36,-120,Original,
Nc25,xd1124,Wukchumni,tule1245,Wukchumni (Nc25),Central Foothills Yokuts,1860,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36,-119,36,-119,Original,
Nc26,xd1125,Salinan,sali1253,Salinan (Nc26),,1770,,,36,-121,36,-121,Original,
Nc27,xd1126,Kawaiisu,kawa1283,Kawaiisu (Nc27),Kawaiisu Shoshoni,1860,,,35,-118,35,-118,Original,
Nc28,xd1127,Chumash,cruz1243,Chumash (Nc28),,1800,,,34,-120,34.44,-119.71,Revised,
Nc29,xd1128,Tongva,tong1329,Gabrielo (Nc29),"Gabrielo, Gabrielino, Gabrieleno",1770,,,34,-118,34,-118,Original,
Nc3,xd1129,Northern Foothill Yokuts,nort2937,Yokuts (Nc3),Yokuts,1850,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36,-120,36,-120,Original,
Ad43,xd113,Kerewe,kere1283,Kerewe (Ad43),"Bakerewe, Wakerewe",1900,,,-3,33,-3,33,Original,
Nc30,xd1130,Serrano,serr1255,Serrano (Nc30),,1870,,,34,-117,34,-117,Original,
Nc31,xd1131,Cahuilla (Desert),cahu1264,Cahuilla (Nc31),Desert Cahuilla,1870,,,33,-116,33,-116,Original,"Note, three Cahuilla Dialects (Mountain, Pass, Desert) are recognized by some, but Glottolog does not list any dialects"
Nc32,xd1132,Cupeño,cupe1243,Cupeno (Nc32),"Kuupangaxwichem, Cupeno",1870,,,33,-117,33,-117,Original,
Nc33,xd1133,Luiseño,luis1253,Luiseno (Nc33),"Payómkawichum, Luiseno",1860,,,33,-117,33,-117,Original,
Nc34,xd1134,Kiliwa,kili1268,Kiliwa (Nc34),K'olew,1880,,,31,-115,31,-115,Original,
Nc4,xd1135,Atsugewi,atsu1245,Atsugewi (Nc4),,1860,,,41,-121,41,-121,Original,
Nc5,xd1136,Central Sierra Miwok,cent2140,Miwok (Nc5),Miwok,1850,,,38,-120,38,-120,Original,
Nc6,xd1137,Kumeyaay,kumi1248,Diegueno (Nc6),"Diegueño, Diegueno",1850,,,32,-116,32,-116,Original,"Note, previously tipa1240 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)"
Nc7,xd1138,Yuki,yuki1243,Yuki (Nc7),,1850,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,40,-123,40,-123,Original,
Nc8,xd1139,Klamath,klam1254,Klamath (Nc8),,1860,Klamath (NR10),http://ehrafworldcultures.yale.edu/collection?owc=NR10,43,-122,43,-122,Original,
Ad44,xd114,Konjo,konz1239,Konjo (Ad44),,1920,,,-1,30,-1,30,Original,
Nc9,xd1140,Modoc,klam1254,Modoc (Nc9),,1860,,,42,-122,42,-122,Original,
Nd1,xd1141,Tenino,teni1238,Tenino (Nd1),"Warmsprings Sahaptin, Yenino",1850,,,45,-121,45,-121,Original,
Nd10,xd1142,Nlaka'pamux,thom1243,Thompson (Nd10),"Thompson, Nitlakapamuk, Thompson River Salish",1860,,,50,-122,50,-122,Original,
Nd11,xd1143,Shuswap,shus1248,Shuswap (Nd11),Secwepemc,1850,,,51,-120,51,-120,Original,
Nd12,xd1144,Bitterroot Salish,kali1309,Flathead (Nd12),"Salish, Flathead",1860,Southeast (NR19),in process,46,-113,46,-113,Original,
Nd13,xd1145,Kalispel,kali1309,Kalispel (Nd13),,1860,Southeast (NR19),in process,49,-117,49,-117,Original,
Nd14,xd1146,Coeur d’Alene,coeu1236,Coeur d’Alene (Nd14),"Schitsu'umsh, Skitswish",1860,Southeast (NR19),in process,48,-117,48,-117,Original,
Nd15,xd1147,Sinkaitk,sout2963,Sinkaitk (Nd15),Southern Okanagon,1880,Southeast (NR19),in process,49,-120,49,-120,Original,
Nd16,xd1148,Wenatchi,wena1241,Wenatchi (Nd16),,1870,,,48,-121,48,-121,Original,
Nd17,xd1149,Klikitat,nucl1237,Klikitat (Nd17),Yakima,1870,,,46,-122,46,-122,Original,
Ad45,xd115,Nyankole,nyan1307,Nyankole (Ad45),Banyankole,1920,,,0,31,0,31,Original,
Nd18,xd1150,Wishram,wasc1239,Wishram (Nd18),,1860,,,46,-121,46,-121,Original,
Nd19,xd1151,Umatilla,umat1237,Umatilla (Nd19),,1860,,,46,-119,46,-119,Original,
Nd2,xd1152,Southern Ute,utee1244,Southern Ute (Nd2),"Wimonuntci, Weminute, Wimonantci Ute",1860,Ute (NT19),http://ehrafworldcultures.yale.edu/collection?owc=NT19,38,-109,38,-109,Original,
Nd20,xd1153,Nez Perce,nezp1238,Nez Perce (Nd20),"Nimi'ipuu, Sahaptin",1850,,,45,-115,45,-115,Original,
Nd21,xd1154,Tagotoka,nort1551,Tagotoka (Nd21),Duck Valley Paiute,1870,,,43,-117,43,-117,Original,
Nd22,xd1155,Wadadokado,nort1551,Wadadokado (Nd22),"Paiute, Northern Paiute",1870,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,43,-119,43,-119,Original,
Nd23,xd1156,Atsakudokwa,nort1551,Atsakudokwa (Nd23),Quinn River Paiute,1870,,,42,-118,42,-118,Original,
Nd24,xd1157,Kidutokado,nort1551,Kidutokado (Nd24),"Gididika, Surprise Valley Paiute",1870,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,42,-120,42,-120,Original,
Nd25,xd1158,Sawakudokwa,nort1551,Sawakudokwa (Nd25),Winnemucca Paiute,1870,,,41,-118,41,-118,Original,
Ad46,xd116,Soga,soga1242,Soga (Ad46),Basoga,1950,,,1,33,1,33,Original,
Nd27,xd1160,Kuyuidokado,sout2967,Kuyuidokado (Nd27),Pyramid Lake Paiute,1860,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,40,-119,40,-119,Original,
Nd28,xd1161,Toedokado,sout2967,Toedokado (Nd28),"Stillwater Paiute, Cattail Paiute",1870,,,40,-118,40,-118,Original,
Nd29,xd1162,Tunava (Deep Springs and Fish Lake),mono1275,Tunava (Nd29),"Deep Springs Valley Paiute, Fish Lake Valley Paiute",1870,,,37,-118,37,-118,Original,
Nd3,xd1163,Havasupai,hava1249,Havasupai (Nd3),Plateau Yuma,1870,Plateau Yumans (NT14),http://ehrafworldcultures.yale.edu/collection?owc=NT14,36,-112,36,-112,Original,
Nd30,xd1164,Eastern Mono,mono1275,Eastern Mono (Nd30),Owens Valley Paiute,1870,,,37,-118,37,-118,Original,
Nd31,xd1165,Koso,pana1305,Koso (Nd31),"Western Panamint, Koso Mountain Shoshoni, Little Lake Shoshoni",1850,Western (NT22),in process,36,-118,36,-118,Original,
Nd32,xd1166,Tümpisa Shoshone (Saline and Panamint),pana1305,Panamint (Nd32),"Panamint Shoshoni, Panamint, Saline Valley Shoshoni",1850,Western (NT22),in process,36,-117,36,-117,Original,
Nd33,xd1167,Beatty,pana1305,Beatty (Nd33),"Eastern Panamint, Beatty Shoshoni, Belted Range Shoshoni",1870,,,37,-116,37,-116,Original,
Nd34,xd1168,Lida Shoshoni,west2622,Lida Shoshoni (Nd34),,1870,Western (NT22),in process,37,-117,37,-117,Original,
Nd35,xd1169,Mahaguaduka,west2622,Mahaguaduka (Nd35),Reese River Shoshoni,1870,Western (NT22),in process,39,-117,39,-117,Original,
Ad47,xd117,Sumbwa,sumb1240,Sumbwa (Ad47),,1900,,,-4,32,-4,32,Original,
Nd36,xd1170,Wiyambituka,west2622,Wiyambituka (Nd36),"Morey Shoshoni, Great Smokey Valley Shoshoni, Little Smokey Valley Shoshoni",1870,Western (NT22),in process,39,-117,39,-117,Original,
