id,key,citation
aleksandrov1900b,"Aleksandrov, 1900b","Aleksandrov, N. A. 1900. Stepi. Bessarabija. Moldavane (rumyny) (Steppes. Bessarabia. Moldovans [Rumanians]). Moscow."
alexandreandbinet1958,"Alexandre and Binet, 1958","Alexandre, P., and J. Binet. 1958. Le groupe dit Pahouin (Fang-Boulou-Beti), Paris, Presses Universitaires de France."
alkire1965,"Alkire, 1965","Alkire, W. H. 1965. Lamotrek Atoll and Inter-island Socioeconomic Ties. Illinois Stud. Anthr. 5: 1-180."
allanetal1948,"Allan et al, 1948","Allan, W., M. Gluckman, D. U. Peters, and C. G. Trapell. 1948. Land Holding and Land Usage Among the Plateau Tonga of Mazabuka District. Rhodes-Liv. Pap. 14: 1-192."
alland1963,"Alland, 1963","Alland, A. 1963. Residence, Domicile, and Descent Groups Among the Abrong. Ethnology 2: 276-281."
allegret1927,"Allegret, 1927","Allegret, E. 1927. Correspondence (published in H. A. Junod, the Life of a South African Tribe 1: 271n)."
allen1932,"Allen, 1932","Allen, W. E. D. 1932. A History of the Georgia People. London."
allys1930,"Allys, 1930",Allys. 1930. Monographie de la tribu des Dzems. Bull. Soc. Rech. Congol. 21: 3-21.
alphonse1956,"Alphonse, 1956","Alphonse, E. S. 1956. Guaymi Grammar and Dictionary. Bull. Bur. Amer. Ethnol. 162: 1-128."
altandalt1959,"Alt and Alt, 1959","Alt, H., and E. Alt. 1959. Russia's Children. N. Y."
altschuler1965a,"Altschuler, 1965a","Altschuler, M. 1965. Notes on Cayapa Kinship. Ethnology 4: 440-447."
altschuler1965b,"Altschuler, 1965b","Altschuler, M. 1965. The Cayapa. Ph. D. dissertation. University of Minnesota."
altschuler1971,"Altschuler, 1971","Altschuler, M. 1971. Cayapa Personality and Sexual Motivation. Human Sexual Behavior. ed. D. S. Marshall and R. C. Suggs, pp. 38-58. Princeton."
ambrosetti1895,"Ambrosetti, 1895","Ambrosetti, J. B. 1895. Los Indios Caingua del alto Parana. Boletin del Instituto Geografico Argentino 15: 661-744."
ames1934,"Ames, 1934","Ames, C. G. 1934. Gazetteer of the Plateau Province. Jos."
ames1953,"Ames, 1953","Ames, D. W. 1953. Plural Marriage Among the Wolof in the Gambia. Ph. D. dissertation, Northwestern University."
ames1959a,"Ames, 1959a","Ames, D. W. 1959. Selection of Mates. Continuity and Change in African Cultures, ed. W. R. Bascom and M. J. Herskovits, pp. 156-68. Chicago."
ames1959b,"Ames, 1959b","Ames, D. W. 1959. Wolof Co-operative Work Groups. Continuity and Change in African Cultures, ed. W. R. Bascom and M. J. Herskovits, pp. 224-237. Chicago."
ames1962,"Ames, 1962","Ames, D. W. 1962. The Rural Wolof of the Gambia. Markets in Africa, ed. P. Bohannan and G. Dalton, pp. 29-60. Evanston."
ammar1954,"Ammar, 1954","Ammar, H. 1954. Growing Up in an Egyptian Village. London."
anderson1949,"Anderson, 1949","Anderson, R. 1949. Northern Cheyenne field notes. Ms. Grinnell, George B. 1923. The Cheyenne Indians. 2 volumes. New Haven, Yale University Press."
andersson1953,"Andersson, 1953","Andersson, E. 1953. Contribution a Pethnographie des Kota. Studia Etnog. Upsaliensia 6: 1-364."
anguloandfreeland1929,"Angulo and Freeland, 1929","Angulo, J. de, and L. S. Freeland. 1929. Notes on the Northern Paiute of California. Journ. Soc. Americ. 21: 313-335."
ankermann1910,"Ankermann, 1910","Ankermann, B. 1910. Bericht uber eine Forschungreise ins Grasland von Kamerun. Zeits. Ethnol. 42: 288-310."
anonymous1869,"Anonymous, 1869",Anonymous. 1869. Zametkio latyshaht rehi nfljandskihu ezdov Vitebskoj gubemii (Notes on the Latvians of the Three Infliandian Uezds of the Vitebskaja Guberia ). Vilenskij sbornik 1:223-43.
anonymous1939,"Anonymous, 1939","Anonymous. 1939. Coutumes haoussa et peul. Publ. Com. Et. Hist. Scient. Afr. Occ. Franc., ser. A, 10: 261-301."
anonymous1939a,"Anonymous, 1939a","Anonymous. 1939. Coutume soussou. Publ. Com. Et. Hist. Scient. Afr. Occ. Franc., ser. A, 10: 575-610."
anumanrajadhon1961,"Anuman Rajadhon, 1961","Anuman Rajadhon, P. 1961. Life and Ritual in Old Siam, ed. W. J. Gedney. New Haven."
ardener1954,"Ardener, 1954","Ardener, E. W. 1954. The Kinship Terminology of a group of Southern Ibo. Africa 24: 85-99. [Ezenihite group so. of Isu-Ama]."
ardener1956,"Ardener, 1956","Ardener, E. 1956. Coastal Bantu of the Cameroons. London."
arensbergandkimball1940,"Arensberg and Kimball, 1940","Arensberg, C. M., and S. T. Kimball. 1940 (Revised Edition 1968). Family and Community in Ireland. Cambridge."
argyle1966,"Argyle, 1966","Argyle, W. J. 1966. The Fon of Dahomey. London."
ariyapala1956,"Ariyapala, 1956","Ariyapala, M. B. 1956. Society in Medieval Ceylon. Colombo: K. V. G. de Silva."
armstrongandmetraux1948,"Armstrong and Metraux, 1948","Armstrong, J. M., and A. M‚traux. 1948. The Goajiro. Bulletins of the Bureau of American Ethnology 143: iv, 360-383."
armstrong1928,"Armstrong, 1928","Armstrong, W. E. 1928. Rossel Island. Cambridge."
armstrong1954,"Armstrong, 1954","Armstrong, R. G. 1954. A West African Inquest. Amer. Anth. 56: 1051-1075."
arnaud1921,"Arnaud, 1921","Arnaud, R. 1921. Notes sur les montagnards Habe. Rev. Ethnog. Trad. Pop. 2: 241-318."
arnaud1964,"Arnaud, 1964","Arnaud, E. 1964. Noticia sobre los Indios Gavioes de Oeste. Antropologia 20."
arsenev1926,"Arsen'ev, 1926","Arsen'ev, V. K. 1926. Lesnye ljudi udeheitsy (The Udihe, the Forest People). Vladivostok."
ascher1962,"Ascher, 1962","Ascher, R. 1962. Ethnography for Archeology: A Case from the SEri Indians. Ethnology 1: 360-369."
ashkenazi1948,"Ashkenazi, 1948","Ashkenazi, T. 1948. The Anazah Tribes. Southwestern Journal of Anthropology 4: 222-239."
ashton1952,"Ashton, 1952","Ashton, H. 1952. The Basuto. London."
asmis1911,"Asmis, 1911","Asmis, G. 1911. Die Stammesrechte der Bezirke Misahohe, Anecho und Lome-Land. Zeits. Vergl. Rechtsw. 22: 1-133."
asmis1912,"Asmis, 1912","Asmis, G. 1912. Die Stammersrechte des Bezirkes Sansane-Mangu. Zeits. Vergl. Rechtsw. 27: 71-128."
atkinson1953,"Atkinson, 1953","Atkinson, William C. 1953. Institutions and law. In H. V. Livermore, ed., Portugal and Brazil: an introduction. Oxford, Oxford University Press."
aubert1936,"Aubert, 1936","Aubert, M. 1936. Laws and Customs of the Susus. Sierra Leone Stud. 2: 21-44."
aujas1931,"Aujas, 1931","Aujas, L. 1931. Les Sereres du Senegal. Bull. Com. Et. Hist. Scient. Afr. Occ. Franc. 14: 293-333."
autenrieth1908,"Autenrieth, 1908","Autenrieth, H. 1908. Recht der Kissibaleute. Zeits. Vergl. Rechtsw. 21: 354-392."
avon191516,"Avon, 1915-16",Avon. 1915-16. Vie sociale des Wabende am Tanganika. Anthropos 10-111: 98-113.
aymard1911,"Aymard, 1911","Aymard, A. 1911. Les Touareg. Paris."
aymonier190004,"Aymonier, 1900-04","Aymonier, E. 1900-04. Le Cambodge. 3v. Paris."
ayrout1945,"Ayrout, 1945","Ayrout, H. H. 1945. The Fellaheen. Cairo."
bacdayan1962,"Bacdayan, 1962","Bacdayan, A. S. 1962. Personal communication."
bachtiar1967,"Bachtiar, 1967","Bachtiar, H. W. 1967. Negeri Taran: A. Minangkabau Village Community. Villages in Indonesia, ed. Koentjaraningrat, pp. 348-385. Ithaca."
bacon1922,"Bacon, 1922","Bacon, C. R. K. 1922. The Anuak. Sudan Notes Rec. 5: 113-129."
bacon1958,"Bacon, 1958","Bacon, E. B. 1958. Obok. Viking Fund Publ. Anth. 25: 1-235."
badier1929,"Badier, 1929",Badier. 1929. Monographie de la tribu des Batekes. Bull. Soc. Rech. Congol. 10: 37-43.
baerandbaer1949,"Baer and Baer, 1949","Baer, P., and M. Baer. 1949. Notes on Lacandon Marriage. Southw. Journ. Anth. 5: 101-106."
baerandschmitz1964,"Baer and Schmitz, 1964","Baer, G., and C. A. Schmitz. 1964. On the Social Organization of the Ona (Selk'nam). Ms. Cooper, J. M. 1946. The ONa. Bull. Bur. Amer. Ethn. 143: i, 107-125."
baeyens1913,"Baeyens, 1913","Baeyens, M. 1913. Les Lesa. REv. Congol. 4: 129-143, 193-206, 257-270, 321-336."
bailey1863,"Bailey, 1863","Bailey, J. 1863. An Account of the Wild Veddahs of Ceylon. Transactions of the Ethnological Society of London 2: 278-320."
balandier1952,"Balandier, 1952","Balandier, G. 1952. Les villages gabonais. Mem. Inst. Et. CentrAfr. 5: 1-86."
balashov1995,"Balashov, 1995","Balashov, V. A. (ed. ). 1995. Mordva: istoriko-kul'turye ocherki (The Mordva: Historical-Cultural Essays). Saransk."
baldus1931,"Baldus, 1931","Baldus, H. 1931. Indianerstudien im nordostlichen Chaco. Forschungen zur Volkerpsychologie und Soziologie II: 1-239."
balikei1963a,"Balikei, 1963a","Balikei, A. 1963. Le regime matrimonial des Esquimaux Netsilik. L'Homme 1963: 88-101."
balikei1963b,"Balikei, 1963b","Balikei, A. 1963. Shamanistic Behavior Among the Netsilik Eskimos. Southw. Journ. Anth. 19: 380-396."
ballard1935,"Ballard, 1935","Ballard, A. C. 1935. Southern Puget Sound Salish Kinship Terms. Amer. Anth. 37: 111-116."
ballis1956,"Ballis, 1956","Ballis, W. B., ed. 1956. Mongolian People's Republic. 3 vols. New Haven."
balsdon1963,"Balsdon, 1963","Balsdon, J. P. V. D. 1963. Roman Women. New York."
balsdon1969,"Balsdon, 1969","Balsdon, J. P. V. D. 1969. Life and Leisure in Ancient Rome. New York."
balyn1957,"Balyn, 1957","Balyn, D. 1957. The Geography of the Bible. New York."
banfieldandmacintyre1915,"Banfield and MacIntyre, 1915","Banfield, A. W., and J. I. MacIntyre. V-3. 1915. A grammar of the Nupe language, London, Society for Promoting Christian Knowledge."
bank1953,"Bank, 1953","Bank, T. P. 1953. Health and Medical Lore of the Aleuts. Papers of the Michigan Academy of Science, Arts, and Letters 38:415-431."
barandiaran1962,"Barandiaran, 1962","Barandiaran, D. de. 1962. Activadades vitales de subsistencia de los Indios Yekuana o Makitare. Antropologica 11: 1-29."
bardin1944,"Bardin, 1944","Bardin, P. 1944. Les populations arabes du ontrole civil de GAfsa et leurs genres de vie. Publ. Inst. Belles Lett. Arabes 6: 1-64. Tunis."
barker1953,"Barker, 1953","Barker, J. 1953. memoria sobre la cultura de los Guaika. Bol. Indig. Venez. 1: 433-489."
barnard1938,"Barnard, 1938","Barnard, T. T. 1938. The Social Organization of Ambrym. Man 28: 133-137."
barnes1951,"Barnes, 1951","Barnes, J. A. 1951. The Fort Jameson Ngoni. Seven Tribes of British Central Africa, ed. Colson and Gluckman, pp. 194-252. London."
barnes1954,"Barnes, 1954","Barnes, James A. 1954. Politics in a Changing Society. A Political History of the Fort Jameson Ngoni. London: Oxford University Press."
barnett1937,"Barnett, 1937","Barnett, H. G. 1937. Oregon Coast. Anth. Rec. 1: 155-204."
barnett1938,"Barnett, 1938","Barnett, H. G. 1938. The Coast Salish of Canada. Amer. Anth. 40: 118-141."
barnett1939,"Barnett, 1939","Barnett, H. G. 1939. Gulf of Georgia Salish. Anth. Rec. 1: 221-295."
barnett1949,"Barnett, 1949","Barnett, H. G. 1949. Palauan Society. Eugene."
barnett1955,"Barnett, 1955","Barnett, H. G. 1955. The Coast Salish of British Columbia. Eugene."
barnett1960,"Barnett, 1960","Barnett, H. G. 1960. Being a Palauan. New York."
barnouw1950,"Barnouw, 1950","Barnouw, Victor. 1950. Acculturation and personality among the Wisconsin Chippewa. American Anthropological Association, Memoir 72."
barrau1956,"Barrau, 1956","Barrau, J. 1956. L'agriculture viviere autochtone. Noumea."
barrettandgifford1933,"Barrett and Gifford, 1933","Barrett, S. A., and E. W. Gifford. 1933. Miwok Material Culture. Bull. Publ. Mus. Milwaukee 2: 117-276."
barrett1908,"Barrett, 1908","Barrett, S. A. 1908. The Ethno-geography of the Pomo and Neighboring Indians. University of California Publications in American Archaeology and Ethnology 6: 1-332."
barrett1911a,"Barrett, 1911a","Barrett, S. A. 1911. The dream dance of the Chippewa and Menominee Indians of northern Wisconsin. Bulletin of the Public Museum of the City of Milwaukee, Vol. 1, Part 2, 251-406. Milwaukee, Wisconsin."
barrett1911b,"Barrett, 1911b","Barrett, W. E. H. 1911. Notes on the Customs and Beliefs of the Wa-Giriama. Journ. Roy. Anth. Inst. 41: 20-28."
barrett1916,"Barrett, 1916","Barrett, S. A. 1916. Pomo Buildings. Holmes Anniversary Volume, pp. 1-17. Washington."
barrett1917a,"Barrett, 1917a","Barrett, S. A. 1917. Ceremonies of the Pomo Indians. University of California Publications in American Archaeology and Ethnology 12: 397-441."
barrett1917b,"Barrett, 1917b","Barrett, S. A. 1917. The Washo Indians. Bull. Publ. Mus. Milwaukee 2: 1-52."
barrett1925,"Barrett, 1925","Barrett, S. A. 1925. The Cayapa Indians of Ecuador. Indian Notes and Monographs 40: 1-476."
barrett1952,"Barrett, 1952","Barrett, S. A. 1952. Material Aspects of Pomo Culture. Bulletin, Public Museum of the City of Milwaukee 20: 1-508."
barrow180104,"Barrow, 1801-04","Barrow, J. 1801-04. An Account of Travels into the Interior of South Africa. 2V. London."
barth1953,"Barth, 1953","Barth, F. 1953. Principles of Social Organization in Southern Kurdistan. Bulletin of the University Ethnographic Museum 7. Oslo."
barth1956a,"Barth, 1956a","Barth, F. 1956. Ecologic Relationships of Ethnic Groups in Swat. Amer. Anth. 58: 1079-1089."
barth1956b,"Barth, 1956b","Barth, F. 1956. Indus and Swat Kohistan. Oslo."
barth1959,"Barth, 1959","Barth, F. 1959. Segmentary Opposition and the Theory of Games: A Study of Pathan Organization. Journ. Roy. Anth. Inst. 89: 5-21."
barth1961,"Barth, 1961","Barth, F. K. 1961. Nomads of South Persia. London."
barth1964,"Barth, 1964","Barth, F. K. 1964. Capital, Investment and Social Structure of a Pastoral Nomadic Group. Capital, Saving and Credit in Peasant Societies, ed. R. Firth and B. S. Yamey, pp. 69-81. Chicago."
barth1967,"Barth, 1967","Barth, F. 1967. Economic Spheres in Darfur. Themes in Economic Anthropology, ed. R. Firth, pp. 149-174. Association for Social Anthropology Monographs 6."
bartlett1929,"Bartlett, 1929","Bartlett, H. H. IV-1. 1929. ""Color nomenclature in Batak and Malay,"" Michigan Academy of Science, Arts, and Letters, Papers 10: 1-52."
barton1919,"Barton, 1919","Barton, R. F. 1919. Ifugao Law. University of California Publications in American Archaeology and Ethnology 15:1-186."
barton1921,"Barton, 1921","Barton, J. 1921. Notes on the Suk Tribe of Kenia Colony. Journ. Roy. Anth. Inst. 51: 82-100."
barton1922,"Barton, 1922","Barton, R. F. 1922. Ifugao Economics. University of California Publications in American Archaeology and Ethnology 15 (5): 385-446."
barton1923,"Barton, 1923","Barton, J. 1923. Notes on the Kipsikis or Lumbwa Tribe. Jounr. Roy. Anth. Inst. 53: 42-78."
barton1930,"Barton, 1930","Barton, R. F. 1930. The Half-Way Sun. New York."
barton1938,"Barton, 1938","Barton, R. F. 1938. Philippine Pagans. London."
barton1946,"Barton, 1946","Barton, R. F. 1946. The Religion of the Ifugaos. Memoirs of the American Anthropological Association, 65: 1-219."
barton1949,"Barton, 1949","Barton, R. F. 1949. The Kalingas. Chicago."
bartram1953,"Bartram, 1953","Bartram, W. 1953. Observations on the Creek and Cherokee Indians. Transactions of the American Ethnological Society 3: 1-81."
bascom1942,"Bascom, 1942","Bascom, W. R. 1942. The Principle of Seniority in the Social Structure of the Yoruba. Amer. Anth. 44: 37-46."
bascom1944,"Bascom, 1944","Bascom, W. R. 1944. The Sociological Role of the Yoruba Cult-Group. Mem. Amer. Anth. Assoc. 63: 1-175."
bascom1965,"Bascom, 1965","Bascom, W. R. 1965. Ponape: A Pacific Economy in Transition. Anth. Rec. 22: 1-149."
basedow1913,"Basedow, 1913","Basedow, H. 1913. Notes on the Natures of Bathurst Island. Journal of the Anthropology Institute 48:291-323."
bastien1951,"Bastien, 1951","Bastien, R‚my. 1951. La familia rural haitiana, Valle de Marbial. Tesis. Universidad Nacional Autonoma de Mexico."
batchelor1895,"Batchelor, 1895","Batchelor, J. 1895. The Ainu of Japan. New York."
batchelor1927,"Batchelor, 1927","Batchelor, J. 1927. Ainu Life and Lore. Tokyo."
bateson1932,"Bateson, 1932","Bateson, G. 1932. Social Structure of the Iatmul People. Oceania 2: 245-291, 401-451."
bateson1936,"Bateson, 1936","Bateson, G. 1936. Naven. Cambridge."
baudin1961,"Baudin, 1961","Baudin, L. 1961. A Socialist Empire: The Incas of Peru. New York."
baudin1962,"Baudin, 1962","Baudin, L. 1962. Daily Life in Peru. New York."
baumann1888,"Baumann, 1888","Baumann, O. 1888. Eine Afrikanische Tropeninsel: Fernando Po und die Bubi. Wien."
baumann1891,"Baumann, 1891","Baumann, O. 1891. Usambara und seine Nachbargebiete. Berlin."
baumann1894,"Baumann, 1894","Baumann, O. 1894. Durch Massailand zur Nilquelle. Berlin."
baumann1935,"Baumann, 1935","Baumann, H. 1935. Lunda. Berlin."
baumstark1900,"Baumstark, 1900",Baumstark. 1900. Die Warangi. Mitt. Deutsch. Schutzgeb. 13: 45-60.
baxterandbutt1953,"Baxter and Butt, 1953","Baxter, P. T. W. and A. Butt. 1953. The Azande and Related Peoples of the Anglo-Egyptian Sudan and Belgian Congo. London."
beagleholeandbeaglehole1935,"Beaglehole and Beaglehole, 1935","Beaglehole, Ernest, and Pearl Beaglehole. 1935. Hopi of the second mesa. American Anthropological Association Memoir 44."
beagleholeandbeaglehole1938,"Beaglehole and Beaglehole, 1938","Beaglehole, E., and P. Beaglehole. 1938. Ethnology of Pukapuka. Bull. Bishop Mus. 110: 1-419."
beagleholeandbeaglehole1941,"Beaglehole and Beaglehole, 1941","Beaglehole, E., and P. Beaglehole. 1941. Pangai Village in Tonga. Mem. Polynesian Soc. 18: 1-145."
beaglehole1937,"Beaglehole, 1937","Beaglehole, E. 1937. Notes on Hopi Economic Life. Yale Univ. Publ. Anth. 15: 1-88."
bealsandhester1958,"Beals and Hester, 1958","Beals, R. L. and J. A. Hester. 1958. A Lacustrine Economy in California, Miscellanea Paul Rivet Octogenario Dictata 1: 211-217. Mexico."
beals1933,"Beals, 1933","Beals, R. L. 1933. Ethnology of the Nisenan. Univ. Calif. Publ. Amer. Arch. Ethn. 31: 335-414."
beals1943,"Beals, 1943","Beals, R. L. 1943. Aboriginal Culture of the Cahita Indians. Ibero-Americana 19: 1-86."
beals1945,"Beals, 1945","Beals, R. L. 1945. Ethnology of the Western Mixe. Univ. Calif. Publ. Amer. Arch. Ethnol. 42: 1-176."
beardsleyetal1959,"Beardsley et al., 1959","Beardsley, R. K., J. W. Hall, and R. E. Ward. 1959. Village Japan. Chicago."
beaton1936,"Beaton, 1936","Beaton, A. C. 1936. The Bari. Sudan Notes and Rec. 19: 109-145."
beaton1948,"Beaton, 1948","Beaton, A. C. 1948. The Fur. Sudan Notes and Records 29:1-39."
beattie1960,"Beattie, 1960","Beattie, J. H. N. 1960. Bunyoro. New York. Beattie, J. H. N. 1957-58. Nyoro Kinship, Marriage and Affinity. Africa 27: 317-340; 28: 1-22."
beattie1965,"Beattie, 1965","Beattie, J. H. N. 1965. Understanding an African Kingdom: Bunyoro, New York."
beaucorps1921,"Beaucorps, 1921","Beaucorps, R. de. 1921. Les Basongo de la Luniunga et de la Gobari. Mem. Inst. Roy. Colon. Belge 10: iii, 1-176."
beaucorps1933,"Beaucorps, 1933","Beaucorps, R. de. 1933. Les Bayansi du Bas-Kwilu. Louvain."
beaucorps1951,"Beaucorps, 1951","Beaucorps, R. de. 1951. L'evolution economique chez les Basongo de la Gobari. Mem. Inst. Roy. Colon. Belge, Sect. Sci. Mor. Polit. 20: iv, 1-68."
becker1909,"Becker, 1909","Becker, C. 1909. ""Die Nongkrem-Puja in den Khasi-ergen (Assam),"" Anthropos 4: 892-902."
beckerdonner1944,"Becker-Donner, 1944","Becker-Donner, E. 1944. Ueber zwei Kruvolkerstamme: Kran und Grebo. Wiern Beitr. Kulturg. Ling. 6: 1-70."
bee1963,"Bee, 1963","Bee, R. L. 1963. Changes in Yuma Social Organization. Ethnology 2: 207-227."
beech1911,"Beech, 1911","Beech, M. W. H. 1911. The Suk, Their Language and Folklore. Oxford."
behr1893,"Behr, 1893","Behr, H. F. von. 1893. Die Volker zwischen Rufiyi und Rovuma. Mitt. Deutsch. Schutzgeb. 6: 69-87."
beidelman1967,"Beidelman, 1967","Beidelman, T. C. 1967. The Matrilineal Peoples of Eastern Tanzania. London."
beitipa1995,"Beitipa, 1995","Beitipa, L. 1995. The Livs of the River Gauja. Turaida."
bel1908,"Bel, 1908","Bel, A. 1908. La population musulmane de Tlemeen. Rev. Et. Ethnog. Sociol. 1: 201-225, 417-447."
belgrave1923,"Belgrave, 1923","Belgrave, C. D. 1923. Siwa, the Oasis of Jupiter Ammon. London."
belitserandkotkova1963,"Belitser and Kotkova, 1963","Belitser, V. N., and K. A. Kotkova (eds. ). 1963. Issledovanija po material'noj kul'ture mordovskogo naroda (The Mordva Material Culture). Moscow."
bell1924,"Bell, 1924","Bell, C. 1924. Tibet, Past and Present. Oxford."
bell1928,"Bell, 1928","Bell, C. 1928. The People of Tibet. Oxford."
bell1934,"Bell, 1934","Bell, F. L. S. 1934. Report on Field Work in Tanga. Oceania 4: 290-309."
bell1938,"Bell, 1938","Bell, F. L. S. 1938. Courtship and Marriage Among the Tanga. Oceania 8: 401-418."
bellah1952,"Bellah, 1952","Bellah, R. N. 1952. Apache Kinship Systems. Cambridge."
belo1936,"Belo, 1936","Belo, J. 1936. A Study of a Balinese Family. American Anthropologist 38: 12-31."
belo1970,"Belo, 1970","Belo, J. 1970. Traditional Balinese Culture. New York."
belshaw1951,"Belshaw, 1951","Belshaw, C. S. 1951. Recent History of Mekeo Society. Oceania 22: 1-23."
belshaw1955,"Belshaw, 1955","Belshaw, C. S. 1955. In Search of Wealth. Mem. Amer. Anth. Assoc. 80: 1-84."
belshaw1957,"Belshaw, 1957","Belshaw, C. S. 1957. The Great Village: The Economic and Social Welfare of Hanuabada, an Urban Community in Papua. London."
benedict1924,"Benedict, 1924","Benedict, R. 1924. A Brief Sketch of Serrano Culture. Amer. Anth. 26: 366-392."
benedict1934a,"Benedict, 1934a","Benedict, R. 1934. Patterns of Culture, pp. 57-129. Boston."
benedict1934b,"Benedict, 1934b","Benedict, Ruth. 1934. Patterns of culture. Boston, Houghton Mifflin Company."
benedict1942,"Benedict, 1942","Benedict, P. K. 1942. Tibetan and Chinese Kinship Terms. Harvard Journ. As. Stud. 6: 313-337."
benedict1943,"Benedict, 1943","Benedict, R. F. 1943. Thai Culture and Behavior. Ithaca."
benet1970,"Benet, 1970","Benet, S., ed. 1970. The Village of Viriatino, New York."
benhazera1908,"Benhazera, 1908","Benhazera, M. 1908. Six mois chez les Touareg de Ahaggar. Alger."
bennettandzingg1935,"Bennett and Zingg, 1935","Bennett, W. C., and R. M. Zingg. 1935. The Tarahumara. Chicago."
berengerferaud1878,"Berenger-Feraud, 1878","Berenger-Feraud, L. J. B. 1878. Etude sur les Soninkes. Rev. Anth., ser. 2, 1: 586-607."
bergman1927,"Bergman, 1927","Bergman, S. 1927. Through Kamchatka by dog-sled and skis. London, Seeley, Service & Co."
bernalvilla1954,"Bernal Villa, 1954","Bernal Villa, A. 1954. Economia de los Paez. Rev. olomb. Antr. 3: 291-367."
bernard1929,"Bernard, 1929","Bernard, A. 1929. L'Algerie. Paris."
bernard1966,"Bernard, 1966","Bernard, J. 1966. Les Bisa du cercle de Garango. Recherches Voltaiques 2: 1-247."
bernatzik1933,"Bernatzik, 1933","Bernatzik, H. A. 1933. Aethiopien des Westen. 2V. Wien."
bernatzik1936,"Bernatzik, 1936","Bernatzik, H. A. 1936. Gari-Gari. New York."
bernatzik1938,"Bernatzik, 1938","Bernatzik, H. A. 1938. Overland with the Nomad Lapps. New York."
bernatzik1944,"Bernatzik, 1944","Bernatzik, H. A. 1944. Im Reiche der Bidyogo. Innsbruck. Mendes Moreira,. 1946. Beve ensaio etnografico acerca dos Bijagos. Bol. Cultural Guine Port. 1: 69-115."
bernatzik1947,"Bernatzik, 1947","Bernatzik, H. A. 1947. Akha und Meau. 2v. Innsbruck. Young, G. 1962. The Hill Tribes of Northern Thailand. Bangkok: Siam Society."
berndt1953,"Berndt, 1953","Berndt, R. M. 1953. A Day in the Life of a Dieri Man Before Alien Contact. Anthropos 48: 171-201."
berndt1955,"Berndt, 1955","Berndt, R. M. 1955. ""Murngin"" (Wulamba) Social Organization. Amer. Anth. 57: 84-106."
