var_id,code,description,name
EA010,9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups",Uxorilocal
EA010,10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups",Virilocal
EA010,11,"Ambilocal, with a marked preponderance of uxorilocal practice (i.e., uxorilocal option exceeds virilocal option in actual frequency by a ratio greater than two to one). ",Ambi-uxo
EA010,12,"Ambilocal, with a marked preponderance of virilocal practice (i.e., virilocal option exceeds uxorilocal option in actual frequency by a ratio greater than two to one). ",Ambi-viri
EA011,NA,Missing data,Missing data
EA011,1,"Wife to husband's group (patrilocal, virilocal) or wife to husband's mother's brother's household (avunculocal)",Wife to husband
EA011,2,Couple to either group or neolocal,Ambi/neo-local
EA011,3,Husband to wifeﾒs group,Husband to wife
EA011,9,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence",Separate
EA012,NA,Missing data,Missing data
EA012,1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband",Avunculocal
EA012,2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one.",Ambilocal
EA012,3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally",Avuncu-uxorilocal
EA012,4,Optionally patrilocal (or virilocal) or avunculocal,Avuncu-virilocal
EA012,5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal",Matrilocal
EA012,6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either",Neolocal
EA012,7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence",Separate
EA012,8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal",Patrilocal
EA012,9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups",Uxorilocal
EA012,10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups",Virilocal
EA012,11,"Ambilocal, with a marked preponderance of uxorilocal practice (i.e., uxorilocal option exceeds virilocal option in actual frequency by a ratio greater than two to one). ",Ambi-uxo
EA012,12,"Ambilocal, with a marked preponderance of virilocal practice (i.e., virilocal option exceeds uxorilocal option in actual frequency by a ratio greater than two to one). ",Ambi-viri
EA013,NA,Missing data,Missing data
EA013,1,"Wife to husband's group (patrilocal, virilocal) or wife to husband's mother's brother's household (avunculocal)",Wife to husband
EA013,2,Couple to either group or neolocal,Ambi/neo-local
EA013,3,Husband to wifeﾒs group,Husband to wife
EA013,4,No common residence,Separate
EA013,9,No alternate form,No alternate
EA014,NA,Missing data,Missing data
EA014,1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband",Avunculocal
EA014,2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one.",Ambilocal
EA014,3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally",Avuncu-uxorilocal
EA014,4,Optionally patrilocal (or virilocal) or avunculocal,Avuncu-virilocal
EA014,5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal",Matrilocal
EA014,6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either",Neolocal
EA014,7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence",Separate
EA014,8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal",Patrilocal
EA014,9,"Uxorilocal. Equivalent to ""matrilocal"" but confined to instances where the wife's matrikin are not aggregated in matrilocal and matrilineal kin groups",Uxorilocal
EA014,10,"Virilocal. Equivalent to ""patrilocal"" but confined to instances where the husband's patrikin are not aggregated in patrilocal and patrilineal kin groups",Virilocal
EA014,11,No alternate form,No alternate
EA015,NA,Missing data,Missing data
EA015,1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios",Demes
EA015,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.","Segmented, no exogamy"
EA015,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,Agamous
EA015,4,"Exogamous communities, i.e., those revealing a marked tendency toward local exogamy without having the specific structure of clans",Exogamous
EA015,5,Segmented communities where a marked tendency toward local exogamy is also specifically reported,"Segmented, exogamy"
EA015,6,"Clan-communities, each consisting essentially of a single localized exogamous kin group or clan (see ""Organization of clan communities"" for more detail)",Clans
EA016,NA,Missing data,Missing data
EA016,1,Clan communities not segmented into clan barrios,Clans
EA016,2,Clan communities segmented into clan barrios,Clans with barrios
EA016,9,Communities not organized as exogamous clan communities,No exogamous clans
EA017,NA,Missing data,Missing data
EA017,1,None,None
EA017,2,"Absence of true patrilineal kin groups, but presence of patrilineal exogamy",Exogamy only
EA017,3,"Lineages of modest size, i.e., patrilineal kin groups whose core membership is normally confined to a single community or a part thereof",Lineages
EA017,4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community",Sibs
EA017,5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.",Phratries
EA017,6,"Moieties, i.e., maximal lineages when there are only two such in the society",Moieties
EA018,NA,Missing data,Missing data
EA018,1,No patrilineal exogamy,No exogamy
EA018,2,"Extension of incest taboos to known patrilineal kinsmen, provided such extension does not apply generally to bilateral kinsmen of equal remoteness",Extended taboo
EA018,3,"Lineages of modest size, i.e., patrilineal kin groups whose core membership is normally confined to a single community or a part thereof",Lineages
EA018,4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community",Sibs
EA018,5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.",Phratries
EA018,6,"Moieties, i.e., maximal lineages when there are only two such in the society",Moieties
EA019,NA,Missing data,Missing data
EA019,1,None,None
EA019,2,"Absence of true matrilineal kin groups, but presence of matrilineal exogamy",Exogamy only
EA019,3,"Lineages of modest size, i.e., matrilineal kin groups whose core membership is normally confined to a single community or a part thereof",Lineages
EA019,4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community",Sibs
EA019,5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.",Phratries
EA019,6,"Moieties, i.e., maximal lineages when there are only two such in the society",Moieties
EA020,NA,Missing data,Missing data
EA020,1,No matrilineal exogamy,No exogamy
EA020,2,"Extension of incest taboos to known matrilineal kinsmen, provided extension does not apply generally to bilateral kinsmen of equal remoteness. ",Extended taboo
EA020,3,"Lineages of modest size, i.e., matrilineal kin groups whose core membership is normally confined to a single community or a part thereof",Lineages
EA020,4,"Sibs (""clans"" in British usage), i.e., lineages whose core membership normally comprises residents of more than one community",Sibs
EA020,5,"Phratries, i.e., maximal lineages when there are more than two in the society and when sibs are also present. Segmentary lineage systems in which segments of a lower order of magnitude are equivalent to sibs are also included in this category.",Phratries
EA020,6,"Moieties, i.e., maximal lineages when there are only two such in the society",Moieties
EA021,NA,Missing data,Missing data
EA021,1,"Bilateral descent as inferred from the absence of reported ambilineal, matrilineal, or patrilineal kin groups, kindreds being absent or unreported",Bilateral inferred
EA021,2,"Kindreds: bilateral descent with specifically reported kindreds, i.e., Ego-oriented bilateral kin groups or categories",Bilateral kindreds
EA021,3,"Ambilineal descent inferred from the presence of ambilocal extended families, true ramages being absent or unreported",Ambilineal
EA021,4,"Ramages, i.e., ancestor-oriented ambilineal kin groups, if they are agamous, endogamous, or not specifically stated to be exogamous",Ramages
EA021,5,Exogamous ramages specifically reported,Exogamous ramages
EA021,6,"Bilateral descent with reported or probable quasi-lineages, i.e., cognatic groups approximating the structure of lineages but based on filiation rather than on unilineal or ambilineal descent",Quasi-lineages
EA021,9,Absence of cognatic kin groups as inferred from the presence of unilineal descent,No cognatic kin
EA022,NA,Missing data,Missing data
EA022,2,"Kindreds: bilateral descent with specifically reported kindreds, i.e., Ego-oriented bilateral kin groups or categories",Kindreds
EA022,4,"Ramages, i.e., ancestor-oriented ambilineal kin groups, if they are agamous, endogamous, or not specifically stated to be exogamous",Ramages
EA022,9,No secondary cognatic groups,No secondary groups
EA023,NA,Missing data,Missing data
EA023,1,"Duolateral cross-cousin marriage permitted, i.e., marriage allowed with either MoBrDa or FaSiDa but forbidden with a parallel cousin",Cross-cousin
EA023,2,Duolateral marriage permitted with paternal cousins only (FaBrDa or FaSiDa),Paternal only
EA023,3,Duolateral marriage permitted with maternal cousins only (MoBrDa or MoSiDa),Maternal only
EA023,4,Duolateral marriage permitted with an uncle's daughter only (FaBrDa or MoBrDa),FaBrDa/MoBrDa only
EA023,5,Duolateral marriage permitted with an aunt's daughter only (FaSiDa or MoSiDa),FaSiDa/MoSiDa only
EA023,6,"Unilateral: only matrilateral cross-cousin marriage permitted, i.e., with a MoBrDa",Matrilateral cross only
EA023,7,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",No first/second cousins
EA023,8,"Nonlateral marriage, evidence available only for first cousins",No first cousins
EA023,9,"Unilateral: only patrilateral cross-cousin marriage permitted i.e., with a FaSiDa",Patrilateral cross only
EA023,10,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",Any first cousins
EA023,11,Nonlateral marriage in which all first cousins and some but not all second cousins are forbidden as spouses,Some second only
EA023,12,Nonlateral marriage in which unions are forbidden with any first cousin but are permitted with any second cousin (or at least any who is not a lineage mate),Only second cousins
EA023,13,"Trilateral marriage, i.e., marriage allowed with any first cousin except an orthocousin or lineage mate",Trilateral
EA024,NA,Missing data,Missing data
EA024,1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",Quadrilateral
EA024,2,"Trilateral marriage, i.e., marriage allowed with any first cousin except an orthocousin or lineage mate",Trilateral
EA024,3,Two of four first cousins marriageable,Duolateral
EA024,4,One of four first cousins marriageable,Unilateral
EA024,5,Nonlateral marriage in which unions are forbidden with any first cousin but are permitted with any second cousin (or at least any who is not a lineage mate),Only second cousins
EA024,6,Nonlateral marriage in which all first cousins and some but not all second cousins are forbidden as spouses,Some second only
EA024,7,Nonlateral marriage when evidence is available only for first cousins,No first cousins
EA024,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",No first/second cousins
EA025,NA,Missing data,Missing data
EA025,1,"Duolateral, symmetrical preference for MoBrDa or FaSiDa",Cross-cousin: either
EA025,2,"Duolateral, matrilateral preference (MoBrDa)",Cross-cousin: matri
EA025,3,"Duolateral, patrilateral preference (FaSiDa)",Cross-cousin: patri
EA025,4,"Duolateral, with maternal cousins only and MoBrDa preferred",Maternal: MoBrDa
EA025,5,Unilateral: matrilateral cross-cousin marriage to MoBrDa preferred rather than merely permitted,Uni: MoBrDa
EA025,6,Unilateral: patrilateral cross-cousin marriage to FaSiDa preferred rather than merely permitted,Uni: FaSiDa
EA025,7,"Quadrilateral, where FaBrDa is the preferred mate",All: FaBrDa
EA025,8,"Quadrilateral, symmetrical preference (FaSiDa or MoBrDa)",All: cross
EA025,9,"Quadrilateral, matrilateral preference (MoSi__ or MoBr__)",All: matri
EA025,10,"Nonlateral, with preference for particular second cross-cousins only, notably MoMoBrDaDa or FaMoBrSoDa, often reported of societies with subsection systems",Some second only
EA025,11,"Nonlateral, with second-cousin marriage preferred rather than merely permitted",Second cousins preferred
EA025,12,"Trilateral marriage, with preference for a bilateral cross-cousin (MoBrDa = FaSiDa). ",Tri: bilateral
EA025,13,"Trilateral marriage, with preference for a matrilateral cross-cousin (MoBrDa)",Tri: matrilateral
EA025,14,"Trilateral marriage, with preference for a patrilateral cross-cousin (FaSiDa)",Tri: patrilateral
EA025,15,No preferred cousin marriages,None preferred
EA026,NA,Missing data,Missing data
EA026,1,A symmetrical cross-cousin is preferred spouse,Cross-cousin
EA026,2,MoBrDa is preferred spouse,MoBrDa
EA026,3,FaSiDa is preferred spouse,FaSiDa
EA026,4,FaBrDa is preferred spouse,FaBrDa
EA026,5,A second-cousin is preferred spouse,Second cousin
EA026,9,No preferred cousin marriage,None preferred
EA027,NA,Missing data,Missing data
EA027,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",Crow
EA027,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",Descriptive
EA027,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",Eskimo
EA027,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",Hawaiian
EA027,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",Iroquois
EA027,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",Omaha
EA027,7,"Sudanese, i.e., FaSiCh and MoBrCh distinguished alike from siblings, parallel cousins, and each other but without conforming to either the Crow, the descriptive, or the Omaha patterns",Sudanese
EA027,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""",Mixed
EA028,NA,Missing data,Missing data
EA028,1,Complete absence of agriculture,No agriculture
EA028,2,"Casual agriculture, i.e., the slight or sporadic cultivation of food or other plants incidental to a primary dependence upon other subsistence practices",Casual
EA028,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",Extensive/shifting
EA028,4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops",Horticulture
EA028,5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods",Intensive
EA028,6,Intensive cultivation where it is largely dependent upon irrigation,Intensive irrigated
EA029,NA,Missing data,Missing data
EA029,1,No agriculture,No agriculture
EA029,2,"Non-food crops only, e.g., cotton or tobacco",Non-food
EA029,3,"Vegetables, e.g., cucurbits, greens, or legumes, when more important than other crops",Vegetables
EA029,4,"Tree fruits, e.g., bananas, breadfruit, coconuts, or dates, when more important than cereal grains and root crops. Sago, unless specifically reported to be cultivated, is treated as a gathered product rather than a cultivated one",Tree-fruits
EA029,5,"Roots or tubers, e.g., manioc, potatoes, taro, or yams, when more important than cereal grains and at least as important as tree crops or vegetables",Roots/tubers
EA029,6,"Cereal grains, e.g., maize, millet, rice, or wheat, when at least as important as any other type of crop",Cereals
EA030,NA,Missing data,Missing data
EA030,1,Fully migratory or nomadic bands,Nomadic
EA030,2,"Seminomadic communities whose members wander in bands for at least half of the year but occupy a fixed settlement at some season or seasons, e.g., recurrently occupied winter quarters",Seminomadic
EA030,3,"Semisedentary communities whose members shift from one to another fixed settlement at different seasons or who occupy more or less permanently a single settlement from which a substantial proportion of the population departs seasonally to occupy shifting camps, e.g., during transhumance",Semisedentary
EA030,4,"Compact but impermanent settlements, i.e., villages whose location is shifted every few years",Impermanent
EA030,5,Neighborhoods of dispersed family homesteads,Dispersed homesteads
EA030,6,Separated hamlets where several such form a more or less permanent single community,Hamlets
EA030,7,"Compact and relatively permanent settlements, i.e., nucleated villages or towns",Villages/towns
EA030,8,Complex settlements consisting of a nucleated village or town with outlying homesteads or satellite hamlets. Urban aggregations of population are not separately indicated since EA031 deals with community size,Complex permanent
EA031,NA,Missing data,Missing data
EA031,1,Fewer than 50 persons,<50
EA031,2,From 50 to 99 persons,50-99
EA031,3,From 100 to 199 persons,100-199
EA031,4,From 200 to 399 persons,200-399
EA031,5,"From 400 to 1,000 persons",400-1000
EA031,6,"More than 1,000 persons in the absence of indigenous urban aggregations",1000+ no towns
EA031,7,"One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",5000-50000
EA031,8,"One or more indigenous cities with more than 50,000 inhabitants",50000+
EA032,NA,Missing data,Missing data
EA032,2,Independent families (may be nuclear or polygynous),Independent families
EA032,3,Extended families,Extended families
EA032,4,Clan-barrios,Clan-barrios
EA033,NA,Missing data,Missing data
EA033,1,"No political authority beyond community (e.g., autonomous bands and villages)",Acephalous
EA033,2,"One level (e.g., petty chiefdoms)",One level
EA033,3,"Two levels (e.g., larger chiefdoms) ",Two levels
EA033,4,"Three levels (e.g., states)",Three levels
EA033,5,"Four levels (e.g., large states)",Four levels
EA034,NA,Missing data,Missing data
EA034,1,A high god absent or not reported in substantial descriptions of religious beliefs,Absent
EA034,2,A high god present but otiose or not concerned with human affairs,Otiose
EA034,3,A high god present and active in human affairs but not offering positive support to human morality,"Active, but not supporting morality"
EA034,4,"A high god present, active, and specifically supportive of human morality","Active, supporting morality"
EA035,NA,Missing data,Missing data
EA035,1,No games of any of the three types,No games
EA035,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",Physical skill only
EA035,3,"Games of chance only, with no significant element of either physical skill or strategy involved, e.g., dice games",Chance only
EA035,4,Games of physical skill and of chance both present,Physical skill and chance
EA035,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",Strategy only
EA035,6,"Games of physical skill and of strategy present, but not games of chance",Strategy and physical skill
EA035,7,"Games of chance and of strategy present, but not games of physical skill",Strategy and chance
EA035,8,Games of all three types present,All types
EA036,NA,Missing data,Missing data
EA036,1,"No taboo, especially where the husband is expected to have intercourse with his wife as soon as possible after childbirth for the alleged benefit of the child",No taboo
EA036,2,"Short post-partum taboo, lasting not more than one month",Up to one month
EA036,3,Duration of from more than a month to six months,One to six months
EA036,4,Duration of from more than six months to one year,Six months to a year
EA036,5,Duration of from more than one year to two years,A year to two years
EA036,6,Duration of more than two years,More than two years
EA037,NA,Missing data,Missing data
EA037,1,Absent or not generally practiced,Absent
EA037,2,"Performed shortly after birth, i.e., within the first two months",Shortly after birth
EA037,3,"Performed during infancy, i.e., from two months to two years of age",Infancy 
EA037,4,"Performed during early childhood, i.e., from two to five years of age",Early childhood
EA037,5,"Performed during late childhood, i.e., from six to ten years of age",Late childhood
EA037,6,"Performed during adolescence, i.e., from eleven to fifteen years of age",Adolescence
EA037,7,"Performed during early adulthood, i.e., from sixteen to 25 years of age",Early adulthood
EA037,8,"Performed during maturity, i.e., from 25 to 50 years of age",Maturity
EA037,9,"Performed in old age, i.e., after 50 years of age",Old age
EA037,10,"Circumcision customary, but the normal age is unspecified or unclear","Customary, age unclear"
EA038,NA,Missing data,Missing data
EA038,1,"Absence of segregation, adolescent boys residing and sleeping in the same dwelling as their mothers and sisters",No segregation
EA038,2,"Partial segregation, adolescent boys residing or eating with their natal families but sleeping apart from them, e.g., in a special hut or in a cattle shed",Partial
EA038,3,"Complete segregation, in which adolescent boys go to live as individuals with relatives outside the nuclear family, e.g., with grandparents or with a maternal or paternal uncle",Complete: outside nuclear family
EA038,4,"Complete segregation, in which adolescent boys go to live as individuals with non-relatives, e.g., as retainers to a chief or as apprentices to specialists",Complete: outside kin
EA038,5,"Complete segregation, in which boys reside with a group of their own peers, e.g., in bachelor dormitories, military regiments, or age-villages",Complete: own peers
EA039,NA,Missing data,Missing data
EA039,1,Absent (no plow animals),Absent
EA039,2,Plow cultivation not aboriginal but well established at the period of observation,Not aboriginal but present
EA039,3,Animals employed in plow cultivation prior to the contact period,Present
EA040,NA,Missing data,Missing data
EA040,1,"Absence or near absence of domestic animals other than bees, eats, dogs, fowl, guinea pigs, or the like",Absence or near absence
EA040,2,Pigs the only domestic animals of consequence,Pigs
EA040,3,Sheep and/or goats when larger domestic animals are absent or much less important,Sheep/goats
EA040,4,"Equine animals, e.g., horses, donkeys",Equine
EA040,5,"Deer, e.g., reindeer",Deer
EA040,6,"Camels or other animals of related genera, e.g., alpacas, llamas",Camelids
EA040,7,"Bovine animals, e.g., cattle, mithun, water buffaloes, yaks",Bovine
EA041,NA,Missing data,Missing data
EA041,1,Absence or near absence of milking,Absence or near absence
EA041,2,Domestic animals milked more often than sporadically,More than sporadically
