id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
B385,xd1041,Kalaallit (West Greenland),kala1399,West Greenland (B385),"West Greenland Eskimo, West Greenland Inuit",1880,,,69.31,-50.21,69.31,-50.21,Original,Note 8Feb2018: Glottocode updated from west2617 to kala1399
B362,xd1042,Dena'ina,tana1289,Tanaina (B362),Tanaina,1870,,,61.74,-150.45,61.74,-150.45,Original,
B347,xd1043,Tahltan,tahl1239,Tahltan (B347),Southwestern Nahane,1870,,,57.66,-127.85,57.66,-127.85,Original,
B343,xd1044,Sekani,seka1250,Sekani (B343),"Tsek'ene, Sicauni",1880,,,56.14,-120,56.14,-120,Original,
B344,xd1045,Beaver,beav1236,Beaver (B344),"Denezaa, Tsattine",1850,,,58.51,-115.76,58.51,-115.76,Original,
B355,xd1046,Dene,chip1261,Chippewyan (B355),Chipewyan,1880,Chipewyan (ND07),http://ehrafworldcultures.yale.edu/collection?owc=ND07,59.47,-106.19,59.47,-106.19,Original,
B342,xd1048,Montagnais,mont1268,Montagnais (B342),"Innu, Naskapi",1880,Montagnais (NH06),http://ehrafworldcultures.yale.edu/collection?owc=NH06,52.42,-63.33,52.42,-63.33,Original,"Note 8Feb2018: Not changed, despite comment from HH: ""Naskapi [nsk] is a different lg from Montagnais [moe]"". KK: Decided to leave, after looking into ethnographic materials: Foci are Lake St. John Band and Mistassini band [see KK notes for geographical extent of their territories]. Speck and Heye (1921): ""[the] Pikwagami (""Flat lake,"" Lake St John), are an interior Montagnais culture intermediate between that of the coast and that of the eastern Naskapi and Mistassini. Therefore, Montagnais [moe] is more appropriate choice. "
B332,xd1049,Northern Saulteaux,alba1270,North Saulteaux (B332),"N. Saulteaux, North Sauteaux",1870,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,52.28,-96.78,52.28,-96.78,Original,
B334,xd1050,Pekangekum,lacs1238,Pekangekum Ojibwa (B334),,1940,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,51.84,-93.85,51.84,-93.85,Original,
B337,xd1051,Nipigon,cent2136,Nipigon Ojibwa (B337),"Lake Nipigon Ojibway, Anishinaabek, Southern Saulteaux",1800,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,49.34,-88.31,49.34,-88.31,Original,
B331,xd1053,Rainy River Ojibwe,rain1239,Rainy River Ojibwa (B331),"Gojijiwininiwag, Rainy River, Emo",1880,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,45.21,-85.1,45.21,-85.1,Original,
B328,xd1054,Katikitegon,uppe1274,Katikitegon (B328),Wisconsin Ojibwa,1800,,,45,-91,45,-91,Original,
B327,xd1055,Eastern Ojibwa,east2542,Kitchibaun Ojibwa (B327),"Kitchibuan, Kitchibuan Ojibwa; Kitchibaun Ojibwa",1870,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,45.21,-85.1,45.21,-85.1,Original,
B346,xd1056,Kaska,kask1239,Kaska (B346),Nahane,1920,Kaska (ND12),http://ehrafworldcultures.yale.edu/collection?owc=ND12,59.73,-125,59.73,-125,Original,
B329,xd1058,Mi'kmaq,mikm1235,Micmac (B329),Micmac,1700,Mi'kmaq (NJ05),http://ehrafworldcultures.yale.edu/collection?owc=NJ05,46.99,-65,46.99,-65,Original,
B387,xd1060,Netsilik,nets1241,Netsilik Inuit (B387),"Netsilik Inuit, Netsilik Eskimo",1880,,,71.46,-94.93,71.46,-94.93,Original,
B338,xd1062,Mistissini Cree,sout2978,Mistassini Cree (B338),Mistassini Cree,1880,,,51.75,-72.66,51.75,-72.66,Original,
B365,xd1063,Naskapi,nask1242,Naskapi (B365),,1890,Montagnais (NH06),http://ehrafworldcultures.yale.edu/collection?owc=NH06,56.19,-68.92,56.19,-68.92,Original,
B299,xd1064,Nunivak,kusk1241,Nunivak (B299),Nunivak Cup'ig,1930,,,60.03,-166.3,60.03,-166.3,Original,
B353,xd1065,Attawapiskat Cree,swam1239,Attawapiskat Cree (B353),Attawapiskat,1900,,,53.62,-83.88,53.62,-83.88,Original,
B357,xd1066,Deg Xit'an,dege1248,Ingalik (B357),Ingalik,1880,,,61.82,-157.75,61.82,-157.75,Original,
B298,xd1067,Aleut,east2533,Aleut (B298),Unagan,1830,Aleut (NA06),http://ehrafworldcultures.yale.edu/collection?owc=NA06,55,-162.85,55,-162.85,Original,
B290,xd1068,Haida,nort2938,Haida (B290),,1890,,,53.54,-132.29,53.54,-132.29,Original,
B336,xd1069,Alkatcho,sout2958,Alkatcho (B336),"Tsuu'Tina, Alkatcho Carrier, Ilgatcho, Ilgachuz",1865,,,51.32,-124.02,51.32,-124.02,Original,
B273,xd1070,Nuu chah nulth,nuuc1236,Nootka (B273),"Nuu-chah-nulth, Aht, Central Nootka",1880,Nuu-chah-nulth (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,49.34,-125.74,49.34,-125.74,Original,
B268,xd1072,Squamish,squa1248,Squamish (B268),,1880,,,49.77,-123.19,49.77,-123.19,Original,
B282,xd1073,Comox,isla1276,Comox (B282),K'ómoks,1860,,,50,-125.5,50,-125.5,Original,
B277,xd1074,Lummi,lumm1243,Lummi (B277),Lhaq'temish,1880,,,48.84,-122.34,48.84,-122.34,Original,
B285,xd1075,Klallam,clal1241,Clallam (B285),Clallum,1860,,,47.95,-123.55,47.95,-123.55,Original,
B270,xd1076,Puyallup,sout2965,Puyallup (B270),,1870,,,47.11,-122.04,47.11,-122.04,Original,
B284,xd1077,Quileute,quil1240,Quileute (B284),,1880,,,47.77,-124.14,47.77,-124.14,Original,
B274,xd1078,Lower Chinook,chin1286,Chinook (B274),Chinook,1850,Chinookans of the Lower Columbia River (NR06),http://ehrafworldcultures.yale.edu/collection?owc=NR06,46.06,-123.75,46.06,-123.75,Original,
B271,xd1079,Twana,twan1247,Twana (B271),,1850,,,47.55,-123.16,47.55,-123.16,Original,
B281,xd1080,Tillamook,till1254,Tillamook (B281),Nehalem,1880,,,45.4,-123.82,45.4,-123.82,Original,
B275,xd1081,Coos,coos1249,Coos (B275),,1860,,,43.43,-124.11,43.43,-124.11,Original,
B292,xd1082,Tlingit,tlin1245,Tlingit (B292),"Kolosh, Southern Tlingit",1880,Tlingit (NA12),http://ehrafworldcultures.yale.edu/collection?owc=NA12,57,-133.59,57,-133.59,Original,"Note northern and southern tlingit considered distinct dialects of tli by some, but no codes available in Glottolog."
B283,xd1083,Heiltsuk,bell1263,Bella-Bella (B283),"Bellabella, Bella Bella",1880,,,52.87,-127.87,52.87,-127.87,Original,
B286,xd1084,Makah,maka1318,Makah (B286),,1860,Nootka (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,48.22,-124.58,48.22,-124.58,Original,
B278,xd1085,Quinault,quin1251,Quinault (B278),,1860,Quinault (NR17),http://ehrafworldcultures.yale.edu/collection?owc=NR17,47.38,-123.82,47.38,-123.82,Original,
B280,xd1086,Cowichan,cowi1241,Cowichan (B280),Hul'q'umi'num Mustimuhw,1880,,,48.41,-123.64,48.41,-123.64,Original,
B279,xd1087,Stó:lō,chil1281,Stalo (B279),"Stalo, Halkomelem, Fraser River Cowichan",1880,,,49.23,-122.7,49.23,-122.7,Original,
B269,xd1088,Alsea,alse1251,Alsea (B269),,1860,,,44.42,-123.84,44.42,-123.84,Original,
B288,xd1090,Kwakwaka'wakw,kwak1269,Kwakiutl (B288),"Southern Kwakiutl, Kwagu'ł, Kwagyewlth",1890,,,50.42,-126.67,50.42,-126.67,Original,
B176,xd1091,Takelma,take1257,Tekelma (B176),"Rogue River Indians, Tekelma",1860,,,42.44,-123.48,42.44,-123.48,Original,
B181,xd1092,Tututni,tutu1242,Tututni (B181),,1870,,,42.61,-124.04,42.61,-124.04,Original,
B179,xd1093,Shasta,shas1239,Shasta (B179),,1860,,,41.62,-122.7,41.62,-122.7,Original,
B162,xd1094,Chimariko,chim1301,Chimariko (B162),,1860,,,40.85,-123.3,40.85,-123.3,Original,
B182,xd1095,Karuk,karo1304,Karok (B182),Karok,1860,,,41.58,-123.47,41.58,-123.47,Original,
B180,xd1096,Hupa,hupa1239,Hupa (B180),,1860,,,40.93,-123.61,40.93,-123.61,Original,
B184,xd1097,Wiyot,wiyo1248,Wiyot (B184),,1860,,,40.75,-124.14,40.75,-124.14,Original,
B167,xd1098,Lassik,wail1244,Lassik (B167),,1870,,,40.18,-123.16,40.18,-123.16,Original,"Note, Nongatl, Sinkyone and Lassik considered distinct dialects of wlk by some, but glottolog does not provide dialect identifiers"
B169,xd1099,Mattole-Bear River,matt1238,Mattole (B169),"Mattole, Bear River",1920,,,40.17,-124.04,40.17,-124.04,Original,
B166,xd1100,Sinkyone,wail1244,Sinkyone (B166),,1860,,,40.1,-123.96,40.1,-123.96,Original,"Note, Nongatl, Sinkyone and Lassik considered distinct dialects of wlk by some, but glottolog does not provide dialect identifiers"
B186,xd1101,Yurok,yuro1248,Yurok (B186),,1850,Yurok (NS31),http://ehrafworldcultures.yale.edu/collection?owc=NS31,41.4,-123.89,41.4,-123.89,Original,
B295,xd1102,Eyak,eyak1241,Eyak (B295),dAXunhyuu,1890,,,60.48,-144,60.48,-144,Original,
B178,xd1103,Tolowa,tolo1259,Tolowa (B178),,1870,,,41.87,-123.92,41.87,-123.92,Original,
B289,xd1104,Tsimshian,nucl1649,Tsimshim (B289),Ts’msyan,1880,,,54,-129.58,54,-129.58,Original,
B287,xd1105,Haisla,hais1244,Haisla (B287),Kitimat,1880,,,53.5,-128.42,53.5,-128.42,Original,
B291,xd1106,Nuxalk,bell1243,Bella-Coola (B291),"Nuxalkmc, Bellacoola, Bilqula, Bella Coola",1880,Nuxalk (NE06),http://ehrafworldcultures.yale.edu/collection?owc=NE06,52.32,-126.58,52.32,-126.58,Original,
B153,xd1107,Nomlaki,noml1242,Nomlaki (B153),Central Wintun,1850,,,40,-122.56,40,-122.56,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
B187,xd1108,Achumawi,achu1247,Achomawi (B187),Achomawi,1860,,,41.32,-121.19,41.32,-121.19,Original,
B174,xd1109,Yana,yana1271,Northern Yana (B174),Nozi,1860,,,40.38,-122.89,40.38,-122.89,Original,
B185,xd1110,Maidu,nort2952,Mountain Maidu (B185),Pujunan,1850,,,40.28,-120.56,40.28,-120.56,Original,
B163,xd1111,Nisenan,nise1244,Nisenan (B163),"Southern Maidu, Nisenan Southern Maidu",1850,,,39.03,-121.15,39.03,-121.15,Original,
B160,xd1112,Wintu,nucl1651,Wintu (B160),Northern Wintu,1860,,,40.9,-122.35,40.9,-122.35,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
B177,xd1113,Coast Yuki,yuki1243,Coast Yuki (B177),,1860,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,39.64,-123.74,39.64,-123.74,Original,
B173,xd1115,Northern Pomo,nort2966,Nothern Pomo (B173),,1860,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,39.34,-123.29,39.34,-123.29,Original,
B158,xd1116,Eastern Pomo,east2545,Eastern Pomo (B158),,1860,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,39.03,-122.94,39.03,-122.94,Original,
B159,xd1116,Clear Lake Pomo,east2545,Clear Lake Pomo (B159),Eastern Pomo,1860,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,39.12,-122.94,39.12,-122.94,Original,
B152,xd1118,Tübalulabal,tuba1278,Tubatulabal (B152),Tubatulabal,1850,Tubatulabal (NS22),http://ehrafworldcultures.yale.edu/collection?owc=NS22,36,-118.32,36,-118.32,Original,
B172,xd1119,Wappo,wapp1239,Wappo (B172),,1860,,,38.59,-122.54,38.59,-122.54,Original,
B170,xd1120,Lake Miwok,lake1258,Lake Miwok (B170),,1900,,,38.79,-122.48,38.79,-122.48,Original,
B155,xd1121,Patwin,patw1250,Patwin (B155),Southern Wintun,1850,,,39.08,-122.05,39.08,-122.05,Original,
B157,xd1122,Western Mono,mono1275,Monache (B157),"Monachi, Western Mono, Monache",1870,,,36.6,-117.08,36.6,-117.08,Original,
B148,xd1123,Southern Valley Yokuts,vall1251,Lake Yokuts (B148),"Lake Yokuts, Tachi Yokuts, Chunut Yokuts",1860,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36,-119.83,36,-119.83,Original,
B151,xd1124,Wukchumni,tule1245,Wukchumi (B151),Central Foothills Yokuts,1860,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,36.45,-118.96,36.45,-118.96,Original,
B164,xd1125,Salinan,sali1253,Salinan (B164),,1805,,,35.47,-120.84,35.47,-120.84,Original,
B199,xd1126,Kawaiisu,kawa1283,Kawaiisu Shoshoni (B199),Kawaiisu Shoshoni,1860,,,35.37,-118,35.37,-118,Original,
B161,xd1127,Chumash,cruz1243,Chumash (B161),,1860,,,34.63,-119.6,34.63,-119.6,Original,
B156,xd1128,Tongva,tong1329,Gabrieleno (B156),"Gabrielo, Gabrielino, Gabrieleno",1770,,,34,-118,34,-118,Original,
B154,xd1129,Northern Foothills Yokuts,nort2937,Yokuts (northern foothill) (B154),Northern Foothill Yokuts,1850,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,37.44,-120.44,37.44,-120.44,Original,
B149,xd1130,Serrano,serr1255,Serrano (B149),,1870,,,34.52,-117,34.52,-117,Original,
B144,xd1131,Cahuilla (Desert),cahu1264,Cahuilla (B144),Desert Cahuilla,1870,,,33.59,-116.24,33.59,-116.24,Original,"Note, three Cahuilla Dialects (Mountain, Pass, Desert) are recognized by some, but Glottolog does not list any dialects"
B145,xd1132,Cupeño,cupe1243,Cupeno (B145),"Kuupangaxwichem, Cupeno",1870,,,33.26,-116.59,33.26,-116.59,Original,
B150,xd1133,Luiseño,luis1253,Luiseno (B150),"Payómkawichum, Luiseno",1860,,,33.42,-117.3,33.42,-117.3,Original,
B146,xd1134,Kiliwa,kili1268,Kiliwa (B146),K'olew,1880,,,31.44,-115.25,31.44,-115.25,Original,
B183,xd1135,Atsugewi,atsu1245,Atsugewi (B183),,1860,,,40.75,-121.12,40.75,-121.12,Original,
B175,xd1136,Central Sierra Miwok,cent2140,Sierra Miwok (B175),Miwok,1850,,,38,-119.77,38,-119.77,Original,
B147,xd1137,Kumeyaay,kumi1248,Diegueno (B147),"Diegueño, Diegueno",1850,,,32.44,-116.49,32.44,-116.49,Original,"Note, previously tipa1240 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)"
B171,xd1138,Yuki,yuki1243,Yuki (B171),,1850,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,39.7,-123.15,39.7,-123.15,Original,
B189,xd1139,Klamath,klam1254,Klamath (B189),,1860,Klamath (NR10),http://ehrafworldcultures.yale.edu/collection?owc=NR10,42.62,-121.5,42.62,-121.5,Original,
B188,xd1140,Modoc,klam1254,Modoc (B188),,1860,,,42,-121.31,42,-121.31,Original,
B315,xd1141,Tenino,teni1238,Tenino (B315),"Warmsprings Sahaptin, Yenino",1850,,,45.59,-120.45,45.59,-120.45,Original,
B325,xd1142,Nlaka'pamux,thom1243,Thompson (B325),"Thompson, Nitlakapamuk, Thompson River Salish",1860,,,51.26,-121.75,51.26,-121.75,Original,
B333,xd1143,Shuswap,shus1248,Shuswap (B333),Secwepemc,1850,,,53.41,-119.53,53.41,-119.53,Original,
B330,xd1144,Bitterroot Salish,kali1309,Flathead (B330),"Salish, Flathead",1860,Southeast (NR19),in process,46.28,-113.26,46.28,-113.26,Original,
B326,xd1145,Kalispel,kali1309,Kalispel (B326),,1870,Southeast (NR19),in process,47.94,-115.67,47.94,-115.67,Original,
B320,xd1146,Coeur d’Alene,coeu1236,Coeur d'Alene (B320),"Schitsu'umsh, Skitswish",1860,Southeast (NR19),in process,47.42,-116.34,47.42,-116.34,Original,
B321,xd1147,Sinkaitk,sout2963,Sinkaietk (B321),Southern Okanagon,1880,Southeast (NR19),in process,48.78,-119.56,48.78,-119.56,Original,
B317,xd1148,Wenatchi,wena1241,Wenatchi (B317),,1870,,,47.41,-120.31,47.41,-120.31,Original,
B318,xd1149,Klikitat,nucl1237,Yakima (B318),Yakima,1880,,,46.33,-120.27,46.33,-120.27,Original,
B319,xd1150,Wishram,wasc1239,Wishram (B319),,1860,,,45.72,-121.13,45.72,-121.13,Original,
B316,xd1151,Umatilla,umat1237,Umatilla (B316),,1860,,,45.49,-119.94,45.49,-119.94,Original,
B222,xd1152,Southern Ute,utee1244,Southern Ute (Wimonantci Ute) (B222),"Wimonuntci, Weminute, Wimonantci Ute",1860,Ute (NT19),http://ehrafworldcultures.yale.edu/collection?owc=NT19,37.67,-109,37.67,-109,Original,
B324,xd1153,Nez Perce,nezp1238,Nez Perce (B324),"Nimi'ipuu, Sahaptin",1850,,,46.25,-116.46,46.25,-116.46,Original,
B231,xd1155,Wadadokado,nort1551,Wadadokado Paiute (B231),"Paiute, Northern Paiute",1870,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,43.25,-119.14,43.25,-119.14,Original,
B226,xd1157,Kidutokado,nort1551,Kidutokado (Surprise Valley Paiute) (B226),"Gididika, Surprise Valley Paiute",1870,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,41.5,-120.06,41.5,-120.06,Original,
B208,xd1160,Kuyuidokado,sout2967,Kuyuidokado (Pyramid Lake Paiute) (B208),Pyramid Lake Paiute,1860,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,40,-119.6,40,-119.6,Original,
B210,xd1161,Toedokado,sout2967,Cattail Paiute (B210),"Stillwater Paiute, Cattail Paiute",1870,,,40.12,-118.37,40.12,-118.37,Original,
B206,xd1162,Tunava (Deep Springs),mono1275,Deep Springs Paiute (B206),Deep Springs Valley Paiute,1860,,,37.28,-118,37.28,-118,Original,
B211,xd1162,Tunava (Fish Lake),mono1275,Fish Lake Paiute (B211),Fish Lake Valley Paiute,1860,,,37.69,-118.14,37.69,-118.14,Original,
B202,xd1164,Eastern Mono,mono1275,Owens Valley Paiute (Eastern Mono) (B202),"Owens Valley Paiute, Eastern Mono",1870,,,36.88,-118.18,36.88,-118.18,Original,
B197,xd1165,Koso,pana1305,Koso Mountain Shoshoni (B197),"Western Panamint, Koso Mountain Shoshoni, Little Lake Shoshoni",1860,Western (NT22),in process,36.12,-117.7,36.12,-117.7,Original,
B192,xd1166,Tümpisa Shoshone (Death Valley),pana1305,Death Valley Shoshoni (B192),Death Valley Shoshoni,1860,Western (NT22),in process,36.52,-116.81,36.52,-116.81,Original,
B195,xd1166,Tümpisa Shoshone (Panamint),pana1305,Panamint Shoshoni (B195),Panamint Shoshoni,1850,Western (NT22),in process,36.37,-117.33,36.37,-117.33,Original,
B200,xd1166,Tümpisa Shoshone (Saline),pana1305,Saline Valley Shoshoni (B200),Saline Valley Shoshoni,1860,Western (NT22),in process,36.65,-117.79,36.65,-117.79,Original,
B218,xd1169,Mahaguaduka,west2622,Reese River Shoshoni (B218),Reese River Shoshoni,1860,Western (NT22),in process,39.25,-117.32,39.25,-117.32,Original,
B233,xd1170,Wiyambituka,west2622,Little Smokey Shoshoni (B233),"Morey Shoshoni, Great Smokey Valley Shoshoni, Little Smokey Valley Shoshoni",1860,Western (NT22),in process,39.33,-115.84,39.33,-115.84,Original,
B217,xd1171,Railroad Valley Shoshoni,west2622,Railroad Valley Shoshoni (B217),Hamilton,1860,Western (NT22),in process,38.33,-115.78,38.33,-115.78,Original,
B323,xd1174,Sanpoil,sanp1257,Sanpoil (B323),,1870,Southeast (NR19),in process,47.94,-118.44,47.94,-118.44,Original,
B221,xd1175,Tubaduka,west2622,Grouse Creek Shoshoni (B221),Grouse Creek Shoshoni,1860,,,41.59,-113.94,41.59,-113.94,Original,
B228,xd1176,Wadaduka,west2622,Wadaduica (Ruby Valley Shoshoni) (B228),"Ruby Valley Shoshoni, Pine Creek Shoshoni, Diamond Valley Shoshoni, Egan Canyon Shoshoni",1860,,,40.36,-115.39,40.36,-115.39,Original,
B216,xd1178,White Knife Shoshoni,west2622,White Knife Shoshoni (B216),"Battle Mountain Shoshoni, Tosawihi",1860,,,41,-117.31,41,-117.31,Original,
B229,xd1180,Bohogue,nort2955,Bohogue (Northern Shoshoni) (B229),Fort Hall Shoshoni,1860,,,43,-112,43,-112,Original,
