Name_on_tree_tip1,Name_on_tree_tip,xd_id,soc_id,fixed_order
141,C104_Aka,"xd923, xd924","B60, B61",1
142,C105_Mbenga,,,
143,C141_Bonyala,,,
144,C142_Mondongo,,,
145,C15_Bongili,,,
146,C21_Ngare,,,
147,C22_Akwa,,,
148,C24_Koyo,,,
149,C25_Mboshi,,,
150,C25A_Bunji,,,
151,C25B_Olee,,,
152,C25C_Ondinga,,,
153,C25E_Eboyi,,,
154,C302_Bolondo,,,
155,C32_Bobangi,,,
156,C322_Zamba,,,
157,C323_Mpama,,,
158,C34_Sakata,xd49,Ac24,0
159,C36d_Lingala,xd147,Ae28,0
160,C36g_Monyongo,,,
161,C36g_Mosange,,,
162,C37_Ebudza,xd157,Ae37,0
163,C401_Babati_1919,,,
164,C401_Pakabete,,,
165,C41_Ngombe,xd159,Ae39,0
166,C412_Libobi,,,
167,C42_Ebwela,,,
168,C43A_Baati,,,
169,C44_Bwa,,,
170,C52_Soko,,,
171,C52_Soko_1919,,,
172,C54_Turumba_1919,,,
173,C55_Lokele,,,
174,C61_Mongo,"xd143, xd160","Ae24, Ae4, SCCS14",1
175,C61E_Konda,xd139,Ae20,0
176,C71_Tetela,xd144,Ae25,0
177,C76_Ombo,,,
178,C81_Dengese,,,
179,C83_Bushong,xd66,Ac4,0
180,C85_Wongo,,,
181,D11_Mbole,,,
182,D12_Lengola,,,
183,D13_Metoko,,,
184,D14_Enya,,,
185,D20B_Vamba_1919,,,
186,D201_Liko,,,
187,D21_Baali,xd153,Ae33,0
188,D211_Kango,xd5,"Aa5, B65, SCCS13",0
189,D23_Kibira-Kumu_1919,xd152,Ae32,0
190,D24_Songola,xd129,Ae11,0
191,D25_Lega,,,
192,D28_Holoholo,,,
193,D304_Homa_1919,,,
194,D305_Nyanga-li,,,
195,D308_Bodo2,,,
196,D308_Ebodo,,,
197,D311_Bila,xd150,Ae30,0
198,D313_Mbuttu_1919,,,
199,D32_Bira,xd154,Ae34,0
200,D32_Bira_Bunia,,,
201,D33_Nyali,,,
202,D331_Bvanuma,,,
203,D333_Ndaaka,,,
204,D334_Mbo,,,
205,D43_Nyanga,,,
206,D55_Buyu,xd57,Ac31,0
207,E46_Sonjo,xd108,Ad39,0
208,E51_Kikuyu,xd109,"Ad4, SCCS11",0
209,E52_Embu,,,
210,E52_Mbeere,,,
211,E53_Igoji,,,
212,E53_Imenti,,,
213,E53_Meru,xd104,Ad35,0
214,E53_Meruimenti,,,
215,E53_Merutig,,,
216,E53_Miutini,,,
217,E53_Tigania,,,
218,E531_Muthambi,,,
219,E531_Mwimbi,,,
220,E54_Tharaka,,,
221,E541_Chuka,,,
222,E55_Kamba,xd103,Ad34,0
223,E55_Kamba_Kitu,,,
224,E55_Kamba_Mach,,,
225,E56_Daiso,,,
226,E621B_Machame,,,
227,E621C_Siha,,,
228,E621D_Kibosho,,,
229,E622A_Kimochi,xd98,Ad3,0
230,E622C_Lema,,,
231,E622C_Mamba,,,
232,E622C_Vunjo,,,
233,E623_Mkuu,,,
234,E623A_Kiseri,,,
235,E623D_Keni,,,
236,E64_Kahe,,,
237,E65_Gweno,,,
238,E701_Elwana,,,
239,E71A_Upper_Pokomo,xd102,Ad33,0
240,E72a_Giryama,xd101,Ad32,0
241,E73_Digo,xd99,Ad30,0
242,E74a_Dawida,,,
243,E74a_Tuveta,,,
244,F12_Bende,xd85,Ad18,0
245,F21_Ntuzu,,,
246,F21_Sukuma,xd90,Ad22,0
247,F22_Nyamwezi,,,
248,F23_Sumbwa,xd117,Ad47,0
249,F24_Kimbu,,,
250,F25_Bungu,,,
251,F31_Nyiramba,,,
252,F32_Nyaturucha,,,
253,F32_Nyaturuwil,xd94,Ad26,0
254,F33_Langi,xd93,Ad25,0
255,G11_Gogo,xd92,Ad24,0
256,G12_Kagulu,xd121,Ad50,0
257,G22_Asu,xd105,Ad36,0
258,G22A_North_Pare,,,
259,G22B_South_Pare,,,
260,G23_Sambaa,,,
261,G24_Bondei,,,
262,G31_Zigua,xd96,Ad28,0
263,G32_Doe,,,
264,G32_Kwere,xd95,Ad27,0
265,G33_Zaramo,,,
266,G34_Nguungulu,xd122,Ad51,0
267,G35_Luguru,xd81,"Ad14, SCCS10",0
268,G36_Kami,,,
269,G37_Kutu,,,
270,G39_Saghala,,,
271,G401_Mwani,,,
272,G41_Bajuni,,,
273,G412_Mwiini,,,
274,G42_Swahili,,,
275,G42a_Amu,,,
276,G42d_Unguja,,,
277,G43_Kae,,,
278,G44a_Ngazija,,,
279,G44b_Ndzwani,,,
280,G44D_Maore,,,
281,G51_Pogoro,,,
282,G52_Ndamba,,,
283,G61_Sangu,xd91,Ad23,0
284,G62_Hehe,xd125,Ad8,0
285,G63_Bena,xd78,Ad11,0
286,G64_Pangwa,,,
287,G65_Kinga,,,
288,G66_Wanji,,,
289,H11_Beembe,,,
290,H111_Hangala,,,
291,H12_Civili_Congo,,,
292,H13_Kikunyi_1989,,,
293,H131_Kisundi_Congo_Kimongo_1988,xd42,Ac18,0
294,H16_Cilinji,,,
295,H16_Cimbala,,,
296,H16_Cizobe,,,
297,H16_Kikongo,,,
298,H16_Kimbata_Ngidinga,,,
299,H16_Kimbeko,,,
300,H16a_Kisikongo_2013,xd38,Ac14,0
301,H16a_Kisolongo_DRC_2012,,,
302,H16b_Kindibu_2013,,,
303,H16c_Kiyombe_DRC_1982,,,
304,H16c_Yombe,xd74,Ac8,0
305,H16d_Ciwoyo_DRC_2012,,,
306,H16f_Laadi,,,
307,H16g_Kimpangu_2012,,,
308,H16g_Ntandu,,,
309,H16h_Kinkanu_2012,,,
310,H21a_Kimbundu,,,
311,H31_Yaka,xd45,Ac20,0
312,H32_Suku,xd41,"Ac17, SCCS6",0
313,H321_Soonde,xd54,Ac29,0
314,H41_Mbala,xd39,Ac15,0
315,H42_Hunganna,,,
316,JD53_Shi,xd131,Ae13,0
317,JD62_Rundi,xd184,Ae8,0
318,JD64_Shubi,,,
319,JD65_Hangaza,,,
320,JD66_Kiha,xd132,Ae14,0
321,JD67_Kivinza,,,
322,JE11_Runyoro,xd87,Ad2,0
323,JE12_Rutooro,xd118,Ad48,0
324,JE13_Runyankore,,,
325,JE14_Rukiga,,,
326,JE15_Luganda,xd124,"Ad7, SCCS12",0
327,JE16_Lusoga,xd116,Ad46,0
328,JE17_Gwere,,,
329,JE21_Runyambo,,,
330,JE22_Haya,xd112,Ad42,0
331,JE23_Zinza,xd119,Ad49,0
332,JE24_Kerebe,xd113,Ad43,0
333,JE25_Jita,,,
334,JE25_Kilegi,,,
335,JE25_Mkwaya,,,
336,JE31_Lumasaaba,xd126,Ad9,0
337,JE31c_Bukusu,xd111,Ad41,0
338,JE32_Luyia,,,
339,JE34_Samialugwe,,,
340,JE401_Ngoreme,,,
341,JE402_Ikizu,,,
342,JE403_Suba,,,
343,JE404_Shasi,,,
344,JE41_Maragoli,,,
345,JE42_Gusii,xd79,Ad12,0
346,JE43_Kuria,,,
347,JE43_Kuria_Mago,,,
348,JE43_Kuria_Tari,,,
349,JE44_Zanaki,,,
350,JE45_Nata,,,
351,K11_Ciokwe,xd36,Ac12,0
352,K14_Lwena,xd35,Ac11,0
353,K15_Mbunda,,,
354,K21_Lozi,xd26,"Ab3, SCCS4",0
355,K31_Luyana,,,
356,K33_Kwangali,,,
357,K332_Rumanyo,,,
358,L11_Pende,xd44,Ac2,0
359,L12b_Holu,,,
360,L13_Kwese,,,
361,L221_Lwalwa,,,
362,L23_Songe,xd136,Ae18,0
363,L31a_Luba-Kasai,xd182,Ae6,0
364,L32_Kanyok,,,
365,L33_Luba-Shaba,,,
366,L34_Hemba,,,
367,L35_Sanga,xd137,Ae19,0
368,L41_Kaonde,xd58,Ac32,0
369,L51_Salampasu,,,
370,L52_Lunda,xd72,Ac6,0
371,L53_Runda,,,
372,L62_Nkoya,,,
373,M11_Pimbwe,xd89,Ad21,0
374,M12_Lungwa,,,
375,M13_Fipa,xd86,Ad19,0
376,M14_Rungu,,,
377,M15_Mambwe,,,
378,M21_Ndali,,,
379,M21_Wanda,,,
380,M22_Namwanga,,,
381,M23_Nyiha,,,
382,M24_Malila,,,
383,M25_Safwa,xd84,Ad17,0
384,M28_Lambya,,,
385,M31_Nyakyusa,"xd123, xd83","Ad6, SCCS8, Ad16",1
386,M41_Taabwa,xd61,Ac35,0
387,M42_Bemba,"xd55, xd60","Ac3, SCCS7, Ac34",1
388,M52_Lala,xd59,Ac33,0
389,M54_Lamba,xd71,Ac5,0
390,M61_Lenje,,,
391,M62_Soli,,,
392,M64_Tonga,xd37,Ac13,0
393,N11_Manda,xd65,Ac39,0
394,N12_Ngoni,xd75,Ac9,0
395,N13_Matengo,,,
396,N14_Mpoto,,,
397,N21_Tumbuka_Malawi,xd62,Ac36,0
398,N31_Chewa,"xd34, xd64","Ac10, Ac38",1
399,N42_Kunda,xd63,Ac37,0
400,P11_Ndengeleko,,,
401,P12_Rufiji,,,
402,P13_Matumbi,,,
403,P14_Ngindo,,,
404,P15_Mbunga,,,
405,P21_Yao,xd73,Ac7,0
406,P22_Mwera,,,
407,P23_Simakonde,xd68,Ac41,0
408,P25_Mabia,,,
409,P31_Emakhua,xd69,Ac42,0
410,P31G_Ikorovere,,,
411,R11_Umbundu,xd28,"Ab5, SCCS5",0
412,R21_Kwanyama,,,
413,R22_Ndonga,,,
414,R31_Herero,xd10,Ab1,0
415,S11_Shona,xd19,Ab18,0
416,S16_Kalanga,,,
417,S21_Venda,xd29,Ab6,0
418,S31_Tswana,xd14,Ab13,0
419,S311_Shekgalagari,,,
420,S41_Xhosa,"xd12, xd24, xd11","Ab11, Ab21b, Ab10",1
421,S42_Zulu,xd13,Ab12,0
422,S44_Ndebele,xd32,Ab9,0
423,S51_Tshwa,,,
424,S53_Tsonga,xd27,"Ab4, SCCS3",0
