Name_on_tree_tip1,Name_on_tree_tip2,xd_id,iso6393,glottolog_id,MultiDialectsInDplace
74,B11b_Orungu,,mye,myen1241,
75,B11c_Galwa,,mye,myen1241,
76,B11d_Dyumba,,mye,myen1241,
77,B11F_Enenga,,mye,myen1241,
78,B201_Ndasa,,nda,ndas1238,
79,B202_Sigu,,sxe,sigh1238,
80,B203_Samaye,,,,
81,B204_Ndambomo_Li,,,,
82,B204_Ndambomo_Massoukou,,,,
83,B204_Ndambomo_Mbadi,,,,
84,B21_Seki,,syi,seki1238,
85,B22a_Kele,,keb,kele1257,
86,B22b_Koya,,nra,ngom1270,
87,B22b_Ngom,,nra,ngom1270,
88,B22E_Mwesa,,,,
89,B23_Mbangwe,,zmn,mban1268,
90,B24_Wumbvu,,wum,wumb1242,
91,B25_Kota,xd162,koq,kota1274,
92,B251_Shake,,sak,sake1247,
93,B252_Mahongwe,,mhb,maho1248,
94,B301_Viya,,buw,bubi1250,
95,B302_Himba,,sbw,simb1254,
96,B304_Pinzi,,pic,pinj1243,
97,B305_Vove,,buw,bubi1250,
98,B31_Tsogo,xd40,tsv,tsog1243,
99,B32_Kande,,kbs,kand1300,
100,B404_Ngubi,,,,
101,B41_Shira,,swj,sira1266,
102,B42_Sangu_Mb,,snq,sang1333,
103,B42_Sangu_Mi,,snq,sang1333,
104,B43_Punu,,puu,punu1239,
105,B44_Lumbu,,lup,lumb1249,
106,B501_Wanzi_E,,wdd,wand1266,
107,B501_Wanzi_Mo,,wdd,wand1266,
108,B503_Vili,,,,
109,B51_Duma,,dma,duma1253,
110,B51_Duma_La,,dma,duma1253,
111,B52_Nzebi,,nzb,njeb1242,
112,B53_Tsaangi_Poungi,,tsa,tsaa1242,
113,B601_Lempini,,mdt,mber1257,
114,B602_Kaningi_Nord,,kzo,kani1279,
115,B602_Kaningi_Sud,,kzo,kani1279,
116,B62_Mbaama,,mbm,omba1241,
117,B63_Ndumu,,nmd,ndum1239,
118,B701_Atsitsege,,tck,tchi1245,
119,B71a_Teke_Dj,,teg,teke1275,
120,B71a_Teke_Os,,teg,teke1275,
121,B71aIb_Teke_Ibali_Congo,,tek,ibal1241,
122,B71aLe_Teke_Leconi,,tek,ibal1241,
123,B77b_Fumu,,ifm,teke1274,
124,B78_Wuumu,,,,
125,B81_Tiene,,tii,tien1242,
126,B82_Buma,,boh,boma1246,
127,B84_Mbunda,xd46,zmp,mpuo1241,
128,B85_Yanzi,xd51,yns,yans1239,
129,B85d_Nsongo,xd50,soo,song1299,
130,B85e_Mput,,,,
131,B86_Dinga,xd47,diz,ding1239,
132,B86_Dzing,,soo,song1299,
133,B861_Ngul,,nlo,ngul1247,
134,B862_Lwel,,,,
135,B863_Pindi,,,,
136,B864_Ngong,,,,
137,B865_Nzadi,,,,
138,C101_Babole_Dz,,bvx,dibo1245,
139,C101_Babole_Ep,,bvx,dibo1245,
140,C101_Babole_Ma,,bvx,dibo1245,
141,C104_Aka,"xd923, xd924",axk,yaka1272,
142,C105_Mbenga,,,,
143,C141_Bonyala,,,,
144,C142_Mondongo,,,,
145,C15_Bongili,,bui,bong1284,
146,C21_Ngare,,mdu,mbok1243,
147,C22_Akwa,,akw,akwa1248,
148,C24_Koyo,,koh,koyo1242,
149,C25_Mboshi,,mdw,mbos1242,
150,C25A_Bunji,,,,
151,C25B_Olee,,,,
152,C25C_Ondinga,,,,
153,C25E_Eboyi,,,,
154,C302_Bolondo,,bzm,bolo1263,
155,C32_Bobangi,,bni,bang1354,
156,C322_Zamba,,,,
157,C323_Mpama,,,,
158,C34_Sakata,xd49,skt,saka1287,
159,C36d_Lingala,xd147,lin,ling1263,
160,C36g_Monyongo,,ndl,ndol1238,
161,C36g_Mosange,,ndl,ndol1238,
162,C37_Ebudza,xd157,bja,budz1238,
163,C401_Babati_1919,,pae,pagi1243,
164,C401_Pakabete,,pae,pagi1243,
165,C41_Ngombe,xd159,ngc,binj1250,
166,C412_Libobi,,bmg,bamw1238,
167,C42_Ebwela,,bwl,bwel1238,
168,C43A_Baati,,,,
169,C44_Bwa,,bww,bwaa1238,
170,C52_Soko,,soc,sode1235,
171,C52_Soko_1919,,soc,sode1235,
172,C54_Turumba_1919,,loo,lomb1260,
173,C55_Lokele,,soc,sode1235,
174,C61_Mongo,"xd143, xd160",lol,mong1338,
175,C61E_Konda,xd139,lol,ekon1238,
176,C71_Tetela,xd144,tll,tete1250,
177,C76_Ombo,,oml,ombo1238,
178,C81_Dengese,,dez,deng1250,
179,C83_Bushong,xd66,buf,bush1247,
180,C85_Wongo,,won,wong1247,
181,D11_Mbole,,mdq,mbol1247,
182,D12_Lengola,,lej,leng1258,
183,D13_Metoko,,zmq,mitu1240,
184,D14_Enya,,gey,enya1247,
185,D20B_Vamba_1919,,,,
186,D201_Liko,,lik,lika1243,
187,D21_Baali,xd153,bcp,bali1274,
188,D211_Kango,xd5,kzy,kang1285,
189,D23_Kibira-Kumu_1919,xd152,kmw,komo1260,
190,D24_Songola,xd129,sod,song1300,
191,D25_Lega,,lgm,lega1250,
192,D28_Holoholo,,hoo,holo1240,
193,D304_Homa_1919,,hom,homa1239,
194,D305_Nyanga-li,,nyc,nyan1303,
195,D308_Bodo2,,boy,bodo1272,
196,D308_Ebodo,,boy,bodo1272,
197,D311_Bila,xd150,bip,bila1255,
198,D313_Mbuttu_1919,,,,
199,D32_Bira,xd154,brf,bera1259,
200,D32_Bira_Bunia,,brf,bera1259,
201,D33_Nyali,,nlj,nyal1250,
202,D331_Bvanuma,,vau,vanu1242,
203,D333_Ndaaka,,ndk,ndak1241,
204,D334_Mbo,,zmw,mbod1238,
205,D43_Nyanga,,nyj,nyan1304,
206,D55_Buyu,xd57,byi,buyu1239,
207,E46_Sonjo,xd108,soz,temi1247,
208,E51_Kikuyu,xd109,kik,kiku1240,
209,E52_Embu,,ebu,embu1241,
210,E52_Mbeere,,ebu,embu1241,
211,E53_Igoji,,mer,meru1245,
212,E53_Imenti,,mer,meru1245,
213,E53_Meru,xd104,mer,meru1245,
214,E53_Meruimenti,,mer,meru1245,
215,E53_Merutig,,mer,meru1245,
216,E53_Miutini,,mer,meru1245,
217,E53_Tigania,,mer,meru1245,
218,E531_Muthambi,,mws,mwim1241,
219,E531_Mwimbi,,mws,mwim1241,
220,E54_Tharaka,,thk,thar1283,
221,E541_Chuka,,cuh,chuk1274,
222,E55_Kamba,xd103,kam,kamb1297,
223,E55_Kamba_Kitu,,kam,kamb1297,
224,E55_Kamba_Mach,,kam,kamb1297,
225,E56_Daiso,,dhs,dhai1238,
226,E621B_Machame,,jmc,mach1266,
227,E621C_Siha,,,,
228,E621D_Kibosho,,,,
229,E622A_Kimochi,xd98,old,moch1256,
230,E622C_Lema,,vun,vunj1238,
231,E622C_Mamba,,vun,vunj1238,
232,E622C_Vunjo,,vun,vunj1238,
233,E623_Mkuu,,,,
234,E623A_Kiseri,,,,
235,E623D_Keni,,,,
236,E64_Kahe,,hka,kahe1238,
237,E65_Gweno,,gwe,gwen1239,
238,E701_Elwana,,mlk,ilwa1237,
239,E71A_Upper_Pokomo,xd102,pkb,poko1261,
240,E72a_Giryama,xd101,nyf,giry1241,
241,E73_Digo,xd99,dig,digo1243,
242,E74a_Dawida,,tvs,tave1240,
243,E74a_Tuveta,,tvs,tave1240,
244,F12_Bende,xd85,bdp,bend1258,
245,F21_Ntuzu,,,,
246,F21_Sukuma,xd90,suk,suku1261,
247,F22_Nyamwezi,,num,niua1240,
248,F23_Sumbwa,xd117,suw,sumb1240,
249,F24_Kimbu,,kiv,kimb1242,
250,F25_Bungu,,wun,bung1265,
251,F31_Nyiramba,,nim,nila1242,
252,F32_Nyaturucha,,rim,nyat1246,
253,F32_Nyaturuwil,xd94,rim,nyat1246,
254,F33_Langi,xd93,lag,lang1320,
255,G11_Gogo,xd92,gog,gogo1263,
256,G12_Kagulu,xd121,kki,kagu1239,
257,G22_Asu,xd105,asa,asut1235,
258,G22A_North_Pare,,asa,asut1235,
259,G22B_South_Pare,,asa,asut1235,
260,G23_Sambaa,,asa,asut1235,
261,G24_Bondei,,bou,bond1247,
262,G31_Zigua,xd96,ziw,zigu1242,
263,G32_Doe,,cwe,kwer1261,
264,G32_Kwere,xd95,cwe,kwer1261,
265,G33_Zaramo,,zaj,zara1247,
266,G34_Nguungulu,xd122,ngp,ngul1246,
267,G35_Luguru,xd81,ruf,lugu1238,
268,G36_Kami,,kcu,kami1256,
269,G37_Kutu,,kdc,kutu1263,
270,G39_Saghala,,sbm,saga1256,
271,G401_Mwani,,wmw,mwan1247,
272,G41_Bajuni,,,,
273,G412_Mwiini,,,,
274,G42_Swahili,,swh,swah1253,
275,G42a_Amu,,,,
276,G42d_Unguja,,,,
277,G43_Kae,,,,
278,G44a_Ngazija,,zdj,ngaz1238,
279,G44b_Ndzwani,,wni,ndzw1235,
280,G44D_Maore,,,,
281,G51_Pogoro,,poy,pogo1243,
282,G52_Ndamba,,ndj,ndam1239,
283,G61_Sangu,xd91,sbp,sang1330,
284,G62_Hehe,xd125,heh,hehe1240,
285,G63_Bena,xd78,bez,bena1262,
286,G64_Pangwa,,pbr,pang1287,
287,G65_Kinga,,zga,nucl1379,
288,G66_Wanji,,wbi,vwan1235,
289,H11_Beembe,,beq,beem1239,
290,H111_Hangala,,ldi,laar1238,
291,H12_Civili_Congo,,vif,vili1238,
292,H13_Kikunyi_1989,,njx,kuny1238,
293,H131_Kisundi_Congo_Kimongo_1988,xd42,sdj,suun1239,
294,H16_Cilinji,,,,
295,H16_Cimbala,,,,
296,H16_Cizobe,,,,
297,H16_Kikongo,,kng,koon1244,
298,H16_Kimbata_Ngidinga,,,,
299,H16_Kimbeko,,,,
300,H16a_Kisikongo_2013,xd38,kwy,sans1272,
301,H16a_Kisolongo_DRC_2012,,kwy,sans1272,
302,H16b_Kindibu_2013,,,,
303,H16c_Kiyombe_DRC_1982,,yom,yomb1244,
304,H16c_Yombe,xd74,yom,yomb1244,
305,H16d_Ciwoyo_DRC_2012,,,,
306,H16f_Laadi,,ldi,laar1238,
307,H16g_Kimpangu_2012,,,,
308,H16g_Ntandu,,,,
309,H16h_Kinkanu_2012,,,,
310,H21a_Kimbundu,,kmb,kimb1241,
311,H31_Yaka,xd45,yaf,yaka1269,
312,H32_Suku,xd41,sub,suku1259,
313,H321_Soonde,xd54,shc,sond1250,
314,H41_Mbala,xd39,mdp,mbal1257,
315,H42_Hunganna,,hum,hung1278,
316,JD53_Shi,xd131,shr,shii1238,
317,JD62_Rundi,xd184,run,rund1242,
318,JD64_Shubi,,suj,shub1238,
319,JD65_Hangaza,,han,hang1260,
320,JD66_Kiha,xd132,haq,haaa1252,
321,JD67_Kivinza,,vin,vinz1238,
322,JE11_Runyoro,xd87,nyo,nyor1246,
323,JE12_Rutooro,xd118,ttj,toor1238,
324,JE13_Runyankore,,,,
325,JE14_Rukiga,,,,
326,JE15_Luganda,xd124,lug,gand1255,
327,JE16_Lusoga,xd116,xog,soga1242,
328,JE17_Gwere,,gwr,gwer1238,
329,JE21_Runyambo,,now,nyam1277,
330,JE22_Haya,xd112,hay,haya1250,
331,JE23_Zinza,xd119,zin,zinz1238,
332,JE24_Kerebe,xd113,ked,kere1283,
333,JE25_Jita,,jit,jita1239,
334,JE25_Kilegi,,jit,jita1239,
335,JE25_Mkwaya,,jit,jita1239,
336,JE31_Lumasaaba,xd126,myx,masa1299,
337,JE31c_Bukusu,xd111,bxk,buku1249,
338,JE32_Luyia,,luy,,
339,JE34_Samialugwe,,,,
340,JE401_Ngoreme,,ngq,ngur1263,
341,JE402_Ikizu,,ikz,ikiz1238,
342,JE403_Suba,,suh,,
343,JE404_Shasi,,szk,,
344,JE41_Maragoli,,rag,logo1258,
345,JE42_Gusii,xd79,guz,gusi1247,
346,JE43_Kuria,,kuj,kuri1259,
347,JE43_Kuria_Mago,,kuj,kuri1259,
348,JE43_Kuria_Tari,,kuj,kuri1259,
349,JE44_Zanaki,,zak,zana1238,
350,JE45_Nata,,ntk,ikom1245,
351,K11_Ciokwe,xd36,cjk,chok1245,
352,K14_Lwena,xd35,lue,luva1239,
353,K15_Mbunda,,mck,mbun1249,
354,K21_Lozi,xd26,loz,lozi1239,
355,K31_Luyana,,lyn,luya1241,
356,K33_Kwangali,,kwn,kwan1273,
357,K332_Rumanyo,,diu,diri1252,
358,L11_Pende,xd44,pem,phen1239,
359,L12b_Holu,,hol,holu1245,
360,L13_Kwese,,kws,kwes1244,
361,L221_Lwalwa,,lwa,lwal1238,
362,L23_Songe,xd136,sop,song1303,
363,L31a_Luba-Kasai,xd182,lub,luba1250,
364,L32_Kanyok,,kny,kany1247,
365,L33_Luba-Shaba,,lub,luba1250,
366,L34_Hemba,,kqn,kaon1241,
367,L35_Sanga,xd137,sng,sang1331,
368,L41_Kaonde,xd58,kqn,kaon1241,
369,L51_Salampasu,,slx,sala1268,
370,L52_Lunda,xd72,lun,lund1266,
371,L53_Runda,,rnd,ruun1238,
372,L62_Nkoya,,nka,nkoy1244,
373,M11_Pimbwe,xd89,piw,pimb1238,
374,M12_Lungwa,,rnw,rung1255,
375,M13_Fipa,xd86,fip,fipa1238,
376,M14_Rungu,,,,
377,M15_Mambwe,,,,
378,M21_Ndali,,ndh,ndal1241,
379,M21_Wanda,,wbh,wand1264,
380,M22_Namwanga,,nih,nyih1240,
381,M23_Nyiha,,nih,nyih1240,
382,M24_Malila,,mgq,mali1279,
383,M25_Safwa,xd84,sbk,safw1238,
384,M28_Lambya,,lai,lamb1272,
385,M31_Nyakyusa,"xd123, xd83",nyy,nyak1260,
386,M41_Taabwa,xd61,tap,shil1264,
387,M42_Bemba,"xd55, xd60",bem,bemb1257,
388,M52_Lala,xd59,leb,lala1264,
389,M54_Lamba,xd71,lam,lamb1271,
390,M61_Lenje,,leh,lenj1248,
391,M62_Soli,,sby,soli1239,
392,M64_Tonga,xd37,tog,tong1321,
393,N11_Manda,xd65,mgs,mand1423,
394,N12_Ngoni,xd75,ngo,ngon1269,
395,N13_Matengo,,mgv,mate1258,
396,N14_Mpoto,,mpa,mpot1240,
397,N21_Tumbuka_Malawi,xd62,tum,tumb1250,
398,N31_Chewa,"xd34, xd64",nya,nyan1308,
399,N42_Kunda,xd63,kdn,kund1255,
400,P11_Ndengeleko,,ndg,nden1248,
401,P12_Rufiji,,rui,rufi1234,
402,P13_Matumbi,,mgw,matu1259,
403,P14_Ngindo,,nnq,ngin1244,
404,P15_Mbunga,,mgy,mbun1248,
405,P21_Yao,xd73,yao,yaoo1241,
406,P22_Mwera,,mjh,mwer1247,
407,P23_Simakonde,xd68,kde,mako1251,
408,P25_Mabia,,kde,mako1251,
409,P31_Emakhua,xd69,vmw,makh1264,
410,P31G_Ikorovere,,,,
411,R11_Umbundu,xd28,umb,umbu1257,
412,R21_Kwanyama,,kua,kuan1247,
413,R22_Ndonga,,sna,shon1251,
414,R31_Herero,xd10,her,here1253,
415,S11_Shona,xd19,sna,shon1251,
416,S16_Kalanga,,her,here1253,
417,S21_Venda,xd29,ven,vend1245,
418,S31_Tswana,xd14,tsn,tswa1253,
419,S311_Shekgalagari,,xkv,kgal1244,
420,S41_Xhosa,"xd12, xd24, xd11",xho,xhos1239,
421,S42_Zulu,xd13,zul,zulu1248,
422,S44_Ndebele,xd32,nde,nort2795,
423,S51_Tshwa,,tsc,tswa1255,
424,S53_Tsonga,xd27,tso,tson1249,
