id,category,title,definition,type,notes,source,changes
WNAI184,"Technology, Material culture, Clothing",Mittens and Muffs,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Mittens and Muffs
WNAI151,"Technology, Material culture, Subsistence, Ecology: vegetation","Poles, tongs, cutters for gathering wild plants",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.","Poles, tongs, and cutters"
WNAI287,"Settlement, Community organization, Population",Density of community organization,"Assesses the nature and degree of urbanization within the indigenous society of which the focal area is a part.  Raters were instructed to ascertain which indigenous pre-European-contact settlement was largest, shared the broader culture of the focal community or area, and exercised significant effects on, or relationships with, the focal area.",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Density of community organization
WNAI420,"Religion, Ritual",Local and extralocal requests for shamans' services,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Shaman: local/extralocal clients
WNAI173,"Technology, Material culture, Clothing",Robes or capes made of buckskin or of strips of small furs fastened together but not sewn together,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Robes/capes of buckskin or strips of fur
WNAI218,"Labor, Economy, Material culture","Specialized weaving of nets, baskets, or mats",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Specialists weave nets/baskets/mats
WNAI321,"Marriage, Kinship",Activities of the stipulated kinship unit,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Activities of stipulated kin units
WNAI12,"Ecology: vegetation, Ecology: overview","Presence of Oregon white oak, Quercus garryana",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Oregon white oak
WNAI96,Ecology: terrestrial mammals,"Presence of Cottontail rabbit, Sylvilagus spp.",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Cottontail rabbit
WNAI52,"Ecology: vegetation, Ecology: overview","Presence of Wild rye, Elymus condensatus or sibiricus",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Wild rye
WNAI274,"Economy, Property","Ownership of men's chattels (movable property such as canoes, blankets, bows, knives, slaves, etc.)",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Ownership of mens chattels
WNAI424,"Religion, Ritual",Causes of foreign spirit or object intrusion,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Illness: causes of foreign intrusion
WNAI64,"Ecology: vegetation, Ecology: overview","Presence of Wokas or Water-lily, Nymphaea polysepala",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Wokas/water lily
WNAI165,"Technology, Material culture, Settlement",Conical or subconical dwellings,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Conical and subconical dwellings
WNAI334,Kinship,Kinship terms for cross-cousins and parallel cousins,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Kinship terms for cross/parallel cousins
WNAI317,"Marriage, Kinship",Localization of stipulated kinship units,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Localization of stipulated kin units
WNAI281,"Economy, Property",Inheritance of houses,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Inheritance of houses
WNAI389,"Life cycle, Religion, Ritual","Girls' puberty rites or female initiations near puberty: Place of seclusion, A",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.","Girls puberty place of seclusion, a"
WNAI416,"Religion, Ritual",Spirit impersonation with mask or disguise,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Shaman: spirit impersonation mask etc.
WNAI186,"Technology, Material culture, Clothing",Weaving devices,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Weaving devices
WNAI29,"Ecology: vegetation, Ecology: overview","Presence of Screwbean, Prosopis pubescens",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Screwbean
WNAI133,Ecology: fish,"Presence of Pacific cod, Gadus macrocephalus",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Pacific cod
WNAI378,"Life cycle, Religion, Ritual","Parturition position, A",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.","Birth: parturition position, a"
WNAI128,"Ecology: fish, Ecology: overview",Number of salmon and steelhead anadromous species present in tribal area,,Continuous,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Species salmon-steelhead in tribal area
WNAI102,Ecology: terrestrial mammals,"Presence of Bear, Ursus americanus and other Ursus spp.",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Bear-brown/black
