id,related
SCCS137,EA: Wadadokado (Nd22) [Nd22]; Binford: Wadadokado Paiute (B231) [B231]; WNAI: Wada-Dokado Northern Paiute (J114) [J114]
SCCS136,EA: Lake Yokuts (Nc24) [Nc24]; Binford: Lake Yokuts (B148) [B148]; WNAI: Lake Yokuts (J76) [J76]; WNAI: Yauelmani Yokuts (J77) [J77]
SCCS135,EA: Eastern Pomo (Nc18) [Nc18]; Binford: Eastern Pomo (B158) [B158]; Binford: Clear Lake Pomo (B159) [B159]; WNAI: Eastern Pomo (J64) [J64]
SCCS134,EA: Yurok (Nb4) [Nb4]; Binford: Yurok (B186) [B186]; WNAI: Yurok (J36) [J36]
SCCS77,EA: Semang (Ej3) [Ej3]; Binford: Semang (B9) [B9]
SCCS76,EA: Siamese (Ej9) [Ej9]
SCCS75,EA: Khmer (Ej15) [Ej15]
SCCS74,EA: Rhade (Ej10) [Ej10]
SCCS73,EA: Annamese (Ej4) [Ej4]
SCCS72,EA: Lamet (Ej1) [Ej1]
SCCS71,EA: Burmese (Ei3) [Ei3]
SCCS70,EA: Lakher (Ei4) [Ei4]
SCCS79,EA: Andamese (Eh1) [Eh1]; Binford: Big Andaman Island (B8) [B8]
SCCS78,EA: Nicobarese (Eh5) [Eh5]
SCCS128,EA: Slave (Na17) [Na17]; Binford: Slave (B345) [B345]
SCCS129,EA: Kaska (Na4) [Na4]; Binford: Kaska (B346) [B346]
SCCS45,EA: Babylonians (Cj4) [Cj4]
SCCS120,EA: Yukaghir (Ec6) [Ec6]; Binford: Yukaghir (B26) [B26]
SCCS121,EA: Chukchee (Ec3) [Ec3]
SCCS122,EA: Ingalik (Na8) [Na8]; Binford: Ingalik (B357) [B357]
SCCS123,EA: Aleut (Na9) [Na9]; Binford: Aleut (B298) [B298]
SCCS124,EA: Copper Eskimo (Na3) [Na3]; Binford: Copper Inuit (B381) [B381]
SCCS125,EA: Montagnais (Na32) [Na32]; Binford: Montagnais (B342) [B342]
SCCS126,EA: Micmac (Na41) [Na41]; Binford: Micmac (B329) [B329]
SCCS127,EA: Northern Saulteaux (Na33) [Na33]; Binford: North Saulteaux (B332) [B332]
SCCS88,EA: Tobelorese (Ic10) [Ic10]
SCCS89,EA: Alorese (Ic2) [Ic2]
SCCS82,EA: Negri Sembilan (Ej16) [Ej16]
SCCS83,EA: Javanese (Ib2) [Ib2]
SCCS80,EA: Vedda (Eh4) [Eh4]; Binford: Vedda (B10) [B10]
SCCS81,EA: Tanala (Eh3) [Eh3]
SCCS86,EA: Badjau Tawi-Tawi (Ia13) [Ia13]
SCCS87,EA: Toradja (Ic5) [Ic5]
SCCS84,EA: Balinese (Ib3) [Ib3]
SCCS85,EA: Iban (Ib1) [Ib1]
SCCS11,EA: Kikuyu (Ad4) [Ad4]
SCCS10,EA: Luguru (Ad14) [Ad14]
SCCS13,EA: Mbuti (Aa5) [Aa5]; Binford: Mbuti (B65) [B65]
SCCS12,EA: Ganda (Ad7) [Ad7]
SCCS15,EA: Banen (Ae51) [Ae51]
SCCS14,EA: Nkundo (Ae4) [Ae4]
SCCS17,EA: Ibo (Af10) [Af10]
SCCS16,EA: Tiv (Ah3) [Ah3]
SCCS19,EA: Ashanti (Af3) [Af3]
SCCS18,EA: Fon (Af1) [Af1]
SCCS99,EA: Siuai (Ig1) [Ig1]
SCCS98,EA: Trobriands (Ig2) [Ig2]
SCCS91,EA: Aranda (Id1) [Id1]; Binford: Northern Arenda (B124) [B124]
SCCS90,EA: Tiwi (Id3) [Id3]; Binford: Tiwi (B95) [B95]
SCCS93,EA: Kimam (Ie18) [Ie18]
SCCS92,EA: Orokaiva (Ie9) [Ie9]
SCCS95,EA: Kwoma (Ie12) [Ie12]
SCCS94,EA: Kapauku (Ie1) [Ie1]
SCCS97,EA: Lesu (Ig4) [Ig4]
SCCS96,EA: Manus (Ig9) [Ig9]
SCCS28,EA: Azande (Ai3) [Ai3]
SCCS29,EA: Fur (Cb17) [Cb17]
SCCS24,EA: Songhai (Cb3) [Cb3]
SCCS25,EA: Wodaabe Fulani (Cb24) [Cb24]
SCCS26,EA: Zazzagawa Hausa (Cb26) [Cb26]
SCCS27,EA: Masa (Ai9) [Ai9]
SCCS20,EA: Mende (Af5) [Af5]
SCCS21,EA: Wolof (Cb2) [Cb2]
SCCS22,EA: Bambara (Ag1) [Ag1]
SCCS23,EA: Tallensi (Ag4) [Ag4]
SCCS115,EA: Manchu (Ed3) [Ed3]
SCCS114,EA: Chekiang (Ed15b) [Ed15b]
SCCS117,EA: Japanese (Ed5) [Ed5]
SCCS116,EA: Koreans (Ed1) [Ed1]
SCCS111,EA: Palauans (If1) [If1]
SCCS110,EA: Yapese (If6) [If6]
SCCS113,EA: Atayal (Ia1) [Ia1]
SCCS158,EA: Cuna (Sa1) [Sa1]
SCCS119,EA: Gilyak (Ec1) [Ec1]; Binford: Gilyak (B25) [B25]
SCCS118,EA: Ainu (Ec7) [Ec7]; Binford: Ainu (B22) [B22]
SCCS177,EA: Tupinamba (Sj8) [Sj8]
SCCS176,EA: Ramcocamecra (Sj4) [Sj4]
SCCS175,EA: Trumai (Si2) [Si2]
SCCS174,EA: Nambicura (Si4) [Si4]; Binford: Nambikwara (B45) [B45]
SCCS173,EA: Siriono (Se1) [Se1]; Binford: Siriono (B43) [B43]
SCCS172,EA: Aymara (Sf2) [Sf2]
SCCS171,EA: Inca (Sf1) [Sf1]
SCCS170,EA: Amahuaca (Se8) [Se8]
SCCS179,EA: Shavante (Sj11) [Sj11]
SCCS178,EA: Botocudo (Sj5) [Sj5]; Binford: Botocudo (B48) [B48]
SCCS39,EA: Barabra (Cd1) [Cd1]
SCCS38,EA: Bogo (Ca37) [Ca37]
SCCS33,EA: Kafa (Ca30) [Ca30]
SCCS32,EA: Mao (Ai47) [Ai47]
SCCS31,EA: Shilluk (Ai6) [Ai6]
SCCS30,EA: Otoro (Ai10) [Ai10]
SCCS37,EA: Amhara (Ca7) [Ca7]
SCCS36,EA: Somali (Ca2) [Ca2]
SCCS35,EA: Konso (Ca1) [Ca1]
SCCS34,EA: Masai (Aj2) [Aj2]
SCCS182,EA: Lengua (Sh9) [Sh9]
SCCS183,EA: Abipon (Sh3) [Sh3]
SCCS180,EA: Aweikoma (Sj3) [Sj3]; Binford: Aweikomo (B50) [B50]
SCCS181,EA: Cayua (Sj10) [Sj10]
SCCS186,EA: Yahgan (Sg1) [Sg1]; Binford: Yaghan (B55) [B55]
SCCS184,EA: Mapuche (Sg2) [Sg2]
SCCS185,EA: Tehuelche (Sg4) [Sg4]; Binford: Tehuelche (B51) [B51]
SCCS102,EA: Mbau Fijians (Ih14) [Ih14]
SCCS103,EA: Ajie (Ih5) [Ih5]
SCCS100,EA: Tikopia (Ii2) [Ii2]
SCCS101,EA: Bunlap (Ih3) [Ih3]
SCCS106,EA: Upolu (Ii14) [Ii14]
SCCS107,EA: Makin (If14) [If14]
SCCS104,EA: Maori (Ij2) [Ij2]
SCCS105,EA: Marquesans (Ij3) [Ij3]
SCCS108,EA: Marshallese (If17) [If17]
SCCS109,EA: Trukese (If2) [If2]
