dataset,soc_id,xd_id,pref_name_for_society,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,EA_society_equivalent1,EA_society_equivalent2,SCCS_society_equivalent,CHIRILA_society_equivalent,HRAF_name_ID,HRAF_link,WNAI_society_equivalent1,WNAI_society_equivalent2,WNAI_society_equivalent3
Binford,B297,xd1027,Chugach,Chugash (B297),"Chugachigmiut, Chugash",1930,Chugach (Na10),,,,South Alaskan Eskimo (NA10),http://ehrafworldcultures.yale.edu/collection?owc=NA10,,,
Binford,B377,xd1029,Nunamiut,Nunamiut Inuit (B377),"Inland North Alaskan Eskimo, Nunamiut Eskimo",1950,Nunamiut (Na12),,,,,,,,
Binford,B386,xd1030,Baffin Island Inuit,Baffin Island Inuit (B386),Baffinland,1880,Baffinland (Na13),,,,,,,,
Binford,B390,xd1031,Inughuit (Northern Greenland),Polar Inuit (B390),"Polar Eskimo, Arctic Highlanders, Smith Sound Inuit, Smith Sound Eskimo",1880,Polar Eskimo (Na14),,,,,,,,
Binford,B361,xd1032,Tlicho,Dogrib (B361),Dogrib,1860,Dogrib (Na15),,,,,,,,
Binford,B358,xd1033,Délįne,Satudene-Bear Lake (B358),"Bear Lake Dene, Satudene, Great Bear Lake People, Sahtu, Sahtu Dene",1860,Satudene (Na16),,,,,,,,
Binford,B345,xd1034,DeneTha,Slave (B345),"Slave, Deh Cho (Southern Slavey), Slavey, Dene (distinguish from speakers of the Dene language)",1860,Slave (Na17),,Slave (SCCS128),,,,,,
Binford,B349,xd1035,Dakelh,Carrier (B349),"Carrier, Takulli",1880,Carrier (Na19),,,,,,Alkatcho Carrier (J93),Lower Carrier (J94),
Binford,B389,xd1036,Tareumiut,Tareumiut Inuit (B389),"Tagiumiut, Point Barrow Eskimo, Barrow",1880,Tareumiut (Na2),,,,,,,,
Binford,B356,xd1037,Kutchin,Kutchin (B356),"Gwich'in, Loucheux",1880,Kutchin (Na20),,,,,,,,
Binford,B374,xd1038,Caribou Inuit,Caribou Inuit (B374),Caribou Eskimo,1900,Caribou Eskimo (Na21),,,,,,,,
Binford,B372,xd1039,Labrador Inuit,Labrador Inuit (B372),"Sukinninmiut, Labrador Eskimo",1890,Labrador Eskimo (Na23),,,,,,,,
Binford,B388,xd1040,Tasiilaq,Angmaksalik (B388),"Angmagsalik (East Greenland), Ammassalik, East Greenland Eskimo, Polar Eskimo",1880,Angmagsalik (Na24),,,,,,,,
Binford,B385,xd1041,Kalaallit (West Greenland),West Greenland (B385),"West Greenland Eskimo, West Greenland Inuit",1880,Greenlanders (Na25),,,,,,,,
Binford,B362,xd1042,Dena'ina,Tanaina (B362),Tanaina,1870,Tanaina (Na26),,,,,,,,
Binford,B347,xd1043,Tahltan,Tahltan (B347),Southwestern Nahane,1870,Tahltan (Na27),,,,,,,,
Binford,B343,xd1044,Sekani,Sekani (B343),"Tsek'ene, Sicauni",1880,Sekani (Na28),,,,,,,,
Binford,B344,xd1045,Beaver,Beaver (B344),"Denezaa, Tsattine",1850,Beaver (Na29),,,,,,,,
Binford,B355,xd1046,Dene,Chippewyan (B355),Chipewyan,1880,Chipewyan (Na30),,,,Chipewyan (ND07),http://ehrafworldcultures.yale.edu/collection?owc=ND07,,,
Binford,B342,xd1048,Montagnais,Montagnais (B342),"Innu, Naskapi",1880,Montagnais (Na32),,Montagnais (SCCS125),,Montagnais (NH06),http://ehrafworldcultures.yale.edu/collection?owc=NH06,,,
Binford,B332,xd1049,Northern Saulteaux,North Saulteaux (B332),"N. Saulteaux, North Sauteaux",1870,Northern Saulteaux (Na33),,Saulteaux (SCCS127),,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,,,
Binford,B334,xd1050,Pekangekum,Pekangekum Ojibwa (B334),,1940,Pekangekum (Na34),,,,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,,,
Binford,B337,xd1051,Nipigon,Nipigon Ojibwa (B337),"Lake Nipigon Ojibway, Anishinaabek, Southern Saulteaux",1800,Nipigon (Na35),,,,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,,,
Binford,B331,xd1053,Rainy River Ojibwe,Rainy River Ojibwa (B331),"Gojijiwininiwag, Rainy River, Emo",1880,Rainy River (Na37),,,,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,,,
Binford,B328,xd1054,Katikitegon,Katikitegon (B328),Wisconsin Ojibwa,1800,Katikitegon (Na38),,,,,,,,
Binford,B327,xd1055,Eastern Ojibwa,Kitchibaun Ojibwa (B327),"Kitchibuan, Kitchibuan Ojibwa; Kitchibaun Ojibwa",1870,Eastern Ojibwa (Na39),,,,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,,,
Binford,B346,xd1056,Kaska,Kaska (B346),Nahane,1920,Kaska (Na4),,Kaska (SCCS129),,Kaska (ND12),http://ehrafworldcultures.yale.edu/collection?owc=ND12,,,
Binford,B329,xd1058,Mi'kmaq,Micmac (B329),Micmac,1700,Micmac (Na41),,Micmac (SCCS126),,Mi'kmaq (NJ05),http://ehrafworldcultures.yale.edu/collection?owc=NJ05,,,
Binford,B387,xd1060,Netsilik,Netsilik Inuit (B387),"Netsilik Inuit, Netsilik Eskimo",1880,Netsilik (Na43),,,,,,,,
Binford,B338,xd1062,Mistissini Cree,Mistassini Cree (B338),Mistassini Cree,1880,Mistassini (Na45),,,,,,,,
Binford,B365,xd1063,Naskapi,Naskapi (B365),,1890,Naskapi (Na5),,,,Montagnais (NH06),http://ehrafworldcultures.yale.edu/collection?owc=NH06,,,
Binford,B299,xd1064,Nunivak,Nunivak (B299),Nunivak Cup'ig,1930,Nunivak (Na6),,,,,,,,
Binford,B353,xd1065,Attawapiskat Cree,Attawapiskat Cree (B353),Attawapiskat,1900,Cree Attawapiskat (Na7),,,,,,,,
Binford,B357,xd1066,Deg Xit'an,Ingalik (B357),Ingalik,1880,Ingalik (Na8),,Ingalik (SCCS122),,,,,,
Binford,B298,xd1067,Aleut,Aleut (B298),Unagan,1830,Aleut (Na9),,Aleut (SCCS123),,Aleut (NA06),http://ehrafworldcultures.yale.edu/collection?owc=NA06,,,
Binford,B290,xd1068,Haida,Haida (B290),,1890,Haida (Nb1),,Haida (SCCS131),,,,North Masset Haida (J3),,
Binford,B336,xd1069,Alkatcho,Alkatcho (B336),"Tsuu'Tina, Alkatcho Carrier, Ilgatcho, Ilgachuz",1865,Alkatcho (Nb10),,,,,,,,
Binford,B273,xd1070,Nootka,Nootka (B273),"Nuu-chah-nulth, Aht, Central Nootka",1880,Nootka (Nb11),,,,Nuu-chah-nulth (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,Clayoquot Nootka (J12),,
Binford,B268,xd1072,Squamish,Squamish (B268),,1880,Squamish (Nb13),,,,,,Squamish Salish (J16),,
Binford,B282,xd1073,Comox,Comox (B282),K'ómoks,1860,Comox (Nb14),,,,,,,,
Binford,B277,xd1074,Lummi,Lummi (B277),Lhaq'temish,1880,Lummi (Nb15),,,,,,Lummi Salish (J21),,
Binford,B285,xd1075,Klallam,Clallam (B285),Clallum,1860,Klallam (Nb16),,,,,,Klallam Salish (J22),,
Binford,B270,xd1076,Puyallup,Puyallup (B270),,1870,Puyallup (Nb17),,,,,,Puyallup Salish (J25),,
Binford,B284,xd1077,Quileute,Quileute (B284),,1880,Quileute (Nb18),,,,,,Quileute Chimakuan (J26),,
Binford,B274,xd1078,Lower Chinook,Chinook (B274),Chinook,1850,Chinook (Nb19),,,,Chinookans of the Lower Columbia River (NR06),http://ehrafworldcultures.yale.edu/collection?owc=NR06,Lower Chinook (J27),,
Binford,B271,xd1079,Twana,Twana (B271),,1850,Twana (Nb2),,Twana (SCCS133),,,,Twana Salish (J23),,
Binford,B281,xd1080,Tillamook,Tillamook (B281),Nehalem,0,Tillamok (Nb20),,,,,,Tillamook Salish (J28),,
Binford,B275,xd1081,Coos,Coos (B275),,1860,Coos (Nb21),,,,,,Coos (J31),,
Binford,B292,xd1082,Tlingit,Tlingit (B292),"Kolosh, Southern Tlingit",1880,Tlingit (Nb22),,,,Tlingit (NA12),http://ehrafworldcultures.yale.edu/collection?owc=NA12,South Tlingit (J2),,
Binford,B283,xd1083,Heiltsuk,Bella-Bella (B283),"Bellabella, Bella Bella",1880,Bellabella (Nb23),,,,,,Bella Bella Kwakiutl (J9),,
Binford,B286,xd1084,Makah,Makah (B286),,1860,Makah (Nb24),,,,Nootka (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,Makah Nootkan (J13),,
Binford,B278,xd1085,Quinault,Quinault (B278),,1860,Quinault (Nb25),,,,Quinault (NR17),http://ehrafworldcultures.yale.edu/collection?owc=NR17,Quinault Salish (J24),,
Binford,B280,xd1086,Cowichan,Cowichan (B280),Hul'q'umi'num Mustimuhw,1880,Cowichan (Nb26),,,,,,Cowichan Salish (J17),,
Binford,B279,xd1087,Stó:lō,Stalo (B279),"Stalo, Halkomelem, Fraser River Cowichan",1880,Stalo (Nb27),,,,,,Upper Stalo Salish (J19),,
Binford,B269,xd1088,Alsea,Alsea (B269),,1860,Alsea (Nb28),,,,,,Alsea (J29),,
Binford,B288,xd1090,Kwakiutl,Kwakiutl (B288),"Southern Kwakiutl,Kwagu'ł, Kwagyewlth",1890,Kwakiutl (Nb3),,,,,,Fort Rupert Kwakiutl (J10),,
Binford,B176,xd1091,Takelma,Tekelma (B176),"Rogue River Indians, Tekelma",1860,Takelma (Nb30),,,,,,,,
Binford,B181,xd1092,Tututni,Tututni (B181),,1870,Tututni (Nb31),,,,,,Tututni Athapaskan (J32),,
Binford,B179,xd1093,Shasta,Shasta (B179),,1860,Shasta (Nb32),,,,,,East Shasta (J44),West Shasta (J45),
Binford,B162,xd1094,Chimariko,Chimariko (B162),,1860,Chimariko (Nb33),,,,,,Chimariko (J46),,
Binford,B182,xd1095,Karuk,Karok (B182),Karok,1860,Karok (Nb34),,,,,,Karok (J37),,
Binford,B180,xd1096,Hupa,Hupa (B180),,1860,Hupa (Nb35),,,,,,Hupa Athapaskan (J38),,
Binford,B184,xd1097,Wiyot,Wiyot (B184),,1860,Wiyot (Nb36),,,,,,Wiyot (J39),,
Binford,B167,xd1098,Lassik,Lassik (B167),,0,Lassik (Nb37),,,,,,,,
Binford,B169,xd1099,Mattole-Bear River,Mattole (B169),"Mattole, Bear River",0,Mattole (Nb38),,,,,,Mattole Athapaskan (J41),,
Binford,B166,xd1100,Sinkyone,Sinkyone (B166),,1860,Sinkyone (Nb39),,,,,,Sinkyone Athapaskan (J40),,
Binford,B186,xd1101,Yurok,Yurok (B186),,1850,Yurok (Nb4),,Yurok (SCCS134),,Yurok (NS31),http://ehrafworldcultures.yale.edu/collection?owc=NS31,Yurok (J36),,
Binford,B295,xd1102,Eyak,Eyak (B295),dAXunhyuu,1890,Eyak (Nb5),,Eyak (SCCS130),,,,,,
Binford,B178,xd1103,Tolowa,Tolowa (B178),,1870,Tolowa (Nb6),,,,,,Tolowa Athapaskan (J35),,
Binford,B289,xd1104,Tsimshian,Tsimshim (B289),Ts’msyan,1880,Tsimshian (Nb7),,,,,,Tsimshian (J5),,
Binford,B287,xd1105,Haisla,Haisla (B287),Kitimat,1880,Haisla (Nb8),,,,,,Haisla Kwakiutl (J7),,
Binford,B291,xd1106,Nuxalk,Bella-Coola (B291),"Nuxalkmc, Bellacoola, Bilqula, Bella Coola",1880,Bellacoola (Nb9),,Bellacoola (SCCS132),,Nuxalk (NE06),http://ehrafworldcultures.yale.edu/collection?owc=NE06,Bella Coola Salish (J11),,
Binford,B153,xd1107,Nomlaki,Nomlaki (B153),Central Wintun,1850,Nomlaki (Nc1),,,,,,Nomlaki Wintun (J50),,
Binford,B187,xd1108,Achumawi,Achomawi (B187),Achomawi,1860,Achomawi (Nc10),,,,,,East Achomawi (J51),West Achomawi (J52),
Binford,B174,xd1109,Yana,Northern Yana (B174),Nozi,1860,Yana (Nc11),,,,,,Yana (J62),,
Binford,B185,xd1110,Maidu,Mountain Maidu (B185),Pujunan,1850,Maidu (Nc12),,,,,,Mountain Maidu (J56),,
Binford,B163,xd1111,Nisenan,Nisenan (B163),"Southern Maidu, Nisenan Southern Maidu",1850,Nisenan (Nc13),,,,,,Foothill Nisenan (J57),Mountain Nisenan (J58),Southern Nisenan (J59)
Binford,B160,xd1112,Wintu,Wintu (B160),Northern Wintu,1860,Wintu (Nc14),,,,,,Trinity River Wintu (J47),McCloud River Wintu (J48),Sacramento River Wintu (J49)
Binford,B177,xd1113,Coast Yuki,Coast Yuki (B177),,1860,Coast Yuki (Nc15),,,,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,Coast Yuki (J60),,
Binford,B173,xd1115,Northern Pomo,Nothern Pomo (B173),,1860,Northern Pomo (Nc17),,,,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,Northern Pomo (J63),,
Binford,B158,xd1116,Eastern Pomo,Eastern Pomo (B158),,1860,Eastern Pomo (Nc18),,Pomo (Eastern) (SCCS135),,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,Eastern Pomo (J64),,
Binford,B159,xd1116,Clear Lake Pomo,Clear Lake Pomo (B159),Eastern Pomo,1860,Eastern Pomo (Nc18),,Pomo (Eastern) (SCCS135),,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,Eastern Pomo (J64),,
Binford,B152,xd1118,Tübalulabal,Tubatulabal (B152),Tubatulabal,1850,Tubatulabal (Nc2),,,,Tubatulabal (NS22),http://ehrafworldcultures.yale.edu/collection?owc=NS22,Tubatulabal (J78),,
Binford,B172,xd1119,Wappo,Wappo (B172),,1860,Wappo (Nc20),,,,,,Wappo Yukian (J66),,
Binford,B170,xd1120,Lake Miwok,Lake Miwok (B170),,0,Lake Miwok (Nc21),,,,,,,,
Binford,B155,xd1121,Patwin,Patwin (B155),Southern Wintun,1850,Patwin (Nc22),,,,,,Patwin Wintun (J67),,
Binford,B157,xd1122,Western Mono,Monache (B157),"Monachi, Western Mono, Monache",1870,Monachi (Nc23),,,,,,Kings River Mono (Uto-Aztecan) (J72),,
Binford,B148,xd1123,Southern Valley Yokuts,Lake Yokuts (B148),"Lake Yokuts, Tachi Yokuts, Chunut Yokuts",1860,Lake Yokuts (Nc24),,Yokuts (Lake) (SCCS136),,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,Lake Yokuts (J76),Yauelmani Yokuts (J77),
Binford,B151,xd1124,Wukchumni,Wukchumi (B151),Central Foothills Yokuts,1860,Wukchumni (Nc25),,,,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,Kaweah Yokuts (J75),,
Binford,B164,xd1125,Salinan,Salinan (B164),,1805,Salinan (Nc26),,,,,,Salinan (J80),,
Binford,B199,xd1126,Kawaiisu,Kawaiisu Shoshoni (B199),Kawaiisu Shoshoni,1860,Kawaiisu (Nc27),,,,,,Kawaiisu (J79),,
Binford,B161,xd1127,Chumash,Chumash (B161),,1860,Chumash (Nc28),,,,,,,,
Binford,B156,xd1128,Tongva,Gabrieleno (B156),"Gabrielo, Gabrielino, Gabrieleno",1770,Gabrielo (Nc29),,,,,,Gabrielino (J81),,
Binford,B154,xd1129,Northern Foothills Yokuts,Yokuts (northern foothill) (B154),Northern Foothill Yokuts,1850,Yokuts (Nc3),,,,Yokuts (NS29),http://ehrafworldcultures.yale.edu/collection?owc=NS29,Chuckchansi Yokuts (J73),,
Binford,B149,xd1130,Serrano,Serrano (B149),,1870,Serrano (Nc30),,,,,,Serrano (J84),,
Binford,B144,xd1131,Cahuilla (Desert),Cahuilla (B144),Desert Cahuilla,1870,Cahuilla (Nc31),,,,,,Desert Cahuilla (J85),,
Binford,B145,xd1132,Cupeño,Cupeno (B145),"Kuupangaxwichem, Cupeno",1870,Cupeno (Nc32),,,,,,Cupeno (J83),,
Binford,B150,xd1133,Luiseño,Luiseno (B150),"Payómkawichum, Luiseno",1860,Luiseno (Nc33),,,,,,Luiseno (J82),,
Binford,B146,xd1134,Kiliwa,Kiliwa (B146),K'olew,1880,Kiliwa (Nc34),,,,,,Kaliwa (Hokan) (J91),,
Binford,B183,xd1135,Atsugewi,Atsugewi (B183),,1860,Atsugewi (Nc4),,,,,,Atsugewei (J53),,
Binford,B175,xd1136,Central Sierra Miwok,Sierra Miwok (B175),Miwok,1850,Miwok (Nc5),,,,,,Central Miwok (J69),,
Binford,B147,xd1137,Kumeyaay,Diegueno (B147),"Diegueño, Diegueno",1850,Diegueno (Nc6),,,,,,Western Diegueno (J89),Desert Diegueno (J90),
Binford,B171,xd1138,Yuki,Yuki (B171),,1850,Yuki (Nc7),,,,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,Yuki (J61),,
Binford,B189,xd1139,Klamath,Klamath (B189),,1860,Klamath (Nc8),,Klamath (SCCS138),,Klamath (NR10),http://ehrafworldcultures.yale.edu/collection?owc=NR10,Klamath (J112),,
Binford,B188,xd1140,Modoc,Modoc (B188),,1860,Modoc (Nc9),,,,,,Modoc (J113),,
Binford,B315,xd1141,Tenino,Tenino (B315),"Warmsprings Sahaptin, Yenino",1850,Tenino (Nd1),,,,,,Tenino (J111),,
Binford,B325,xd1142,Nlaka'pamux,Thompson (B325),"Thompson, Nitlakapamuk, Thompson River Salish",1860,Thompson (Nd10),,,,,,Upper Thompson (J98),,
Binford,B333,xd1143,Shuswap,Shuswap (B333),Secwepemc,1850,Shuswap (Nd11),,,,,,Shuswap (J96),,
Binford,B330,xd1144,Bitterroot Salish,Flathead (B330),"Salish, Flathead",1860,Flathead (Nd12),,,,Southeast (NR19),in process,Flathead (J105),,
Binford,B326,xd1145,Kalispel,Kalispel (B326),,1870,Kalispel (Nd13),,,,Southeast (NR19),in process,Kalispel (J104),,
Binford,B320,xd1146,Coeur d’Alene,Coeur d'Alene (B320),"Schitsu'umsh, Skitswish",1860,Coeur d’Alene (Nd14),,,,Southeast (NR19),in process,Coeur d’Alene (J103),,
Binford,B321,xd1147,Sinkaitk,Sinkaietk (B321),Southern Okanagon,1880,Sinkaitk (Nd15),,,,Southeast (NR19),in process,,,
Binford,B317,xd1148,Wenatchi,Wenatchi (B317),,1870,Wenatchi (Nd16),,,,,,Wenatchi (J102),,
Binford,B318,xd1149,Klikitat,Yakima (B318),Yakima,1880,Klikitat (Nd17),,,,,,,,
Binford,B319,xd1150,Wishram,Wishram (B319),,1860,Wishram (Nd18),,,,,,Wishram (J110),,
Binford,B316,xd1151,Umatilla,Umatilla (B316),,1860,Umatilla (Nd19),,,,,,Umatilla (J108),,
Binford,B222,xd1152,Southern Ute,Southern Ute (Wimonantci Ute) (B222),"Wimonuntci, Weminute, Wimonantci Ute",1860,Southern Ute (Nd2),,,,Ute (NT19),http://ehrafworldcultures.yale.edu/collection?owc=NT19,Wimonuch Ute (Shoshonean) (J131),,
Binford,B324,xd1153,Nez Perce,Nez Perce (B324),"Nimi'ipuu, Sahaptin",1850,Nez Perce (Nd20),,,,,,Nez Perce (J107),,
Binford,B231,xd1155,Wadadokado,Wadadokado Paiute (B231),"Paiute, Northern Paiute",1870,Wadadokado (Nd22),,Paiute (Northern) (SCCS137),,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,Wada-Dokado Northern Paiute (J114),,
Binford,B226,xd1157,Kidutokado,Kidutokado (Surprise Valley Paiute) (B226),"Gididika, Surprise Valley Paiute",1870,Kidutokado (Nd24),,,,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,Kidu-Dokado Northern Paiute (J115),,
Binford,B208,xd1160,Kuyuidokado,Kuyuidokado (Pyramid Lake Paiute) (B208),Pyramid Lake Paiute,1860,Kuyuidokado (Nd27),,,,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,Kuyui-Dokado Northern Paiute (J116),,
Binford,B210,xd1161,Toedokado,Cattail Paiute (B210),"Stillwater Paiute, Cattail Paiute",1870,Toedokado (Nd28),,,,,,,,
Binford,B206,xd1162,Tunava (Deep Springs),Deep Springs Paiute (B206),Deep Springs Valley Paiute,1860,Tunava (Nd29),,,,,,,,
Binford,B211,xd1162,Tunava (Fish Lake),Fish Lake Paiute (B211),Fish Lake Valley Paiute,1860,Tunava (Nd29),,,,,,,,
Binford,B202,xd1164,Eastern Mono,Owens Valley Paiute (Eastern Mono) (B202),"Owens Valley Paiute, Eastern Mono",1870,Eastern Mono (Nd30),,,,,,Owens Valley Northern Paiute (J117),,
Binford,B197,xd1165,Koso,Koso Mountain Shoshoni (B197),"Western Panamint, Koso Mountain Shoshoni, Little Lake Shoshoni",1860,Koso (Nd31),,,,Western (NT22),in process,,,
Binford,B192,xd1166,Tümpisa Shoshone (Death Valley),Death Valley Shoshoni (B192),Death Valley Shoshoni,1860,Panamint (Nd32),,,,Western (NT22),in process,Panamint Shoshone (J118),,
Binford,B195,xd1166,Tümpisa Shoshone (Panamint),Panamint Shoshoni (B195),Panamint Shoshoni,1850,Panamint (Nd32),,,,Western (NT22),in process,Panamint Shoshone (J118),,
Binford,B200,xd1166,Tümpisa Shoshone (Saline),Saline Valley Shoshoni (B200),Saline Valley Shoshoni,1860,Panamint (Nd32),,,,Western (NT22),in process,Panamint Shoshone (J118),,
Binford,B218,xd1169,Mahaguaduka,Reese River Shoshoni (B218),Reese River Shoshoni,1860,Mahaguaduka (Nd35),,,,Western (NT22),in process,Reese River Shoshone (J120),,
Binford,B233,xd1170,Wiyambituka,Little Smokey Shoshoni (B233),"Morey Shoshoni, Great Smokey Valley Shoshoni, Little Smokey Valley Shoshoni",1860,Wiyambituka (Nd36),,,,Western (NT22),in process,,,
Binford,B217,xd1171,Railroad Valley Shoshoni,Railroad Valley Shoshoni (B217),Hamilton,1860,Hamilton (Nd37),,,,Western (NT22),in process,,,
Binford,B323,xd1174,Sanpoil,Sanpoil (B323),,1870,Sanpoil (Nd4),,,,Southeast (NR19),in process,Sanpoil (J100),,
Binford,B221,xd1175,Tubaduka,Grouse Creek Shoshoni (B221),Grouse Creek Shoshoni,1860,Tubaduka (Nd40),,,,,,,,
Binford,B228,xd1176,Wadaduka,Wadaduica (Ruby Valley Shoshoni) (B228),"Ruby Valley Shoshoni, Pine Creek Shoshoni, Diamond Valley Shoshoni, Egan Canyon Shoshoni",1860,Wadaduka (Nd41),,,,,,Ruby Valley Shoshone (J122),,
Binford,B216,xd1178,White Knife Shoshoni,White Knife Shoshoni (B216),"Battle Mountain Shoshoni, Tosawihi",1860,White Knife (Nd43),,,,,,Battle Mountain Shoshone (J123),,
Binford,B229,xd1180,Bohogue,Bohogue (Northern Shoshoni) (B229),Fort Hall Shoshoni,1860,Bohogue (Nd45),,,,,,Bohogue Shoshone (J125),,
Binford,B232,xd1181,Tukudika,Sheep Eater Shoshoni (B232),"Sheep-Eater Shoshoni, Lemhi Mountain Shoshoni",1860,Tukudika (Nd47),,,,,,,,
Binford,B207,xd1182,Agaiduka,Salmon Eater Shoshoni (B207),"Salmon-Eater Shoshoni, Lemhi River Shoshoni",1860,Agaiduka (Nd46),,,,,,Agaiduka Shoshone (J126),,
Binford,B214,xd1183,Gosiute,Gosiute Shoshoni (B214),"Gosiute Shoshoni, Deep Creek Shoshoni",1860,Gosiute (Nd48),,,,Western (NT22),in process,Gosiute Shoshone (J124),,
Binford,B201,xd1184,Antarianunts,Antarianunts Southern Paiute (B201),"Henry Mountains Paiute, Kaiparowits",1860,Antarianunts (Nd49),,,,,,,,
Binford,B213,xd1185,Hukundika,Hukundika Shoshoni (B213),"Seed-Eaters, Northern Shoshoni, Hukunduka, Hukuniduica",1870,Hukundika (Nd5),,,,,,Hukundika Shoshone (J127),,
Binford,B204,xd1189,Southern Paiute (Kaibab and Las Vegas),Kaibab Southern Paiute (B204),"Kaivavwits, Southern Paiute, Las Vegas, Southern Paiute",1860,Kaibab (Nd53),Las Vegas (Nd55),,,,,Kaibab Southern Paiute (J133),,
