ISO 693-3 code,Language name,FAMILY-REVISED,Class2,Class3,Ethnologue Classification (unrevised),
taq,Tamasheq,Afro-Asiatic,Berber,Tamasheq,"Afro-Asiatic, Berber, Tamasheq, Southern",
ttq,"Tamajaq, Tawallammat",Afro-Asiatic,Berber,Tamasheq,"Afro-Asiatic, Berber, Tamasheq, Southern",
thz,"Tamajeq, Tayart",Afro-Asiatic,Berber,Tamasheq,"Afro-Asiatic, Berber, Tamasheq, Southern",
zen,Zenaga,Afro-Asiatic,Berber,Zenaga,"Afro-Asiatic, Berber, Zenaga",
bvw,Boga,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern",
gqa,Ga’anda,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern",
hwo,Hwana,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern",
jaf,Jara,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Western",
ttr,Tera,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Western",
ngx,Nggwahyi,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2",
bwr,Bura-Pabir,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",
ckl,Cibak,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",
kso,Kofa,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",
mfl,Putai,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",
hbb,Huba,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2",
mrt,Marghi Central,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2",
mfm,Marghi South,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2",
bcw,Bana,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",
fkk,Kirya-Konzel,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",
hig,Kamwe,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",
hya,Hya,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",
kvj,Psikye,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",
hia,Lamang,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang",
vem,Vemgo-Mabas,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang",
xed,Hdi,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang",
cie,Cineni,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",
dgh,Dghwede,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",
glw,Glavda,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",
gdf,Guduf-Gava,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",
ngs,Gvoko,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",
mfi,Wandala,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Mandara",
pbi,Parkwa,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Podoko",
bdn,Baldemu,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
cuv,Cuvok,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
dme,Dugwor,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
gnd,Zulgo-Gemzek,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
gis,"Giziga, North",Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
giz,"Giziga, South",Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
maf,Mafa,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
muy,Muyang,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mif,Mofu-Gudur,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mqb,Mbuko,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mxu,Mada,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
meq,Merey,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mlr,Vame,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mfh,Matal,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mlw,Moloko,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mfj,Mefele,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
mfk,"Mofu, North",Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
udl,Wuzlam,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",
syk,Sukur,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.6",
bhs,Buwal,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",
dkx,Mazagway,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",
dbq,Daba,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",
gou,Gavar,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",
hna,Mina,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",
xmd,Mbudum,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.7",
bcy,Bacama,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
bta,Bata,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
fli,Fali,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
gde,Gude,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
gdu,Gudu,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
hod,Holma,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
jim,Jimi,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
ngw,Ngwaba,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
nja,Nzanyi,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
swq,Sharwa,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
tsh,Tsuvan,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
ziz,Zizilivakan,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.8",
jie,Jilbe,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1",
bdm,Buduma,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Buduma",
jia,Jina,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Jina",
xmj,Majera,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Jina",
aal,Afade,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",
mpi,Mpade,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",
mxf,Malgbe,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",
msv,Maslam,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",
kot,Lagwan,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, South",
kqx,Mser,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, South",
mug,Musgu,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.2",
mpk,Mbara,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.2",
mje,Muskum,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.2",
gid,Gidar,Afro-Asiatic,Chadic,Biu-Mandara,"Afro-Asiatic, Chadic, Biu-Mandara, C",
bso,Buso,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1",
mvh,Mulgi,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 1",
ndm,Ndam,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 1",
sor,Somrai,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 1",
tmc,Tumak,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 1",
bvf,Boor,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 2",
gdk,Gadang,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 2",
mlj,Miltu,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 2",
swy,Sarua,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.1, 2",
kqp,Kimré,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.2, 1",
lln,Lele,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.2, 1",
nnc,Nancere,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.2, 1",
gab,Gabri,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.2, 2",
kvf,Kabalai,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.2, 2",
tng,Tobanga,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.2, 2",
kvi,Kwang,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.3",
ker,Kera,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, A, A.3",
bid,Bidiyo,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
daa,Dangaléat,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
jeu,Jonkor Bourmataguil,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
muj,Mabire,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
mou,Mogum,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
mcw,Mawa,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
mmy,Migaama,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
ubi,Ubi,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 1",
btf,Birgit,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 2",
ckq,Kajakse,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 2",
mub,Mubi,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 2",
mes,Masmaje,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 2",
trj,Toram,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 2",
zrn,Zerenkel,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.1, 2",
moz,Mukulu,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.2",
bva,Barein,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.3",
saa,Saba,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.3",
sok,Sokoro,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.3",
tax,Tamki,Afro-Asiatic,Chadic,East,"Afro-Asiatic, Chadic, East, B, B.3",
hed,Herdé,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
lme,Pévé,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
mpg,Marba,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
mcn,Masana,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
mse,Musey,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
nnn,Ngete,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
zim,Mesme,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
zuy,Zumaya,Afro-Asiatic,Chadic,Masa,"Afro-Asiatic, Chadic, Masa",
dzd,Daza,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A",
gwn,Gwandara,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.1",
hau,Hausa,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.1",
bvh,Bure,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole",
bol,Bole,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
bxq,Beele,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
dbb,Deno,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
gew,Gera,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
glo,Galambu,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
gea,Geruma,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
kof,Kubi,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
kks,Giiwo,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
ktc,Kholok,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
mew,Maaka,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
nmi,Nyam,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
nbh,Ngamo,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",
kai,Karekare,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Karekare",
kna,Dera,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Dera",
kuh,Kushi,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",
kpa,Kutto,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",
ksq,Kwaami,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",
pip,Pero,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",
piy,Piya-Kwonci,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",
tan,Tangale,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.2, Tangale, Tangale Proper",
anc,Ngas,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",
cky,Cakfem-Mushere,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",
jrt,Jorto,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",
kwl,Kofyar,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",
mjs,Miship,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",
sur,Mwaghavul,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 1",
ank,Goemai,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",
kcs,Koenoem,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",
mtl,Montol,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",
pcw,Pyapun,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",
tal,Tal,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Angas Proper, 2",
gek,Yiwom,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.3, Yiwom",
fie,Fyer,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.4, Fyer",
tdk,Tambas,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.4, Fyer",
cla,Ron,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.4, Ron Proper",
kul,Kulere,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.4, Ron Proper",
kbz,Duhwa,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.4, Ron Proper",
mmf,Mundat,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.4, Ron Proper",
scw,Sha,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, A, A.4, Ron Proper",
bde,Bade,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.1, Bade Proper",
ngi,Ngizim,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.1, Bade Proper",
dbp,Duwai,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.1, Duwai",
ajw,Ajawa,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
bbt,Mburku,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
dwa,Diri,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
jmb,Zumbun,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
kil,Kariya,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
mkf,Miya,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
pqa,Pa’a,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
sir,Siri,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
tgd,Ciwogai,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
wji,Warji,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.2",
dot,Dass,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3",
bux,Boghom,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Boghom",
kkr,Kir-Balar,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Boghom",
zns,Mangas,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Boghom",
jmi,Jimi,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Eastern",
grd,Guruntum-Mbaaru,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Guruntum",
juu,Ju,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Guruntum",
tak,Tala,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Guruntum",
zah,Zangwal,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Guruntum",
gji,Geji,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Zaar Proper",
ldd,Luri,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Zaar Proper",
plj,Polci,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Zaar Proper",
say,Saya,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Zaar Proper",
zaz,Zari,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Zaar Proper",
zua,Zeem,Afro-Asiatic,Chadic,West,"Afro-Asiatic, Chadic, West, B, B.3, Zaar Proper",
xan,Xamtanga,Afro-Asiatic,Cushitic,Central,"Afro-Asiatic, Cushitic, Central, Eastern",
byn,Bilen,Afro-Asiatic,Cushitic,Central,"Afro-Asiatic, Cushitic, Central, Northern",
awn,Awngi,Afro-Asiatic,Cushitic,Central,"Afro-Asiatic, Cushitic, Central, Southern",
ahg,Qimant,Afro-Asiatic,Cushitic,Central,"Afro-Asiatic, Cushitic, Central, Western",
bnl,Boon,Afro-Asiatic,Cushitic,East,"Afro-Asiatic, Cushitic, East",
dox,Bussa,Afro-Asiatic,Cushitic,East,"Afro-Asiatic, Cushitic, East, Dullay",
gwd,Gawwada,Afro-Asiatic,Cushitic,East,"Afro-Asiatic, Cushitic, East, Dullay",
tsb,Tsamai,Afro-Asiatic,Cushitic,East,"Afro-Asiatic, Cushitic, East, Dullay",
alw,Alaba-K’abeena,Afro-Asiatic,Cushitic,East,"Afro-Asiatic, Cushitic, East, Highland",
bji,Burji,Afro-Asiatic,Cushitic,East,"Afro-Asiatic, Cushitic, East, Highland",
drs,Gedeo,Afro-Asiatic,Cushitic,East,"Afro-Asiatic, Cushitic, East, Highland",
