Dataset,VarID,Code,DND.VarID_Code,CodeDescription
EA,30,1,30_1,Fully migratory or nomadic bands
EA,30,2,30_2,"Seminomadic communities whose members wander in bands for at least half of the year but occupy a fixed settlement at some season or seasons, e.g., recurrently occupied winter quarters"
EA,30,3,30_3,"Semisedentary communities whose members shift from one to another fixed settlement at different seasons or who occupy more or less permanently a single settlement from which a substantial proportion of the population departs seasonally to occupy shifting camps, e.g., during transhumance"
EA,30,4,30_4,"Compact but impermanent settlements, i.e., villages whose location is shifted every few years"
EA,30,5,30_5,Neighborhoods of dispersed family homesteads
EA,30,6,30_6,Separated hamlets where several such form a more or less permanent single community
EA,30,7,30_7,"Compact and relatively permanent settlements, i.e., nucleated villages or towns"
EA,30,8,30_8,Complex settlements consisting of a nucleated village or town with outlying homesteads or satellite hamlets. Urban aggregations of population are not separately indicated since Column 31 deals with community size
EA,31,0,31_0,Missing data
EA,31,1,31_1,Fewer than 50 persons
EA,31,2,31_2,From 50 to 99 persons
EA,31,3,31_3,From 100 to 199 persons
EA,31,4,31_4,From 200 to 399 persons
EA,31,5,31_5,"From 400 to 1,000 persons"
EA,31,6,31_6,"More than 1,000 persons in the absence of indigenous urban aggregations"
EA,31,7,31_7,"One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000"
EA,31,8,31_8,"One or more indigenous cities with more than 50,000 inhabitants"
EA,32,0,32_0,Missing data
EA,32,2,32_2,Independent nuclear or polygynous families
EA,32,3,32_3,Extended families
EA,32,4,32_4,Clan-barrios
EA,33,0,33_0,Missing data
EA,33,1,33_1,"No political authority beyond community (e.g., autonomous bands and villages)"
EA,33,2,33_2,"One level (e.g., petty chiefdoms)"
EA,33,3,33_3,"Two levels (e.g., larger chiefdoms) "
EA,33,4,33_4,"Three levels (e.g., states)"
EA,33,5,33_5,"Four levels (e.g., large states)"
EA,34,0,34_0,Missing data
EA,34,1,34_1,A high god absent or not reported in substantial descriptions of religious beliefs
EA,34,2,34_2,A high god present but otiose or not concerned with human affairs
EA,34,3,34_3,A high god present and active in human affairs but not offering positive support to human morality
EA,34,4,34_4,"A high god present, active, and specifically supportive of human morality"
EA,35,0,35_0,Missing data
EA,35,1,35_1,No games of any of the three types
EA,35,2,35_2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-polegame"
EA,35,3,35_3,"Games of chance only, with no significant element of either physical skill or strategy involved, e.g., dice games"
EA,35,4,35_4,Games of physical skill and of chance both present
EA,35,5,35_5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant"
EA,35,6,35_6,"Games of physical skill and of strategy present, but not games of chance"
EA,35,7,35_7,"Games of chance and of strategy present, but not games of physical skill"
EA,35,8,35_8,Games of all three types present
EA,36,0,36_0,NA
EA,36,1,36_1,"No taboo, especially where the husband is expected to have intercourse with his wife as soon as possible after childbirth for the alleged benefit of the child"
EA,36,2,36_2,"Short post-partum taboo, lasting not more than one month"
EA,36,3,36_3,Duration of from more than a month to six months
EA,36,4,36_4,Duration of from more than six months to one year
EA,36,5,36_5,Duration of from more than one year to two years
EA,36,6,36_6,Duration of more than two years
EA,37,0,37_0,Missing data
EA,37,1,37_1,Absent or not generally practiced
EA,37,2,37_2,"Performed shortly after birth, i.e., within the first two months"
EA,37,3,37_3,"Performed during infancy, i.e., from two months to two years of age"
EA,37,4,37_4,"Performed during early childhood, i.e., from two to five years of age"
EA,37,5,37_5,"Performed during late childhood, i.e., from six to ten years of age"
EA,37,6,37_6,"Performed during adolescence, i.e., from eleven to fifteen years of age"
EA,37,7,37_7,"Performed during early adulthood, i.e., from sixteen to 25 years of age"
EA,37,8,37_8,"Performed during maturity, i.e., from 25 to 50 years of age"
EA,37,9,37_9,"Performed in old age, i.e., after 50 years of age"
EA,37,10,37_10,"Circumcision customary, but the normal age is unspecified or unclear"
EA,38,0,38_0,Missing data
EA,38,1,38_1,"Absence of segregation, adolescent boys residing and sleeping in the same dwelling as their mothers and sisters"
EA,38,2,38_2,"Partial segregation, adolescent boys residing or eating with their natal families but sleeping apart from them, e.g., in a special hut or in a cattle shed"
EA,38,3,38_3,"Complete segregation, in which adolescent boys go to live as individuals with relatives outside the nuclear family, e.g., with grandparents or with a maternal or paternal uncle"
EA,38,4,38_4,"Complete segregation, in which adolescent boys go to live as individuals with non-relatives, e.g., as retainers to a chief or as apprentices to specialists"
EA,38,5,38_5,"Complete segregation, in which boys reside with a group of their own peers, e.g., in bachelor dormitories, military regiments, or age-villages"
EA,39,0,39_0,Missing data
EA,39,1,39_1,Absent (no plow animals)
EA,39,2,39_2,Plow cultivation not aboriginal but well established at the period of observation
EA,39,3,39_3,Animals employed in plow cultivation prior to the contact period
EA,40,0,40_0,Missing data
EA,40,1,40_1,"Absence or near absence of domestic animals other than bees, eats, dogs, fowl, guinea pigs, or the like"
EA,40,2,40_2,Pigs the only domestic animals of consequence
EA,40,3,40_3,Sheep and/or goats when larger domestic animals are absent or much less important
EA,40,4,40_4,"Equine animals, e.g., horses, donkeys"
EA,40,5,40_5,"Deer, e.g., reindeer"
EA,40,6,40_6,"Camels or other animals of related genera, e.g., alpacas, llamas"
EA,40,7,40_7,"Bovine animals, e.g., cattle, mithun, water buffaloes, yaks"
EA,41,0,41_0,Missing data
EA,41,1,41_1,Absence or near absence of milking
EA,41,2,41_2,Domestic animals milked more often than sporadically
EA,42,0,42_0,Gathering contributes most 
EA,42,1,42_1,Fishing contributes most 
EA,42,2,42_2,Hunting contributes most 
EA,42,3,42_3,Pastoralism contributes most
EA,42,4,42_4,Casual agriculture contributes most 
EA,42,5,42_5,Extensive agriculture contributes most 
EA,42,6,42_6,Intensive agriculture contributes most 
EA,42,7,42_7,Two or more sources contribute equally 
EA,42,8,42_8,"Agriculture contributes most, type unknown "
EA,42,9,42_9,Missing data for at least one variable 
EA,43,0,43_0,Missing data
EA,43,1,43_1,"Patrilineal (Gray 1999 v17 > 1, v19 = 1, v21 = 9) "
EA,43,2,43_2,"Duolateral (Gray 1999 v17 > 1, v19 > 1, v21 = 9 or v21 = 0) "
