EA_ID,Society_name_EA,Harmonized_society_name,EA_Alternate_name,EA_revisedFocalYear,EA_references
Ab10,Pondo,Pondo,"Amapondo, Mpondo",1936,"Hunter, M.  1936.  Reaction to Conquest.  London."
Ab11,Xhosa,Xhosa,"Amakosa, Kaffirs, Xosa",1850,"Kropf, A.  1889.  Das Volk der Xosa-Kaffern im ostlichen Sudafrika.  Berlin.
Soga, J. H.  1932.  The Ama-Xosa.  London.
Borwnlee, J.  1927.  Account of the Amakosae, or Southern Caffres.  Travels and Adventures in Southern Africa, by G. Thompson 2: 335-375.  London.
"
Ab12,Zulu,Zulu,Amazulu,1830,"Krige, E. J.  1936.  The Social System of the Zulus. London.
Gluckman, M.  1950.  Kinship and Marriage Among the Lozi of Northern Rhodesia and the Zulu of Natal.  AFrican Systems of Kinship and Marriage, ed.  Radcliffe-Brown and Forde, pp. 166-206.  London.
Gluckman, M.  1940.  The Kingdom of the Zulu in South Africa.  African Political Systems, ed. Fortes and Evans-Pritchard, pp. 25-55.  Oxford.
Vilakazi, A.  1962.  Zulu Transformations. Pietermaritzburg.
Mahlobo, G. W. K. and Eileen Jensen Krige.  1934.  Tansition from childhood to adulthood amongst the Zulus. Bantu Studies 8: 157-91.
Schapera, Isaac, ed.  1937.  The Bantu-speaking tribes of South Africa: an ethnographic survey.  London, Routledge and Kegan Paul.
Zulu (South Africa)  A. T. Bryant, The Zulu people, Pietermaritzburg, Shuter and Shooter, 1949.
"
Ab13,Tswana,Tswana,"Batswana, Bechuana",1880,"Schapera, I.  1941.  Married Life in an African Tribe. New York.
Schapera, I.  Handbook of Tswana Law and Custom.  London.
Schapera, I.  1953.  The Tswana.  London.
Schapera, I.  1950.  Kinship and Marriage Among the Tswana.  African Systems of Kinship and Marriage, ed. Radcliff-Brown and Forde, pp. 140-165.  London.
Brown, J. Tom.  1926.  Among the Bantu nomads.  London, Seeley, Service & Co.  
Dorman, S. S.  1935.  Pygmies and Bushmen of the Kalahari. London, Seeley, Service & Co.
Duggan-Cronin, A. M.  1929.  The Bantu tribes of South Africa.  Volume 2, Section 1, The Suto-Chuana Tribes, Subgroup 1, the Bechuana.  Cambridge, Cambridge 
University Press.
Livingstone, David.  1858.  Missionary travels and researches in South Africa.  New York, Harper & Brothers.
Schpera, Isaac.  1941.  Married life in an AFrican tribe. New York, Sheridan House.
"
Ab14,Lovedu,Lovedu,Balovedu,1930,"Krige, E. J., and J. D. Krige.  1943.  Realm of a Rain-Queen.  London.
"
Ab15,Pedi,Pedi,Bapedi,1860,"Harris, C. L.  1929.  The Laws and Customs of the Bapedi and Cognate Tribes of the Transvaal.  Johannesburg.
Van Warmelo, N. J.  1931.  Kinship Terminology of the South African Bantu.  Un. S. Afr. Dept. Nat. Aff. Ethn. Publ. 2: 1-119.
Duggan-Cronin, A. M.  1931.  The Bantu tribes of South Africa, Vol. 2, Section 2, sub-group 2, the Bapedi Transvaal Basotho), with introductory article on the 
Bapedi by Werner Eiselen.  Cambridge, Cambridge University Press.
Franz, G. H.  1931.  Some customs of the Transvaal Basotho.  Bantu Studies 5: 241-46.
Harries, C. L.  1939.  The laws and customs of the Bapedi. Johannesburg, Hortens.
Pitje, G. M.  1950.  Traditional systems of male education among Pedi and cognate tribes.  African Studies 9: 53-76, 105-24.
Winter, J. A.  1914.  The mental and moral capabilities of the natives, especially of Sekukuniland (Eastern Transvaal).  South AFrican Journal of Science, 12: 371-          83.
"
Ab16,Lenge,Lenge,Valenge,1930,"Earthy, E. D.  1933.  Valenge Woman.  London."
Ab17,Ndau,Ndau,Vandau,1920,"Boas, F.  1922.  Das Verwandtschaftssystem der Vandau. Zeits.  Ethn. 54: 41-51.
Herskovits, M. J.  1923.  Some Property Concepts and Marriage Customs of the Vandau.  Amer. Anth. 25: 376-386.
Dos Santos, J.  1901.  Eastern Ethiopia.  Records of South-Eastern AFrica, ed.  G. M. Theal, 7: 183-383. London.
"
Ab18,Shona,Shona,Mashona,1920,"Holleman, J. F.  1952.  Shona Customary Law.  Cape Town.
Kuper, H.  1955.  The Shona.  London.
Bullock, C.  1928.  The Mashona.  Cape Town.
Seed, J. H.  1932-33.  The Kinship System of a Bantu Tribe.  S. Rhod. Nat. Aff. Dept. Ann. 10: 65-73; 11: 35-
56.
Prost, Andre.  V-23.  1956.  ""La langue Sonay,"" Institut Francais d'Afrique Noire, Memoire 47.
"
Ab19,Ambo,Ambo,Ovambo,1910,"Loeb, E. M.  1962.  In Feudal Africa.  Publ. Indiana Univ. Res. Cent. Anth. Folkl. Ling. 23: 1-383.
Tonejes, H.  1911.  Ovamboland.  Berlin.
Krafft, M.  1914.  Die Rechtsverhaltnisse der Ovakuanyama und der Ovandonga.  Mitt. Deutsch. Schutzgeb. 27: 17-35.
Lebzelter, V.  1935.  Eingeborenenkulturen in Sudwest-und Sudafrika.  Leipzig.
"
Ab2,Swazi,Swazi,Amaswazi,1880,"Kuper, H. 1974.  An African Aristocracy.  London.                                                                                                                                                                                                                                                            Kuper, H. 1952.  The Swazi.  London.                                                                                                                                                                                                                                                                         Cooper, H.  1963.  A South AFrican Kingdom: The Swazi. New York.                                                                                                                                                                                                  Cooper, H.  1965.  The Swazi of Swaziland.  Peoples of Africa, ed. J. L. Gibbs, pp. 479-511.  New York.
Marwick, B. A.  1940.  The Swazi.  Cambridge.
Kuper, Hilda.  1950.  Kinship among the Swazi.  In African Systems of Kinship and Marriage, A. R. Radcliff-Brown and C. D. Forde, eds.  London, International African Institute.  Pp. 86-110.
"
Ab20,Ngumbi,Ngumbi,"Bangumbi, Humbe, Khumbi, Nkumbe, Ovakumbe, Vankumbe
",1880,"Wunenberger, C.  1888.  La mission et le royaume de Cunene.  Missions Catholiques 20: 224-272.
"
Ab21a,Kisama,Kisama,"Cisama, Quissama",1930,"Magyar, L.  1859.  Reisen in Sud-Afrika.  Pest and Leipzig.
Mattenklodt.  1944.  Die Kisama, ed.  H. Baumann.  Wiener Beitr. Kulturgesch.  Ling. 6: 71-108.
"
Ab21b,Bomvana,Bomvana,NA,NA,"Cook. P. A. W.  1931.  Social Organisation and Ceremonial Institutions of the Bomvana.  Cape Town.
"
Ab22,Chopi,Chopi,Vachopi,1920,"Junod, H. P.  1936.  The Vachopi of Portuguese East Africa. The Bantu Tribes of South Africa, ed. A. M. Duggan-Cronin  4: ii, 39-59.  Canmbridge.
"
Ab3,Lozi,Lozi,NA,1890,"1. Principal Authority(ies)
Gluckman, M. 1941. Economy of the Central Barotse Plain. Rhodes-Livingstone Papers 7.
Gluckman, M. 1950. Kinship and Marriage among the Lozi of Northern Rhodesia and the Zulu of Natal. African Systems of Kinship and Marriage, A. R. Radcliffe-Brown and D. Forde, eds.Oxford.
Gluckman, M. 1972 (lst ed. 1965). The Ideas in Barotse Jurisprudence. Manchester.
Gluckman, M. 1951. The Lozi of Barotseland. Seven Tribes of British Central Africa, ed. E. Colson and M. Gluckman, pp. 1-93. London.
2. Other Dependable Primary Sources
Bertrand, A. 1899. The Kingdom of the Barotsi. London.
Holub, E. 1895. Seven Years in South Africa, v.2. London.
4. Useful Secondary Sources
Mainga, M. 1973. Bulozi under the Luyana Kings: Political Evolution and State Formation in Pre-Colonial Zambia. London.
Turner, V. W. 1952. The Lozi Peoples of Northwestern Rhodesia. London."
Ab4,Thonga,Thonga,NA,1920,"1. Principal Authority(ies)
Junod, H. A. 1927 (2d ed.). The Life of a South African Tribe. 2v. London."
Ab5,Mbundu,Mbundu,NA,1930,"1. Principal Authority(ies)
Childs, G. M. 1949. Umbundu Kinship and Character. London.
2. Other Dependable Primary Sources
Hambly,W. D. 1934. The Ovimbundu of Angola. Field Museum Anthropological Series 21:89-362.
3. Auxiliary Primary Sources
Edwards, A. C. 1962. The Ovimbundu under Two Sovereignties. London.
4. Useful Secondary Sources
Duffy, J. 1959. Portuguese Africa. Cambridge, Mass.
McCulloch, M. 1952. The Ovimbundu of Angola. London."
Ab6,Venda,Venda,"Bavenda, Bawenda",1900,"Stayt, H. A.  1931.  The Bavenda.  Oxford.
Warmelo, N. J. van.  1948.  Venda Law.  Union of S. fr. Dept. Nat. Aff. Ethn. Publ. 23: 1-1047.
HRAF
Gottschling, E.  1905.  The Bavenda: a sketch of their history and customs.  Journal of the Anthropological Institute 35: 365-86.
Wessmann, R.  1908.  The Bavenda of the Spelonken.  London, African World, Ltd.
"
Ab7,Nyaneka,Nyaneka,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",1920,"Lang, A., and C. Tastevin.  1937.  La tribu des Va-Nyaneka.  Mission Rohan-Chabot 5: 1-213.
"
Ab8,Sotho,Sotho,Basuto,1860,"Ashton, H.  1952.  The Basuto.  London.
Sheddick, V. G. J.  1953.  The Southern Sotho.  London.                                                                                                                                                                                                      Laydevant, J.  1931.  Etude sur la famille en Basutoland. Journ. Soc. AFricanistes 1: 207-257.
Casilis, E. A.  1859.  Les Bassoutos.  Paris.
Dutton, Eric Aldhelm Torlough.  1923.  The Basuto of Basutoland.  London, Jonathan Cape.
Mabille, H. E.  1906.  The Basuto of Basutoland.  Journal of the African Society 5: 219-51, 335-76.
Martin, Minnie.  1903.  Basutoland: its legends and customs.  London, Nichols.  
Krige, J. D.  1937.  Traditional Origins and Tribal Relationships of the Sotho at Northern Transvaal.  Bantu Studies 11: 321-356.
"
Ab9,Ndebele,Ndebele,"Amandebele, Matabele",1870,"Hughes, A. J. B., and J. van Velsen.  1955.  The Ndebele. London.
Thomas, T. M.  1872.  Eleven Years in Central South Africa.  London.
Jackson, H. M. G.  1926-27.  NOtes on Matabele Customary Law.  S. Rhod. Nat. Aff. Dep. Ann. 4: 30-34; 5: 7-14.
"
Ac1,Ila,Ila,Baila,1920,"Smith, E. W., and W. M. Dale.  1920.  The Ila-speaking Peoples.  2v.  London.                                                                                                                                                                     Jaspan, M.A.  1953.  The Ila-Tonga Peoples.  London.
Tuden, A.  (University of Pittsburgh).  Unpublished field notes.
"
Ac10,Chewa,Chewa,"Achewa, Cewa, Sheva",1920,"Bruwer,  J. P.  1955.  Unkhoswe: The System of Guardianship in Cewa Matrilineal Society.  Afr. Stud. 14: 113-122.
Hodgson, A. G. O.  1933.  Notes on the Achewa and Ngoni. Journ. Roy. Anth. Inst. 63: 123-164.
Marwick, M. G.  1952.  The Kinship Basis of Cewa Social Structure.  S. Afr. Journ. Sci. 48: 258-262.
Tew, M.  1950.  Peoples of the Lake Nyasa Region.  London. HRAF
Bruwer, J.  1949.  The composition of a Cewa village (Mudzi).  African Studies 8: 191-98.
Ntara, Samuel Y.  1934.  Man of Africa.  London, The Relgious Tract Society.
Read, Margaret.  1938.  The moral code of the Ngoni and their former military state.  Africa 11: 1-24.
Richards, Audrey I.  1950.  Some types of family structure among the central Bantu.  In AFrican Systems of Kinship and Marriage, A. R. Radcliffe Brown and C. D. Forde, eds.  London, International AFrican Institute.  Pp. 207-51.
"
Ac11,Luvale,Luvale,"Aluena, Balovale, Lobare, Luena",1930,"White, C. M. N.  1955.  Factors in the Social Organization of the Luvale.  Afr. Stud. 14: 97-112.
McCulloch, M.  1951.  The Southern Lunda and Related Peoples.  London.
"
Ac12,Chokwe,Chokwe,"Badjok, Kioko, Tsokwe",1920,"Baumann, H.  1935.  Lunda.  Berlin.
Jaspert, F., and W. Jaspert.  1930.  Die Volkerstamme Mittel-Angolas.  Veroff. Stadtl.  Volker-Museum 5: 1-155. Frankfurt-am-Main.
McCulloch, M.  1951.  The Southern Lunda and Related Peoples.  London.
 Torday, E., and T. A. Joyce.  1922.  Notes ethnographiques sur des populations habitant les bassins du Kasai et du Kwango oriental.  Bruxelles.
"
Ac13,Lake Tonga,Lake Tonga,"Batonga, Matoka",1950,"Velsen, J. van.  1964.  The Politics of Kinship. Manchester.
Tew, M.  1950.  Peoples of the Lake Nyasa Region.  London.
"
Ac14,Kongo,Kongo,Bakongo,1900,"Bruyns, L.  1951.  De sociaal-economische ontwikkeling van made Bakongo.  Mem. Inst. Roy.  Colon. Belge, Sect. Sci. Mor. Polit. 22: iii,1-343.
Ihle, A.  1929.  Das alte Konigreich Kongo. Stud. Volkerk. 1: 1-285.  Leipzig.
Mertens, J.  1942.  Les chefs couronnes chez les Ba Kongo orientaux.  Mem. Inst. Roy. Colon. Belge 10: i, 1-455.
Van Wing, J.  1921.  Etudes Bakongo.  Biblioth.  Congo 3: 1-318.
Weeks, J. H.  1914.  Among the Primitive Bakongo.  London. Stapleton, Walter H.  V-30.  1903.  Comparative handbook of the Congo languages, London, Baptist Missionary Society Press.
Kapstein, Gregorious.  1922.  Familie leven en seden bij de inboorlingen van den Evenaar.  Congo, Vol. 3, Part 1: 531-549.  Brussels, Goemaere, Imprimeur du Roi.
Czekanowski, Jan.  1924.  Forsehungen im Nil-Kongo zwischengebiet, Wissenschaftliche Ergebnisse der Deutschen Zentral Afrika Expedition, 1907-1908, unter Fuhrung Adolf Friedrich, Herzogs zu Mecklenburg, Vol. 6.  Part 2: 21-110.  Leipzig, Klinkhardt und Bierman.
 Brown, H. D.  1944.  The Nkumu of the Tumba: ritual chieftanship on the Middle Congo.  Africa 4: 431-446. London, Oxford University Press for the International Institute of AFrican Languages and Cultures.
"
Ac15,Mbala,Mbala,"Ambala, Bambala",1900,"Torday, E., and T. A. Joyce.  1922.  Notes ethnographiques sur des populations habitant les bassins du Kasai et du Kwango oriental, pp. 227-359.  Bruxelles.
Torday, E., and T. A. Joyce.  1905.  Notes on the Ethnography of the Ba-Mbala. ourn. Roy. Anth. Inst. 35: 398-426.
Torday, E., and T. A. Joyce.  1907.  Notes on the Southern Ba-Mbala.  Man 7: 81-84.
"
Ac16,Shogo,Shogo,"Ashogo, Issogo, Mitsogo",1940,"Balandier, G.  1952.  Les villages gabonais.  Mem. Inst. Et. Centrafr.  5: 1-86.
Maclatchy, A.  1945.  L'organisation sociale des populations de la region de Mimongo Bull. Inst. Et. Centrafr.  1: 53-86.
"
Ac17,Suku,Suku,NA,1910,"1.Principal Authority(ies)
Kopytoff, I. 1961. Extension of Conflict as a Method of Conflict Resolution Among the Suku of the Congo. Journal of Conflict Resolution 5:61-69.
Kopytoff, I. 1964. Family and Lineage Among the Suku of the Congo. The Family Estate in Africa, ed. R. F. Gray and P. H. Gulliver, pp. 83-116. Boston.
Kopytoff, I. 1977. Matrilineality, residence, and residential zone. American Ethnologist 4: 539-558.
Kopytoff, I. 1971. Thå Suku of the Congo: an ethnographic test of Hsu's hypothesis. Kinship and Culture, ed. F. L. K. Hsu. pp. 69-86. Chicago.
Kopytoff, I. 1965. The Suku of Southwestern Congo. Peoples of Africa, ed. J. L. Gibbs, Jr., pp. 441-477. New York.
2.Other Dependable Primary Sources
Torday, E., and T. A. Joyce. 1906. Notes on the Ethnography of the Bayaka. Journal of the Royal Anthropological Institute 36:39-58.
Van de Ginste, F. 1947. Le mariage chez les Basuku. Bulletin des Jurisdictions IndigŠnes et du Droit Coutumier Congolais, no. 5. 1-2.
3.Auxiliary Primary Sources
Holemans, K. 1959. Etudes sur l'alimentation en milieu coutumier du Kwango. Annales de la Soci‚t‚ Belge de M‚decine Tropicale 39:361-374."
Ac18,Sundi,Sundi,Basundi,1910,"Even, A.  1931.  Quelques coutumes des tribus  Badondos et Bassoundis.  Bull. Soc. Rech. congol. 7: 77-94.
Hutereau, A.  1910.  Les Manyanga.  Bull Soc. Roy. Belge Geog. 24: 15-39.
Laman, K.  1953.  The Kongo. stud. Ethnog. Upsaliensia 4: 1-155.
Soret, M.  1959.  Les Kongo nord-occidentaux.  Paris.
"
Ac19,Teke,Teke,Bateke,1880,"Badier.  1929.  Monographie de la tribu des Batekes. Bull. Soc. Rech. Congol. 10: 37-43.
Descazes, E.  1885.  Sur les Batekes.  Rev. Ethnog. 4: 160-168.
Guiral, L.  1886.  Les Batekes.  Rev. Ethnog. 5: 134-166.
Trezenem, E.  1940.  Les Bateke Balali.  Journ. Soc. Africanistes 10: 1-63.
"
Ac2,Pende,Pende,Bapende,1920,"Sousberghe, L. de.  1955.  Structures de parente et d'alliance d'apres les formules Pende.  Mem. Acad. Roy. Sci. Colon., Cl. Sci. Mor. Pol., Ethnog., n.s., 4: 1-193.
Torday, E., and T. A. Joyce.  1922.  Notes ethnographiques sur des populations habitant les bassins du Kasai et du Kwango oriental.  Bruxelles.                            Pende.  Corrigenda to Table 1.
"
Ac20,Yaka,Yaka,"Bayaka, Giaka, Maiaca",1920,"Milheiros, M.  1956.  Anatomia social dos Maiacas. Luanda.
Plancquaert, M.  1932.  Les Jaga et les Bayaka du Kwango. Mem. Inst. Roy. Colon. Belge 3: i,1-181.
Torday, E., and T. A. Joyce.  1906.  Notes on the Ethnography of the Ba-Yaka.  Journ. Roy. Anth. Inst. 36: 39-58.
"
Ac21,Bunda,Bunda,"Ambundu, Babunda",1910,"Decker, J. M. de.  1942.  Contribution a Petude du mariage chez les Bambunda. Bull. Jurisd. Indig. Droit Cout. Congol. 10: 125-146.
Torday, E.  1910.  The Northern Babunda. Man 19: 49-55.
Weekx, G.  1937.  La peuplade des Ambundu.  Congo 18: i,353-373; ii,13-35.
"
Ac22,Dzing,Dzing,"Badinga, Dinga",1930,"Mertens, J.  1935.  Les Ba Dzing de la Kamtsha. Mem. Inst. Roy. Colon. Belge 4: 1-381.
"
Ac23,Lele,Lele,"Bashilele, Wongo",1950,"Douglas, .  1952.  Alternate Generations Among the Lele of the Kasai.  AFrica 22: 59-65.
Tew, M.  1951.  A Form of Polyandry Among the Lele of the Kasai.  Africa 21: 1-12.
Vansina, J.  1954.  Les tribus Ba-Kuba et les peuplades apparentees.  London.
Douglas, M.  1962.  Lele Economy Compared with the Bushong.  Markets in Africa, ed.  P. Bohannan and G. Dalton, pp. 211-233.  Evanston.
Douglas, M.  1963.  The Lele of the Kasai.  London.
"
Ac24,Sakata,Sakata,"Balesa, Basakata, Lesa",1910,"Baeyens, M.  1913.  Les Lesa. REv. Congol. 4: 129-143, 193-206, 257-270, 321-336.
Denis, P. J.  1935.  L'organisation d'un peuple primitif. Congo 16: i, 481-502.
Maes, J. 1924.  Notes sur les populations des bassins du Kasai, de la Lukenie, et du Lac Leopold II.  Bruxelles.
Viaene, E., and F. Bernard.  1909-10.  Chez les Lessa. Bull. Soc. Roy. Belg. Geog. 23: 464-510; 24: 198-229."
Ac25,Songo,Songo,Basongo,1930,"Beaucorps, R. de.  1921.  Les Basongo de la Luniunga et de la Gobari. Mem. Inst. Roy. Colon. Belge 10: iii,1-176.
Beaucorps, R. de.  1951.  L'evolution economique chez les Basongo de la Gobari. Mem. Inst. Roy.  Colon. Belge, Sect. Sci. Mor. Polit. 20: iv, 1-68.
Richards, A. I.  1950.  Some Types of Family Structure Amongst the Central Bantu.  AFrican Systems of Kinship and Marriage, ed. A. R. Radcliffe-Brown and D. Forde, pp. 206-251.  London.
"
Ac26,Yanzi,Yanzi,"Bayansi, Wachanzi",1920,"Beaucorps, R. de.  1933.  Les Bayansi du Bas-Kwilu. Louvain.
Torday, E., and T. A. Joyce.  1922.  Notes ethnographiques sur des populations habitant les bassins du Kasai et du Kwango oriental.  Bruxelles.
"
Ac27,Luchazi,Luchazi,"Balochasi, Kaluchazi, Valuchazi",1930,"Baumann, H.  1935.  Lunda.  Berlin.
McCulloch, M.  1951.  The Southern Lunda and Related Peoples.  London.
 
"
