Source,soc_ID,Orig.latitude,Orig.longitude,latitude,longitude,AnnualMeanTemperature,AnnualTemperatureVariance,TemperatureConstancy,TemperatureContingency,TemperaturePredictability,MonthlyMeanPrecipitation,MonthlyPrecipitationVariance,PrecipitationConstancy,PrecipitationContingency,PrecipitationPredictability,BirdRichness,MammalRichness,AmphibianRichness,VascularPlantsRichness,EcoRegion,Elevation,Slope,Coastal,NetPrimaryProduction,DurationOfGrowingSeason,MeanGrowingSeasonNPP,Inter-YearVarianceGrowingSeasonNPP
Binford,11,9.25,77.25,9.25,77.25,24.83216667,1.015407576,0.622890905,0.14328141,0.766172315,163.1868333,16296.48369,0.315137748,0.227201956,0.542339704,260.1452325,79.98610447,27.50212769,1993.72,South Western Ghats montane rain forests,582.8088989,8.513043064,NO,1.240498187,12,1.240498187,0.02632242
Binford,12,17.33,122.13,17.33,122.13,24.4185,2.919001515,0.528745026,0.19769155,0.726436577,227.0566667,28628.22398,0.426798035,0.130937,0.557735035,232.8958716,49.00003598,12.18419545,2281.64,NA,444.0858154,9.875800285,YES,3.806178075,12,3.806178075,0.630461875
Binford,13,17.48,122.05,17.48,122.05,22.7925,2.538831818,0.537374953,0.186196356,0.723571309,252.215,36862.37676,0.424524528,0.146194016,0.570718544,232.8958716,49.00003598,12.18419545,2281.64,NA,444.0858154,9.875800285,YES,1.412363718,12,1.412363718,0.016589412
Binford,14,17.82,121.8,17.82,121.8,26.05883333,3.57765303,0.509120396,0.205738424,0.714858819,163.2326667,21201.06039,0.33468076,0.185871277,0.520552037,201.0154997,38.3515772,8.565634687,2358.2,Luzon rain forests,162.5838928,3.703224686,YES,3.670464867,12,3.670464867,0.467992425
Binford,15,16.25,78.97,16.25,78.97,26.85483333,10.37515909,0.414516534,0.270644061,0.685160595,55.029,4219.867821,0.207002031,0.302624271,0.509626302,171.6088104,50.96597317,17,1177.7,Central Deccan Plateau dry deciduous forests,531.8099976,5.858418747,NO,0.82692308,12,0.82692308,0.016727737
Binford,16,18.41,100.47,18.41,100.47,25.16833333,6.402927273,0.474198007,0.233590597,0.707788603,96.72566667,10135.16719,0.225863532,0.367465626,0.593329158,292.0411541,135.8821574,30,2956.62,Central Indochina dry forests,385.7835999,5.263684648,NO,1.781458206,12,1.781458206,0.040069535
Binford,17,9.75,77.5,9.75,77.5,26.57166667,1.596133333,0.57402926,0.204446174,0.778475434,96.81816667,7331.24532,0.277656912,0.210179689,0.487836601,256.7207487,63.5972739,29.04655534,1993.72,South Western Ghats montane rain forests,253.9905548,10.2891388,NO,2.274152027,12,2.274152027,0.067831342
Binford,18,23.41,84.38,23.41,84.38,22.50766667,27.95560606,0.370832605,0.311167245,0.681999849,107.8825,26090.1413,0.202473958,0.354000018,0.556473976,209.9786587,54.34994786,14.92562831,1590.8,Eastern highlands moist deciduous forests,794.4555664,5.164303147,NO,1.058411568,12,1.058411568,0.028996578
Binford,19,10.25,77.17,10.25,77.17,22.92433333,1.852563636,0.565784052,0.19459093,0.760374982,107.322,7531.714988,0.303431397,0.225767537,0.529198934,253.2584549,81.82274496,26.72161168,1879.21,South Western Ghats moist deciduous forests,1221.306152,14.43281298,NO,0.887113869,12,0.887113869,0.011787956
Binford,20,10.18,76.4,10.18,76.4,25.03766667,1.534448485,0.598997391,0.166663111,0.765660502,173.0511667,29091.15332,0.230718352,0.294579494,0.525297846,218.1898798,69.32478784,17.7956524,2390.25,Malabar Coast moist forests,50.52850723,NA,YES,3.092216854,12,3.092216854,0.177910748
Binford,21,11.9,77.21,11.9,77.21,24.38333333,3.568912121,0.51104177,0.222021803,0.733063572,61.40316667,3727.317735,0.255556276,0.281233348,0.536789624,220.3093345,74.62242064,18,1926.24,South Western Ghats moist deciduous forests,797.3769531,4.625563903,NO,1.913575107,12,1.913575107,0.042095764
Binford,22,44.01,144.17,44.01,144.17,4.729,83.99895152,0.240793065,0.321339435,0.5621325,101.7826667,3614.314161,0.530339591,0.083615157,0.613954748,132.4343727,34,3,1228.95,Hokkaido deciduous forests,43.41986465,2.878571025,YES,1.516088735,10,1.827150213,0.055832975
Binford,23,51.91,122.5,51.91,122.5,-6.932666667,313.5982273,0.181805299,0.371221548,0.553026847,35.86966667,2028.129985,0.235159216,0.507095517,0.742254733,173.7824677,48,4.451946028,901.712,Da Hinggan-Dzhagdy Mountains conifer forests,1005.354431,4.585494907,NO,1.209645675,7,2.089036957,0.047773464
Binford,24,62,90,62,90,-4.983666667,264.7817212,0.141624646,0.332885074,0.47450972,44.09416667,538.3755015,0.602331779,0.15264746,0.754979239,119.0609552,34.72155376,3,905.92,East Siberian taiga,195.6263885,1.090464584,NO,0.979860685,7,1.707125543,0.058677167
Binford,25,51.54,140,51.54,140,-1.961,198.1464879,0.190706611,0.36135846,0.55206507,45.5095,1039.098538,0.449978387,0.179693353,0.62967174,168.0592819,40.53397058,6.035308858,812.573,Okhotsk-Manchurian taiga,37.51722336,3.440011838,NO,0.848879468,7,1.468958209,0.052109123
Binford,26,70,145,70,145,-14.935,387.5811152,0.21333043,0.384820927,0.598151356,17.049,109.1358576,0.533559031,0.398424246,0.931983277,57.98263536,21.50868232,1,399.229,Northeast Siberian coastal tundra,43.72722244,1.29359958,NO,0.192459115,5,0.902483342,0.045917946
Binford,27,73.83,90,73.83,90,-14.24766667,245.7524939,0.207129226,0.361883949,0.569013175,26.124,91.20625758,0.76005262,0.165455534,0.925508154,37.25417995,11.62708997,NA,450.933,Taimyr-Central Siberian tundra,179.3133392,1.882863703,NO,-0.088620534,4,0.514990913,0.033686717
Binford,28,65.96,170.08,65.96,170.08,-12.51716667,244.993047,0.189461161,0.343272211,0.532733373,24.3185,220.7707258,0.605874689,0.240598724,0.846473412,77.12156073,NA,1,NA,Chukchi Peninsula tundra,471.7927856,3.939893839,NO,0.305648091,5,1.025590549,0.036618822
Binford,35,9.9,-72.41,9.9,-72.41,25.99033333,0.382551515,0.675123425,0.063758431,0.738881857,131.0013333,10461.95117,0.444229413,0.204176369,0.648405782,299.5388275,157.8613573,20,2786.43,Maracaibo dry forests,32.02747726,NA,YES,1.16232586,12,1.16232586,0.058083896
Binford,36,3.86,-66.17,3.86,-66.17,25.024,0.557833333,0.653472629,0.137976705,0.791449335,253.1635,22695.16073,0.532923199,0.248644064,0.781567263,503.1033602,190.7708973,41.32553718,3354.09,Guianan piedmont and lowland moist forests,750.3685913,4.021224949,NO,4.556480937,12,4.556480937,0.292811176
Binford,37,3,-55,3,-55,25.3715,0.354222727,0.6863313,0.115801555,0.802132854,198.3036667,18569.78074,0.440561413,0.22353952,0.664100933,430.5822802,184.6775993,82.2801078,4110.34,Guianan moist forests,354.5541687,2.258579313,NO,3.523962755,12,3.523962755,0.364504641
Binford,38,6.85,-68.77,6.85,-68.77,27.34016667,1.272483333,0.590464594,0.185071936,0.77553653,170.6186667,23876.88969,0.321083841,0.372194401,0.693278242,293.1449614,147.7149871,26,2381.19,Llanos,75.97027588,NA,NO,0.925726837,12,0.925726837,0.006447789
Binford,39,5.38,-68.31,5.38,-68.31,27.467,1.307121212,0.596041199,0.194714554,0.790755753,204.8463333,25347.53476,0.420883648,0.309381961,0.730265608,355.3106337,152.9154993,26.92596267,2885.38,Llanos,75.80027771,1,NO,0.668685646,12,0.668685646,0.00835634
Binford,40,2.56,-71.81,2.56,-71.81,25.91966667,0.826009091,0.636846767,0.169936881,0.806783648,231.2698333,16118.38098,0.517832583,0.215754845,0.733587428,329.1983939,159.7354683,44.24312741,3054.73,Negro-Branco moist forests,289.3877869,NA,NO,3.625037852,12,3.625037852,0.266240814
Binford,41,16.52,-55,-16.63,-55.2,26.3375,2.814431818,0.522857307,0.110509874,0.63336718,113.6511667,9809.012211,0.322266931,0.297424669,0.6196916,396.3046387,131,45,2427.93,Cerrado,277.4858398,2.596743711,NO,0.95298304,11,1.047725895,0.315075175
Binford,42,-18,-57.5,-18,-57.5,25.97683333,5.359419697,0.474380544,0.139680522,0.614061065,91.96933333,4582.321582,0.423892781,0.30534229,0.729235071,347.5031162,121.1223517,45.48403776,2124.81,Chiquitano dry forests,101.8227768,1.969166273,NO,2.146199277,12,2.146199277,2.633512337
Binford,43,-15,-63.58,-15,-63.58,25.51133333,2.80739697,0.521382681,0.133163296,0.654545977,125.0661667,6266.836965,0.512976078,0.335594111,0.848570189,389.7080433,153.0693178,64.09451585,2381.51,Madeira-Tapajós moist forests,217.5752716,NA,NO,2.159070269,10,2.713658399,0.43484473
Binford,44,-16.46,-64.97,-16.46,-64.97,24.50933333,5.507375758,0.467493481,0.177239497,0.644732978,203.5356667,15454.12082,0.534418455,0.266113931,0.800532385,514.2215778,145.483966,53.25917485,2193.66,Southwest Amazon moist forests,171.2072296,NA,NO,1.864362521,10,2.315490628,0.645325184
Binford,45,-12.73,-59.55,-12.73,-59.55,24.90683333,1.496131818,0.566197588,0.104098145,0.670295733,142.9368333,12327.78753,0.343419687,0.526861249,0.870280936,448.1479633,138.1595816,66.00980477,2428.89,Cerrado,438.5922241,1.426901462,NO,3.073099636,12,3.073099636,0.909833035
Binford,46,-26.5,-82,26.75,-81.9,23.30316667,16.00841667,0.391606133,0.22465266,0.616258792,102.3248333,5639.304353,0.394463486,0.136457308,0.530920794,96.58720229,36.95373697,20,1873.99,Southeastern conifer forests,8.213375092,NA,YES,1.550916115,12,1.550916115,0.041919092
Binford,47,-25.7,-55.38,-25.7,-55.38,20.9605,15.62678939,0.37195673,0.214137495,0.586094225,124.6475,3796.911241,0.56382447,0.046734466,0.610558936,431.8093287,101.0601622,30.32495428,2021.28,Alto Paraná Atlantic forests,251.8905487,1.604839309,NO,2.106072073,12,2.106072073,0.724255481
Binford,48,-18.71,-41.86,-18.71,-41.86,22.85483333,3.874171212,0.497571363,0.205441033,0.703012396,90.633,6977.158764,0.3857702,0.333311938,0.719082138,387.3630728,142.7390046,55,2970.86,Bahia interior forests,303.2044373,3.084082631,NO,1.467254694,12,1.467254694,0.046898072
Binford,49,-23.52,-53.68,-23.52,-53.68,21.61033333,9.854893939,0.424201257,0.206407115,0.630608372,130.3363333,2749.773961,0.633473699,0.123931252,0.757404951,415.9331096,119.2547877,37.57521826,2393.91,Alto Paraná Atlantic forests,298.4527893,1.239480132,NO,1.365043918,12,1.365043918,0.473651931
Binford,50,-28,-50,-28,-50,15.58783333,10.79905606,0.415009678,0.233568184,0.648577862,135.5123333,2236.619291,0.65957498,0.039017098,0.698592079,359.4841415,111.2522137,39.9369727,2537.86,Araucaria moist forests,1311.713623,2.009395788,NO,3.76642943,12,3.76642943,0.217923222
Binford,51,-46,-68.7,-46,-68.7,9.4155,28.0213197,0.338169168,0.289892529,0.628061697,8.531833333,16.64493788,0.615297747,0.120748761,0.736046509,81.14657955,23,1,926.857,Patagonian steppe,491.855835,3.028726127,NO,0.264006664,12,0.264006664,0.000175974
Binford,52,-45,-73.83,-45,-73.83,8.106666667,9.101763636,0.414785801,0.209202126,0.623987927,163.7646667,5125.960233,0.616406449,0.067334572,0.683741021,96.52476815,3,3.327497524,1183.51,Valdivian temperate forests,220.94104,6.555683143,YES,1.917739252,12,1.917739252,0.199272431
Binford,53,-49.55,-74.52,-49.55,-74.52,5.9255,7.140798485,0.443657444,0.217404358,0.661061802,70.8505,366.0262712,0.735920479,0.135391582,0.87131206,90,10.85681621,3,934.855,Magellanic subpolar forests,332.7986145,10.662111,YES,0.560985768,11,0.612246024,0.032915796
Binford,54,-53.9,-68.62,-53.9,-68.62,4.876333333,10.02238485,0.41541364,0.211387315,0.626800955,37.8285,174.2655803,0.66882262,0.03324551,0.70206813,95.71391625,13,NA,811.494,Magellanic subpolar forests,136.3511047,1.409860708,NO,0.704270141,9,0.95538058,0.018551599
Binford,55,-60,-68.66,-55.5,-68.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,3,NA,NA,NA,98.62433624,4.376015546,YES,1.271729255,11,1.388428501,0.098059896
Binford,60,2,17,2,17,24.64116667,0.497771212,0.721712266,0.163214946,0.884927213,138.3126667,4519.715164,0.570486564,0.159268053,0.729754616,269.0013999,140.6530795,36.7427908,2367.79,Northwestern Congolian lowland forests,409.3108215,NA,NO,2.862810422,12,2.862810422,5.686886537
Binford,61,3.58,17.76,3.58,17.76,24.6655,0.781462121,0.689203048,0.197436074,0.886639122,129.5455,5819.726886,0.498212387,0.251884344,0.75009673,293.3011472,141.1619776,38.83227631,2052.3,Northwestern Congolian lowland forests,472.1038818,1.250003572,NO,2.412325862,12,2.412325862,6.501763631
Binford,62,-6.64,28.26,-6.64,28.26,24.037,0.547927273,0.691269029,0.203259352,0.894528381,88.99816667,6253.581698,0.287909255,0.451536936,0.739446191,272.1213892,101.5533414,21.86273655,2219.76,Central Zambezian Miombo woodlands,757.3927612,2.250095038,NO,1.538423685,12,1.538423685,0.733213575
Binford,63,2.39,15.31,2.39,15.31,24.5905,0.57025,0.703616569,0.172266109,0.875882678,140.5785,6152.112323,0.515860684,0.173466527,0.689327211,304.946042,152.2488064,57.74698955,2560.15,Northwestern Congolian lowland forests,459.4783325,1.035888538,NO,3.13101907,12,3.13101907,2.62802909
Binford,64,2.7,27.64,2.7,27.64,23.432,0.634772727,0.648639122,0.18516429,0.833803411,141.7881667,5377.706902,0.528442502,0.187558466,0.716000968,348.2645317,158.6906457,35.32285862,1896.27,Northeastern Congolian lowland forests,770.6975098,NA,NO,2.969374622,12,2.969374622,2.920574025
Binford,65,1.54,28.61,1.54,28.61,23.09066667,0.532572727,0.669431922,0.183341103,0.852773026,119.9381667,3235.981444,0.553155725,0.121998125,0.67515385,368.6849755,163.2567922,37.50192503,2038.18,Northeastern Congolian lowland forests,874.7827759,1.358628249,NO,3.501627803,12,3.501627803,1.666676782
Binford,66,-22.32,43.81,-22.32,43.81,23.79683333,6.640428788,0.483445858,0.261324963,0.744770821,44.24816667,3316.449017,0.276525133,0.652061758,0.928586891,99.87483365,29.79945719,6,2214.45,Madagascar succulent woodlands,231.6483307,2.131893653,NO,1.56397638,12,1.56397638,0.160438438
Binford,67,-16.93,24.32,-16.93,24.32,22.32016667,12.64660758,0.423907596,0.225076084,0.648983679,57.58483333,6278.56548,0.21056206,0.48852031,0.69908237,346.4011989,95.93134963,35,1350.92,Central Zambezian Miombo woodlands,977.4208374,1.77055099,NO,1.181821623,10,1.448743185,0.237447474
Binford,68,-18.65,16.12,-18.65,16.12,22.7085,14.25266818,0.48315664,0.314683682,0.797840322,34.27166667,2884.697952,0.201133688,0.449587629,0.650721317,271.6693748,75.57193636,14,1216.28,Etosha Pan halophytics,1080.655273,1.003651689,NO,0.380791946,10,0.488416114,0.065116786
Binford,69,-3.82,35.32,-3.82,35.32,21.10316667,1.439816667,0.621057722,0.258145703,0.879203425,46.6335,3328.713705,0.211779739,0.37982289,0.591602629,366.2287987,141.9688032,33.86432082,2346.01,Southern Acacia-Commiphora bushlands and thickets,1398.076416,3.415273448,NO,1.941777713,12,1.941777713,0.053870291
Binford,70,0,36,0,36,15.328,0.763357576,0.639777246,0.188277197,0.828054443,76.90883333,3464.748777,0.373768194,0.15523968,0.529007874,461.4982137,173.5272407,26.9737878,2127.01,Northern Acacia-Commiphora bushlands and thickets,2189.883545,4.337306536,NO,2.721797394,12,2.721797394,0.080445378
Binford,71,-16.42,19.53,-16.42,19.53,21.36466667,9.983212121,0.448215983,0.268110387,0.71632637,61.764,5969.601064,0.252020925,0.548495808,0.800516732,221.9449527,67.98237153,23,1248.26,Angolan Miombo woodlands,1205.721436,1.001404221,NO,1.323781043,12,1.323781043,0.631322053
Binford,72,-20,21.18,-20,21.18,22.37383333,18.52010152,0.411868643,0.2706511,0.682519742,33.978,2349.82723,0.284833833,0.408006363,0.692840195,200.9450361,73,11.43265039,1090.39,Kalahari Acacia-Baikiaea woodlands,1016.005554,1.024462515,NO,0.682692303,10,0.846380975,0.342684443
Binford,73,-21.64,21.61,-21.64,21.61,21.4325,22.54907424,0.396567608,0.287840133,0.68440774,32.8985,2145.854671,0.211366973,0.436689351,0.648056324,157.0098746,63,7,1170.91,Kalahari Acacia-Baikiaea woodlands,1131.359985,1,NO,0.501362811,11,0.558559552,0.182064363
Binford,74,-22.46,23.39,-22.46,23.39,21.46466667,23.9892,0.383261013,0.291074495,0.674335508,28.82783333,1442.988768,0.232754018,0.419748069,0.652502086,141.9274984,58.92749836,9,1214.96,Kalahari xeric savanna,1005.099426,1,NO,0.588241975,12,0.588241975,0.223016398
Binford,75,-22.88,24.41,-22.88,24.41,21.52933333,23.00217879,0.382667935,0.284716172,0.667384107,28.231,1345.890239,0.227418523,0.422387997,0.649806519,154.7217663,59,9,1408.31,Kalahari xeric savanna,989.4058228,1,NO,0.589188374,12,0.589188374,0.147079599
Binford,76,-23.86,22.2,-23.86,22.2,20.91366667,27.60530909,0.35900035,0.312034476,0.671034827,26.2185,1161.965529,0.244071987,0.403616091,0.647688078,130.3167976,57.33820556,8.498768005,1096.32,Kalahari xeric savanna,1125.746338,1,NO,0.482624169,12,0.482624169,0.133510786
Binford,77,-27.37,19.82,-27.37,19.82,20.193,36.87666667,0.325737672,0.314716794,0.640454466,9.472333333,172.8616848,0.309337546,0.323765195,0.633102741,134.6310117,54.99330882,3.106828596,1099.17,Kalahari xeric savanna,881.6980591,1.01866862,NO,0.201923078,11,0.221367216,0.027507351
Binford,78,-26.28,30.23,-26.28,30.23,14.52816667,12.58302879,0.415547141,0.250593073,0.666140214,67.47933333,4630.896473,0.255625467,0.295534724,0.551160191,302.7027465,90.43545686,20.99491092,2446.36,"Drakensberg montane grasslands, woodlands and forests",1658.893921,1.922711525,NO,2.497690793,12,2.497690793,0.046523922
Binford,79,-31.47,19.77,-31.47,19.77,15.70916667,22.88823788,0.366179688,0.289321492,0.65550118,15.18333333,163.2835848,0.399464652,0.118632108,0.51809676,151.0629257,57.85957034,6.102586038,1999.32,Succulent Karoo,995.550293,8.144216727,NO,0.280852515,12,0.280852515,0.003754535
Binford,82,-10.77,142.12,-10.77,142.12,26.43933333,1.819927273,0.557554333,0.160651397,0.71820573,143.3806667,26450.33558,0.313666014,0.241002577,0.55466859,149.7705908,5,1,2202.27,Cape York Peninsula tropical savanna,18.6660614,1.021547394,YES,2.038310113,12,2.038310113,0.048109786
Binford,83,-12.6,130.78,-12.6,130.78,27.54166667,3.337212121,0.509666598,0.153018587,0.662685185,122.0998333,24916.12173,0.189461135,0.433301533,0.622762669,204.2044112,48,23,944.934,Arnhem Land tropical savanna,45.84745789,NA,YES,1.211917016,12,1.211917016,0.029607947
Binford,84,-12.43,134.12,-12.43,134.12,27.22416667,3.807195455,0.500739838,0.182836699,0.683576537,100.3691667,18975.99264,0.186142986,0.470039301,0.656182287,174.5269465,47.06161275,19,1115.93,Arnhem Land tropical savanna,19.5922184,1.002018022,YES,1.434509383,12,1.434509383,0.040558957
Binford,85,-12.31,135.2,-12.31,135.2,27.22533333,3.630236364,0.506542031,0.183319828,0.689861858,104.5901667,20046.34299,0.195255132,0.470772563,0.666027695,166,45.74593387,20,1211.27,NA,9.131649017,1,YES,1.171032708,12,1.171032708,0.019499548
Binford,86,-12.2,134.73,-12.2,134.73,27.1675,3.773304545,0.503230215,0.187145216,0.690375431,99.30933333,18109.63962,0.178899378,0.489318014,0.668217393,175.284864,46,20,1115.93,Arnhem Land tropical savanna,26.81738091,1.012416569,YES,1.545994857,12,1.545994857,0.065895701
Binford,87,-12.18,134.4,-12.18,134.4,27.1675,3.773304545,0.503230215,0.187145216,0.690375431,99.30933333,18109.63962,0.178899378,0.489318014,0.668217393,176.2501686,46,20,1115.93,Arnhem Land tropical savanna,19.5922184,NA,YES,1.434509383,12,1.434509383,0.040558957
Binford,88,-12.93,135.84,-12.93,135.84,26.88366667,4.185406061,0.493426616,0.194991023,0.688417639,109.9415,21665.08788,0.225142381,0.46584931,0.69099169,153.2707285,43,20,1153.11,Arnhem Land tropical savanna,70.72888947,1.093142772,YES,1.495457299,12,1.495457299,0.025612232
Binford,89,-15.55,128.19,-15.55,128.19,28.271,12.55846364,0.409615432,0.240933099,0.650548531,64.85516667,9741.285789,0.179717277,0.416212195,0.595929472,193.8697943,39.75947834,27.9233037,836.338,Kimberly tropical savanna,226.5660248,1.69718795,YES,0.643890069,10,0.794367052,0.064461312
Binford,90,-13.47,142,-13.47,142,25.98433333,4.318957576,0.489022343,0.199446632,0.688468975,107.4311667,23090.07621,0.206470615,0.381191244,0.587661859,184.8984759,35.48542604,21.04850999,2002.49,Cape York Peninsula tropical savanna,57.95916748,NA,YES,1.556973047,12,1.556973047,0.029391375
Binford,91,-13.13,132.95,-13.13,132.95,26.23533333,5.890018182,0.464518023,0.206346714,0.670864737,99.20166667,16432.30667,0.282349298,0.398087794,0.680437092,188.7840465,49.50925957,23.6016558,974.157,Arnhem Land tropical savanna,268.1508484,1.033942391,NO,1.011659603,11,1.10719399,0.030670607
Binford,92,-13.76,135.98,-13.76,135.98,26.85283333,6.835925758,0.458632644,0.219651402,0.678284045,102.1326667,19557.53987,0.227979791,0.413451453,0.641431243,147.085842,NA,20,1130.63,Arnhem Land tropical savanna,32.91440964,NA,YES,1.223463055,12,1.223463055,0.052790461
Binford,93,-14,143.5,-14,143.5,26.11183333,4.752437879,0.485578922,0.197625033,0.683203955,104.5365,21641.18761,0.233135873,0.284721195,0.517857067,215.2546805,54.20069745,24.98699357,2048.6,Cape York Peninsula tropical savanna,30.0677681,2.614988457,YES,2.891391593,12,2.891391593,0.111343513
Binford,94,-15,142.17,-15,142.17,26.44233333,6.707327273,0.453964628,0.208918405,0.662883033,96.0235,21922.3578,0.153051376,0.450693257,0.603744633,159.5526806,21.32529141,16.16044641,1878.82,Cape York Peninsula tropical savanna,38.79583359,NA,NO,1.352362204,12,1.352362204,0.082283369
Binford,95,-11.59,130.87,-11.59,130.87,27.50733333,2.512084848,0.530194638,0.140148339,0.670342977,126.066,24744.86486,0.19409885,0.458779626,0.652878475,151.21397,29,3,1087.57,Arnhem Land tropical savanna,13.59571838,1.03763943,YES,2.558260148,12,2.558260148,0.195297836
Binford,96,-15.92,145.32,-15.92,145.32,25.08216667,5.335304545,0.482343883,0.210925657,0.69326954,149.338,30137.17927,0.259012311,0.20162939,0.460641701,269.5688052,63.19506875,37.83045633,2533.79,Queensland tropical rain forests,209.0187683,3.949304689,YES,4.428906727,12,4.428906727,0.261032607
Binford,97,-14,136.62,-14,136.62,26.31683333,7.912440909,0.447997439,0.229505846,0.677503285,97.59716667,18302.56343,0.207762298,0.437593308,0.645355606,88.85058711,24,NA,1394.93,NA,37.51707077,1.181827511,YES,0.661303754,12,0.661303754,0.006634786
Binford,98,-14.34,144.22,-14.34,144.22,25.3325,4.649365152,0.486395958,0.197666213,0.684062171,120.7791667,23996.69704,0.263078474,0.25209649,0.515174964,219.1192725,50.90716429,26,NA,NA,71.85067749,1.477150331,YES,1.819692611,12,1.819692611,0.038433681
Binford,99,-13.58,130.58,-13.58,130.58,26.816,6.129745455,0.466125168,0.198917652,0.665042821,100.0095,17340.8646,0.205265012,0.445418978,0.65068399,187.8953469,45.79417386,24,883.953,Kimberly tropical savanna,111.6386108,1,YES,0.934622954,11,1.029348602,0.048617335
Binford,100,-15.32,124.72,-15.32,124.72,27.82783333,7.526543939,0.452377536,0.215715753,0.668093289,91.221,18717.54741,0.186513677,0.487288642,0.67380232,183.1540723,49.82953285,NA,998.157,NA,6.373765945,NA,YES,0.545654151,10,0.677619627,0.030936871
Binford,101,-16.91,127.83,-16.91,127.83,27.506,16.07874848,0.394306323,0.25129708,0.645603403,56.3395,7894.74532,0.175986606,0.398156727,0.574143333,158.7902575,33.65830839,18.71224044,826.383,Kimberly tropical savanna,452.2480469,1.188163435,NO,0.233721987,9,0.401928125,0.031086863
Binford,102,-16.3,139.3,-16.3,139.3,27.04566667,11.99937273,0.411502282,0.236126604,0.647628887,71.56966667,13703.97887,0.248409736,0.390558332,0.638968067,68.4436131,4,NA,NA,NA,6.867088795,1.05013802,YES,0.901499091,12,0.901499091,0.010362774
Binford,103,-16.94,139.28,-16.94,139.28,27.0735,13.61795606,0.39858139,0.235341141,0.633922532,66.364,12954.71812,0.183938137,0.417971438,0.601909574,NA,26.7146949,NA,1309.67,NA,14.47009468,NA,YES,0.901499091,12,0.901499091,0.010362774
Binford,104,-18.92,121.21,-19.17,121.46,27.19683333,19.30053788,0.380673681,0.240758518,0.621432199,27.12133333,2860.703106,0.210794893,0.286354458,0.497149352,NA,21.77869143,NA,1042.64,NA,5.262850285,NA,YES,0.45233949,12,0.45233949,0.115956734
