ID,Name,Orig.latitude,Orig. longitude,revised.latitude,revised.longitude,B501_SUBPOP,B501_TLPOP,B501_Area,B501_Density,B501_Gather,B501_Hunt,B501_Fish,B501_SUBSP,B501_GRPPAT,B501_GROUP1,B501_GROUP2,B501_GROUP3,B501_NOMOV,B501_DISMOV,B501_VEGNU,B501_SOIL,B603_NoDataPts,B603_MHt,B603_FHt,B603_HtQual,B603_MWt,B603_FWt,B603_WtQual,B603_References,B801_NoDataPts,B801_Grp1_Disp,B801_Grp2_Agg,B801_PeriodicAgg,B801_References,B804_NoDataPts,B804_NoMovesYear,B804_DistMoved,B804_Ref,B807_NoDataPts,B807_PctPolygyny,B807_PctPolygynyQual,B807_MMarrAge,B807_FMarrAge,B807_References,B901_NoDataPts,B901_SYSTATE3,B901_MHSSET,B901_MHSET2,B901_FAMHOUS,B901_G2MHS,B901_G2MHSET2,B901_G2MHSET3,B901_G2BASORD,B901_PREVALUE,B901_PREDG2MH,B901_G1FAMSZ,B901_G2FAMSZ,B901_G1MHS,B901_POLYSCAL,B901_POLPOS,B901_CLASS,B901_PEROGAT,B901_MONEY,B901_OCCSPE,B901_COMMON,B901_COMSTFUN,B901_OWNERS
B14,Agta (Cagayan),17.82,121.80,17.82,121.80,x,46.00,1.20,37.94,50.00,35.00,15.00,2,1,18.90,43.30,0.00,29.00,120.00,1,H,2,1510,1426,NA,NA,34.9,NA,Vanoverbergh 1925:400; Goodman et al. 1985: 1203,1,18.9,43.3,NA,"Vanoverbergh 1925:195, 196-98, 432",1,29,120,"Vanoverbergh 1925:195, 196-98, 432",2,0,NA,17,15,Vanoverbergh 1925:425-26; Goodman et al. 1985:171,1,3,4,5,1.24,7.27,4,2,5,6.01,6.01,3.93,9,3.171,1,3,1,1,1,1,4,1,1
B15,Chenchu,16.25,78.97,16.25,78.97,x,426.00,3.40,123.30,85.00,10.00,5.00,2,2,19.30,48.00,0.00,4.00,14.00,6,A3,1,1630,NA,NA,NA,NA,NA,Fiirer-Haimendorf 1943:17,1,19.3,48,NA,Furer-Haimendorf 1943:366,1,4,14,Hirer-Haimendorf 1943:366,1,3,NA,16,14,"Furer-Heimendorf 1943:134, 142",1,2,5,1,1,12.06,5,3,5,4.04,4.04,4.85,12.06,4.852,2,3,1,1,1,1,5,1,1
B16,Mrabri,18.41,100.47,18.41,100.47,x,139.00,6.00,23.16,75.00,20.00,5.00,2,1,19.50,40.00,0.00,12.00,95.00,2,A3,3,1551.666667,1443,NA,48.8,NA,NA,"Bernatzik 1951:165; Flatz 1963, table 1; Trier 1981: 292",1,19.5,40,NA,"Pookajorn 1985:187, 207; Velder 1963:186-87",1,12,95,"Bernatzik 1951:140; Pookajom 1988, ifgures 75-77",1,0,NA,15.5,13,Bernatzik 1951:145-46,1,3,4,5,1.51,6.61,3,1,4,9.95,8.42,4.88,10,3.222,2,3,1,1,1,1,3,1,1
B17,Paliyans,9.75,77.50,9.75,77.50,x,3000.00,311.60,9.63,85.00,14.00,1.00,2,1,14.00,25.00,107.00,5.00,55.00,3,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,14,25,107,"Gardner 1965:101, 1988:93, 94",1,5,55,"Gardner 1965:27-28, 33",1,4,NA,25,11,"Gardner 1965:18, 100; Gardner 1972:421",1,3,5,1,0.81,7.55,5,3,3,3.65,3.65,3.43,6.13,4.232,2,3,1,1,1,1,5,1,1
B18,Birhor,23.41,84.38,23.41,84.38,x,629.00,28.60,22.00,65.00,35.00,0.00,2,1,26.80,46.00,160.00,8.00,90.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,26.8,46,160,Sen and Sen 1955:172; Williams 1974:79,1,8,90,Williams 1974:76-77,1,2,NA,NA,NA,Williams 1974:73,1,3,5,1,0.65,15.81,6,3,5,4.00,4,5.97,10.24,9.212,2,3,1,1,4,1,5,1,2
B19,Kadar,10.25,77.17,10.25,77.17,x,565.00,11.30,50.00,90.00,5.00,5.00,2,2,17.50,31.70,187.00,1.50,19.00,7,O,1,1580,1500,NA,NA,NA,NA,Ehrenfels 1952:6,1,17.5,31.7,187,Ehrenfels 1952:66-67,1,1.5,19,Ehrenfels 1952:8,1,6,NA,27,16,"Ehrenfels 1952:66-68, 139-40",1,3,2,3,2.05,3.48,1,1,4,8.32,6.7,3.95,7.16,1.921,1,3,1,1,1,1,5,1,1
B20,Cholanaickan,10.18,76.40,10.18,76.40,x,254.00,3.60,70.50,75.00,15.00,10.00,2,1,10.20,20.50,0.00,4.00,75.00,7,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,10.2,20.5,NA,Bhanu 1992:table 1.1,1,4,75,Bhanu 1982:225; 1992:31,NA,NA,NA,NA,NA,NA,1,3,2,3,1,5.71,1,1,2,6.12,4.37,2.84,5.71,2.84,1,3,1,1,1,1,3,1,1
B21,Nayaka,11.90,77.21,11.90,77.21,x,70.00,1.00,70.00,90.00,10.00,0.00,2,2,13.80,69.00,0.00,0.10,0.00,7,O,NA,NA,NA,NA,NA,NA,NA,NA,1,13.8,69,NA,Bird 1983:58,1,0.1,0.1,Bird 1983:57-59; Bird-David 1987:153-56,1,NA,NA,NA,14,Bird-David 1987:157,1,3,5,1,NA,19.17,6,3,6,4.39,4.39,NA,NA,3.83,1,3,1,1,4,1,5,1,2
B22,Ainu,44.01,144.17,44.01,144.17,n,122.00,3.50,34.80,10.00,15.00,75.00,3,2,6.00,30.30,122.60,1.50,8.00,17,H,1,1581,1482,NA,NA,NA,NA,Landor 1893:299,2,18.55,49.15,122.6,"Watanabe 1964:8-9; Landor 1893:89, 125",1,1.5,8,Watanabe 1964:8-9,2,6,NA,18.75,16,Hitchcock 1891:465; Batchelor 1927:196,1,5,5,1,NA,6.59,3,1,4,8.04,6.41,NA,NA,3.28,3,1,1,2,1,2,2,1,3
B23,Orogens,51.91,122.50,51.91,122.50,n,3200.00,744.00,4.30,10.00,65.00,25.00,1,1,20.00,60.00,265.00,15.00,350.00,17,H,NA,NA,NA,NA,NA,NA,NA,NA,1,20,60,265,Qiu 1983 (estimates only),1,15,350,Qiu 1983 (LRB estimate),1,5,NA,16,13,Qiu 1983:37,1,1,4,5,NA,9.51,4,2,6,7.12,7.12,NA,NA,3.17,2,2,2,2,1,1,1,1,1
B24,Ket,62.00,90.00,62.00,90.00,n,1000.00,625.00,1.64,5.00,45.00,50.00,3,1,19.00,33.00,182.00,13.00,420.00,17,A1,1,1587,NA,NA,NA,NA,NA,Shimkin 1939:149,1,24,33,182,Lee 1967:24; ShimIcin 1939:150,1,13,420,Lee 1967:23-44,1,0,NA,NA,14.5,Lee 1967:52; Shimkin 1939:155,1,6,5,1,NA,6.6,3,1,4,8.57,6.97,NA,NA,4.8,3,2,2,3,1,1,3,1,4
B25,Gilyak,51.54,140.00,51.54,140.00,n,1481.00,76.70,19.31,3.00,12.00,85.00,3,2,23.00,90.00,0.00,0.10,0.00,17,H,NA,NA,NA,NA,NA,NA,NA,NA,1,23,90,NA,Shternberg 1933:385,1,0.1,0.1,Shternberg 1933:67,1,5.3,NA,16,5,"Shternberg 1933:165, 167",1,6,3,4,2.51,8.65,4,2,7,9.10,9.1,5.54,21.69,2.21,3,1,2,1,1,2,2,1,2
B26,Yukaghir,70.00,145.00,70.00,145.00,n,2360.00,3868.80,0.61,5.00,55.00,40.00,1,1,12.30,55.00,180.00,17.00,410.00,20,T,1,1560,1470,NA,NA,NA,NA,Jochelson 1926:20,1,12.3,55,180,"Kreynovich 1979:191-92, 196",1,17,410,Kreynovich 1979:194-209,1,3,NA,22,16,"Jochelson 1924:79-85, 110-11",1,2,3,4,1.92,7.01,4,2,6,6.79,6.79,3.01,13.48,1.57,2,2,1,1,1,1,2,1,4
B27,Nganasan,73.83,90.00,73.83,90.00,n,876.00,1904.30,0.46,1.00,55.00,44.00,1,1,14.00,29.00,116.00,12.00,375.00,26,T,NA,NA,NA,NA,NA,NA,NA,NA,1,14,29,116,"Popov 1966:12, 103",1,12,375,Chard 1963:106-8,NA,NA,NA,NA,NA,NA,1,2,2,3,NA,3.09,1,1,3,7.79,6.14,NA,NA,1.49,2,2,1,2,1,1,2,1,3
B28,Siberian Eskimo,65.96,170.08,65.96,170.08,n,1292.00,274.90,4.70,1.00,30.00,69.00,3,1,15.00,35.00,90.00,3.00,90.00,26,T,1,1628,NA,NA,64.2,NA,NA,Szathmary 1984:65,1,15,35,90,Krupnik 1983:94-95,1,3,90,Krupnik 1983:96,1,3,NA,23,15,Bogoras 1904:30; Moore 1923:367,1,6,2,3,2.12,3.5,1,1,4,8.96,7.39,3.18,7.42,1.5,2,1,2,2,1,2,2,1,3
B35,Paraujano,9.90,-72.41,9.90,-72.41,n,5000.00,142.80,35.00,30.00,10.00,60.00,3,2,0.00,0.00,0.00,0.00,0.00,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,5,2,3,2,4,4
B36,Shiriana,3.86,-66.17,3.86,-66.17,x,1200.00,76.90,15.60,60.00,35.00,5.00,2,1,0.00,50.00,0.00,33.00,171.00,1,H,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,50,NA,Metraux 1948:863,1,33,171,LRB estimate,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1
B37,Akuriyo,3.00,-55.00,3.00,-55.00,n,66.00,16.40,7.04,55.00,40.00,5.00,2,1,18.50,28.00,66.00,49.00,285.00,1,O,NA,NA,NA,NA,NA,NA,NA,NA,1,18.5,28,66,Kloos 1977:116,1,49,285,Kloos 1977:119; pers. comm. 1982,1,NA,NA,12,9,Kloos 1977:117,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,1,3,1,1
B38,Yaruro-Pume,6.85,-68.77,6.85,-68.77,x,164.00,8.20,19.95,41.00,6.00,53.00,3,1,15.10,57.00,70.00,7.00,33.00,2,O,1,1599,1484,NA,NA,NA,NA,Petrullo 1939:177,1,15.1,57,70,Greaves pers. comm. 1993; Gragson 1989:289-90,1,7,33,Gragson 1989:285-88,1,23,NA,15,13,Gragson 1989:123; Petrullo 1939:232,1,2,3,4,1.89,7.7,4,2,6,6.92,6.92,3.85,14.54,2.04,1,3,1,1,1,1,5,1,1
B39,Guahibo,5.38,-68.31,5.38,-68.31,x,1540.00,87.40,17.63,60.00,20.00,20.00,2,2,20.00,60.00,179.00,40.00,175.00,1,O,1,1540,NA,NA,57.8,47.3,NA,Hurtado and Hill 1990:329,1,20,60,179,Wilbert 1957:90,1,40,175,Kirchhoff 1945:449,1,3,NA,17,13,"Metzger 1968:83, 85; Wilbert 1957:89",1,2,4,5,1.19,8.65,4,2,6,7.12,7.12,3.42,10.27,2.88,2,3,1,1,1,1,3,1,3
B40,Nukak,2.56,-71.81,2.56,-71.81,n,282.00,30.10,9.34,76.00,11.00,13.00,2,1,18.80,47.00,94.00,55.00,225.00,3,O,NA,NA,NA,NA,NA,NA,NA,NA,1,18.8,47,94,"Politis 1992:3, pers. comm. 1992",1,55,225,Politis pers. comm. 1992,1,16,NA,17.5,12,Politis pers. comm. 1993,1,4,5,1,1.3,9.04,4,2,5,6.26,6.26,4.7,11.75,3.62,1,3,1,1,1,1,3,1,1
B41,Bororo,16.52,-55.00,-16.63,-55.20,x,850.00,16.50,51.36,70.00,20.00,10.00,2,2,0.00,118.00,0.00,0.10,0.00,3,A3,1,1680,NA,NA,NA,NA,NA,Newman 1953:321,1,NA,118,NA,Baldus 1937:115-23; Levi-Strauss 1936:269,1,0.1,0.1,"Levi-Strauss 1936:269, 1970:140; Baldus 1937:123-24",1,5,NA,NA,11,Cook 1908:387; Levi-Strauss 1936:276,1,2,3,4,2,12.04,4,2,8,10.94,10.94,NA,24.08,NA,3,3,1,3,1,2,5,4,2
B42,Guato,-18.00,-57.50,-18.00,-57.50,x,450.00,66.80,6.74,20.00,10.00,70.00,3,1,16.60,37.00,0.00,0.00,0.00,2,O,NA,NA,NA,NA,NA,NA,NA,NA,1,16.6,37,NA,Metraux 1946a:410,NA,NA,NA,NA,1,25,NA,16,14,Metraux 1946a:417,1,2,5,1,1.05,9.25,5,3,4,3.85,3.85,4.37,9.74,4.15,2,3,1,2,1,1,5,1,1
B43,Siriono,-15.00,-63.58,-15.00,-63.58,x,94.00,15.60,6.00,45.00,50.00,5.00,1,1,16.00,70.00,0.00,17.00,210.00,2,A3,1,1625,1575,NA,NA,NA,NA,Holmberg 1950:8,1,16,70,NA,Holmberg 1950:51,1,17,110,Holmberg 1950:51,1,28,NA,15,12.5,"Holmberg 1950:51, 82-83, 216",1,2,2,3,4.25,4.15,3,1,6,15.83,14.66,4.03,17.63,0.95,2,3,1,1,1,1,3,1,1
B44,Yuqui,-16.46,-64.97,-16.46,-64.97,x,43.00,25.80,1.66,35.00,60.00,5.00,1,1,18.00,43.00,0.00,53.00,312.00,1,U,NA,NA,NA,NA,NA,NA,NA,NA,1,18,43,NA,"Stearman 1989a:26, 31",1,53,312,Stearman 1989a (estimate),1,4,NA,NA,NA,Stearman 1989a:94,1,4,5,1,1.03,9.71,5,3,5,3.95,3.95,4.2,10.02,4.06,2,3,1,1,1,1,4,1,1
B45,Nambikwara,-12.73,-59.55,-12.73,-59.55,x,235.00,30.20,7.78,75.00,20.00,5.00,2,1,17.50,47.00,75.00,13.00,70.00,6,O,1,1620,NA,NA,NA,NA,NA,Newman 1953:321,1,17.5,47,75,Levi-Strauss 1970:288; Oberg 1953:86,2,13,70,"Levi-Strauss 1948b:266, 288; Aspelin 1976:9-16",1,17,NA,14.5,13,Levi-Strauss 1948a:366; 1970:269; Oberg 1953:103-04,1,2,4,5,1.6,8.16,4,2,5,6.26,6.26,4.86,13.06,3.04,2,3,1,2,1,1,5,1,3
B46,Calusa,-26.50,-82.00,26.75,-81.90,n,5500.00,142.00,38.73,25.00,10.00,65.00,3,2,35.00,62.00,700.00,0.10,0.00,4,U,NA,NA,NA,NA,NA,NA,NA,NA,1,35,62,700,"Hann 1991:42, 159, 168",1,0.1,0.1,Widmer 1983:15-18,1,12,NA,NA,NA,Goggin and Sturtevant 1964:189,1,7,1,2,NA,1.72,2,4,6,14.26,NA,NA,NA,0.97,4,3,3,5,2,3,NA,7,4
B47,Guayaki (Ache),-25.70,-55.38,-25.70,-55.38,x,100.00,28.70,3.48,30.00,62.00,8.00,1,1,26.70,60.00,130.00,58.00,290.00,4,U,1,1610,1500,NA,59.6,55.8,NA,"Hill et al. 1984:table 4, 132",1,17.5,50,NA,"Clastres 1972:163; Oberg 1953:18, 38",1,58,290,"Clastres 1972:163; Oberg 1953:18, 38",1,6,NA,19,10,Clastres 1968:19-23; Metraux and Baldus 1946:442,1,4,5,1,1.19,14.42,6,3,6,4.24,4.24,7.63,17.14,6.42,2,1,1,1,1,1,3,1,3
B48,Botocudo,-18.71,-41.86,-18.71,-41.86,x,2346.00,239.40,9.80,60.00,30.00,10.00,2,1,0.00,50.00,84.00,7.00,135.00,7,U,1,1585,1495,NA,NA,NA,NA,Ehrenreich 1887:16-17,1,NA,50,84,Metraux 1946:534,1,7,135,LRB estimate,1,8,NA,NA,13,Metraux 1946b:537,1,5,4,5,NA,8,4,2,5,6.46,6.46,NA,NA,NA,3,1,1,2,1,1,4,1,1
B49,Heta,-23.52,-53.68,-23.52,-53.68,n,30.00,3.10,9.60,55.00,35.00,10.00,2,1,6.00,30.00,0.00,0.00,0.00,4,U,1,1652,NA,NA,NA,NA,NA,Kozak et al. 1979:374,1,20,30,NA,Kozak et al. 1979:360,NA,NA,NA,NA,1,30,NA,NA,NA,Kozak et al. 1979:360,1,4,2,3,1.19,6.32,2,1,3,7.98,6.35,5,7.5,2.11,2,3,1,1,1,1,4,1,1
B50,Aweikomo,-28.00,-50.00,-28.00,-50.00,x,106.00,26.00,4.10,35.00,60.00,5.00,1,1,27.00,0.00,110.00,30.00,170.00,7,U,NA,NA,NA,NA,NA,NA,NA,NA,1,27,NA,110,"Henry 1964:11, 50, 159",1,30,170,Henry 1964:159,1,32,NA,19,9,Henry 1964:45,1,5,2,3,3.97,NA,1,1,NA,NA,NA,3.97,NA,1,2,3,1,2,1,1,1,1,1
B51,Tehuelche,-46.00,-68.70,-46.00,-68.70,n,9000.00,4753.00,1.89,30.00,65.00,5.00,1,1,25.00,75.00,225.00,17.00,360.00,25,D,1,1750,NA,NA,NA,NA,NA,Lothrop 1928:45,1,25,75,225,Cooper 1946c:150; Goni 1988:145,1,17,360,LRB estimate,1,4,<,20,15,Cooper 1946c:149,1,1,3,4,1.96,7.65,4,2,7,8.11,8.11,5,15,2.55,2,1,2,4,1,1,1,1,3
B52,Chono,-45.00,-73.83,-45.00,-73.83,n,2100.00,153.90,13.64,5.00,20.00,75.00,3,1,0.00,0.00,0.00,0.00,0.00,12,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,Cooper 1946d:52,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,2
B53,Alacaluf,-49.55,-74.52,-49.55,-74.52,n,3400.00,226.90,14.98,5.00,20.00,75.00,3,1,13.40,0.00,0.00,0.00,0.00,12,H,1,1574,1488,NA,NA,NA,NA,Lothrop 1928:39,1,13.4,NA,NA,Bird pers. comm. 1970,NA,NA,NA,NA,1,4,NA,NA,NA,Bird 1946:77,1,4,NA,NA,1.51,NA,NA,NA,NA,NA,NA,2.79,NA,1.85,1,1,1,1,1,1,4,1,2
B54,Ona,-53.90,-68.62,-53.90,-68.62,n,3497.00,481.00,7.27,5.00,75.00,20.00,1,1,20.00,45.00,290.00,24.00,320.00,10,A2,1,1754,1592,NA,NA,NA,NA,Lothrop 1928:41,1,20,45,290,Chapman 1982:58; Cooper 1946b:117; Gusinde 1931:205,1,24,320,Chapman 1982:19,2,18,NA,19.5,17,"Chapman 1982:58; Cooper 1946b:115; Gusinde 1931:444, 479",1,4,2,3,NA,5.49,2,1,5,10.93,9.46,NA,NA,2.44,2,1,1,1,1,1,1,1,3
B55,Yaghan,-60.00,-68.66,-55.50,-68.41,n,2500.00,88.00,28.42,5.00,25.00,70.00,3,1,13.00,24.00,250.00,7.00,90.00,10,A2,1,1581,1475,NA,NA,NA,NA,Lothrop 1928:41,1,13,24,250,"Gusinde 1937:384, 387",1,7,90,"Gusinde 1937:366, 511",1,3,NA,18,15.5,Cooper 1946a:92,1,4,2,3,NA,3.43,1,1,3,6.81,5.1,NA,NA,1.86,1,1,1,1,1,1,4,1,1
B60,Aka,2.00,17.00,2.00,17.00,x,1088.00,120.00,9.06,79.50,20.00,0.04,2,1,18.00,36.00,111.00,6.00,75.00,1,O,1,1486,NA,1,45.1,NA,NA,Cavalli-Sforza 1986a:83,1,18,36,111,"Bahuchet 1988:131; Hudson 1990:58, 63, 71",1,6,75,Hudson 1990:57-80,1,5,NA,NA,NA,Bahuchet 1979:1001,1,3,5,1,0.93,12.08,6,3,4,3.84,3.84,5.63,11.25,6.04,2,3,1,1,1,1,1,1,1
B61,Bayaka,3.58,17.76,3.58,17.76,x,1223.00,70.00,17.47,90.30,9.00,0.70,2,1,19.70,30.00,73.00,10.00,37.00,1,O,1,1530,1440,NA,46.4,NA,NA,Heymer 1980:178; Hiernaux et al. 1975:7,1,19.7,30,73,"Heymer 1980:178, 193-96",1,10,37,Heymer 1980:189,1,0,NA,NA,NA,Heymer 1980:200; Lalouel 1950:179,1,3,5,1,0.73,10.64,6,3,3,3.73,3.73,5.08,7.73,6.99,2,3,1,1,1,1,1,1,1
