Dataset,VarID,Code,VarID_Code,CodeDescription,ShortName
Binford,32,5,32_5,"Complete relief from subsistence duties, more assistants, special roles associated with the leader, visible symbols associated with the office, perhaps a permanent ""guard,"" perhaps special marriage rules, and very distinctive clothing","Complete subsistence relief; assistants, distinctive dress"
Binford,33,NA,33_NA,Missing data,Missing data
Binford,33,1,33_1,Absent,Absent
Binford,33,2,33_2,Rarely used,Rarely used
Binford,33,3,33_3,Commonly used,Commonly used
Binford,33,4,33_4,Many convertible items,Many convertible items
Binford,34,NA,34_NA,Missing data,Missing data
Binford,34,1,34_1,Absent,Absent
Binford,34,2,34_2,Few (1-3),Few (1-3)
Binford,34,3,34_3,Moderate (4-7),Moderate (4-7)
Binford,34,4,34_4,Many (equal to or greater than 8),Many (>= 8)
Binford,35,NA,35_NA,Missing data,Missing data
Binford,35,1,35_1,Exogamous,Exogamous
Binford,35,2,35_2,Exogamous clan,Exogamous clan
Binford,35,3,35_3,Agamous,Agamous
Binford,35,4,35_4,Endogamous demed,Endogamous demed
Binford,35,5,35_5,Endogamous segmented,Endogamous segmented
Binford,36,NA,36_NA,Missing data,Missing data
Binford,36,1,36_1,No permanent community structures,No permanent structures
Binford,36,2,36_2,Rituals and ceremonies held in host's residence,Host's residence
Binford,36,3,36_3,Sweat lodge,Sweat lodge
Binford,36,4,36_4,Dance house,Dance house
Binford,36,5,36_5,"Dance house or men's house, and sweat house",Dance or Men's house and Sweat lodge
Binford,36,6,36_6,Functionally specific community house,Functionally specific comm. house
Binford,36,7,36_7,Complex of community structures present,Complex of structures
Binford,37,NA,37_NA,Missing data,Missing data
Binford,37,1,37_1,"No ownership reported, use rights recognized by others","No ownership, use rights recognized"
Binford,37,2,37_2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape","Grp ownership, hh claim trees/similar features"
Binford,37,3,37_3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations","Grp ownership, subgrps claim excl. access to resources"
Binford,37,4,37_4,Elite ownership of land and resources,Elite ownership
Binford,38,NA,38_NA,Missing data,Missing data
Binford,38,1,38_1,Mounted hunters,Mounted hunters
Binford,38,2,38_2,Agriculturalists,Agriculturalists
Binford,38,3,38_3,Mutualists,Mutualists
Binford,38,4,38_4,Egalitarian but without leaders,"Egalitarian, no leaders"
Binford,38,5,38_5,Egalitarian with leaders,"Egalitarian, leaders"
Binford,38,6,38_6,Ranked wealth,Ranked wealth
Binford,38,7,38_7,Ranked elites,Ranked elites
Binford,39,NA,39_NA,Missing data,Missing data
Binford,40,NA,40_NA,Missing data,Missing data
Binford,41,NA,41_NA,Missing data,Missing data
Binford,42,NA,42_NA,Missing data,Missing data
